fpid,doi,list_of_std,selection_criteria,ma_specified_objective,search_databases,search_string,nb_std_per_step,quantitative_results_described,statistical_methods_described,individual_effect_sizes,individual_std_weighted,dataset_available,confidence_intervals,method_of_data_extraction,heterogeneity_of_results_analyzed,funding_sources_mentioned,publication_bias_analyzed,quality_score_perc,impact_matrix
grazing management,10.1016/j.agee.2017.10.023,1,only studies which were longer than one year and measured soc or tn were selected. the authors also accounted for the differences in grass growing seasons at each experimental site.,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0.625,soil nutrients
grazing management,10.1016/j.ecolind.2021.107881,0,"1) the research object was a grassland ecosystem; 2) the article clearly mentioned the number of restoration years; 3) in the study method, the control group and the treatment group were in the same location with no less than three replicates; 4) each parameter in the selected article displayed information of average values, standard deviations or standard errors, and repetitions; and 5) restoration succession studies were conducted under natural conditions without other treatment or interference.",1,1,1,0,1,1,0,1,0,1,1,1,1,0,0.6875,soil nutrients
grazing management,10.1016/j.scitotenv.2018.11.082,1,"1) only field experiments were included with the same condition between control and grazing plots, such as microclimate, vegetation and soil types. the authors also excluded other confounding treatments (i.e. fertilization and land conversion), focusing on grazing impacts alone; 2) simulated grazing experiments were eliminated, such as mowing and trampling studies; 3) soil ghg fluxes were explicitly indicated by their means, variances and number of replicates; 4) grazing intensity, duration, animals and ecosystem type need to be clearly described.",1,1,1,0,1,1,0,1,1,1,1,1,1,0,0.8125,soil nutrients
grazing management,10.1111/1365-2664.13808,1,"1) plant species must be vascular plants; 2) ungulate herbivore species must belong to artiodactyla and perissodactyla taxa; 3) studies were carried out in rangeland ecosystems (including grasslands and pastures) that directly compared plant and/or soil nutrient in response to grazing and grazing exclusion without other experimental treatments (e.g. warming, sowing, fertilizer, mowing or fire); 4) mean value, standard error (se) or standard deviation (sd) and the sample size were given in the original studies; 5) plant and soil were sampled at the peak period of grass biomass production, as sampling time can affect plant and soil nutrient status.",1,1,0,0,1,1,0,1,0,1,1,1,1,1,0.75,soil nutrients
grazing management,10.1111/gcb.13431,1,"1) experiments were conducted in the field and had at least one pair of data (under control and treatment); 2) grazing regimes were clearly defined with both quantitative and/or qualitative descriptions for grazing intensity, experimental duration and livestock type (i.e., cattle, sheep or others); 3) to avoid short-term noise, experiments with durations less than one growing season were excluded; 4) initial environmental and climate conditions, soil parameters and species compositions in the control and treatments were the same; 5) the mean, standard error (se) or standard deviation (sd) and sample size (n) of selected variables in control and treatment groups could be extracted directly from tables, digitized graphs or contexts.",1,1,0,0,1,1,0,1,0,1,1,1,1,0,0.6875,soil nutrients
grazing management,10.1111/geb.13028,1,"1) the experiment was conducted in the field and included non-grazed plots and at least one grazing treatment, 2) experimental duration was longer than one growing season; 3) the initial climatic conditions, soil properties, and species compositions in the non-grazed and grazing treatments were the same; 4) all plots were free of grazing for at least 10 years prior to the start of the experiment; 5) the dominant species were clearly described and the grazing intensity was quantitatively and/or qualitatively reported; 6) the mean, standard error (se) or standard deviation (sd), and sample size (n) of the relevant variables could be extracted from the tables, digitized graphs or the text.",1,1,1,0,1,1,0,1,0,1,1,1,1,0,0.75,soil nutrients
grazing management,10.1371/journal.pone.0236638,1,"1) soil property data under various grazing intensities (>3) and the un-grazing from different field sites at 0–30 cm depth were collected. because grazing data cannot be compared to un-grazing at the same time, this study excluded temporal comparisons data (before and after grazing) of the same site; 2) data at sites grazed by domestic animals such as cattle (bos taurus l.), sheep (ovis aries l.) (including goat and deer), or their mixture were selected; 3) this study defined non-adjacent sites to have a distance greater than 46 km (an approximate distance of 25’ in lat- itude range). non-adjacent site data were considered independent and included in the database. adjacent site data were only limited to one site to avoid dependent data with different sites; 4) data collected within a year for each site were averaged. data collected over multiple years could be time-dependent. as a result, only the data from the most recent year were included; 5) site information including grazing intensity, overgrazing, grazing animals, grazing period, land-use, sampling year, soil depth, latitude, longitude, altitude, country, soil texture, mean annual precipitation, and mean daily temperature were all collected.",1,1,0,1,1,1,0,0,1,1,1,1,1,0,0.75,soil nutrients
grazing management,10.2134/jeq2017.08.0313,1,"1) at least one field season of treatment and control monitoring; 2) experimentally manipulated ruminant livestock grazing only; 3) grazing strategy (continuous and/or rotational) and intensity (heavy, moderate, and/or light) that were clearly identified either quantitatively or qualitatively; 4) at least one paired response of treatment (grazing strategy or intensity) and control (no grazing or continuous grazing) mean and variance for either soil organic carbon (soc), bulk density (bd), c/n ratio (cn), or total n (tn) that was extractable from text, tables, charts, or appendices.",1,1,0,0,1,1,0,0,0,1,1,1,1,0,0.625,soil nutrients
grazing management,10.1002/eco.1934,1,"excluded papers were those that 1) clearly did not focus on comparisons of infiltration or evapotranspiration in grasslands and other types of vegetation; 2) did not perform pairwise contrast, between grasslands replaced by crop or forest and grasslands with grazing effects; or 3) had not reported statistic design, statistical measures (mean values, sample size, and variance estimation), evidence of reasonable comparing conditions of soil type, climatic conditions, and methodology.",1,1,1,0,1,1,1,0,0,1,1,1,1,1,0.8125,soil physico-chemical quality
grazing management,10.1371/journal.pone.0236638,1,"1) soil property data under various grazing intensities (>3) and the un-grazing from different field sites at 0–30 cm depth were collected. because grazing data cannot be compared to un-grazing at the same time, this study excluded temporal comparisons data (before and after grazing) of the same site; 2) data at sites grazed by domestic animals such as cattle (bos taurus l.), sheep (ovis aries l.) (including goat and deer), or their mixture were selected; 3) this study defined non-adjacent sites to have a distance greater than 46 km (an approximate distance of 25’ in lat- itude range). non-adjacent site data were considered independent and included in the database. adjacent site data were only limited to one site to avoid dependent data with different sites; 4) data collected within a year for each site were averaged. data collected over multiple years could be time-dependent. as a result, only the data from the most recent year were included; 5) site information including grazing intensity, overgrazing, grazing animals, grazing period, land-use, sampling year, soil depth, latitude, longitude, altitude, country, soil texture, mean annual precipitation, and mean daily temperature were all collected.",1,1,0,1,1,1,0,0,1,1,1,1,1,0,0.75,soil physico-chemical quality
grazing management,10.1016/j.ecolind.2021.107881,0,"1) the research object was a grassland ecosystem; 2) the article clearly mentioned the number of restoration years; 3) in the study method, the control group and the treatment group were in the same location with no less than three replicates; 4) each parameter in the selected article displayed information of average values, standard deviations or standard errors, and repetitions; and 5) restoration succession studies were conducted under natural conditions without other treatment or interference.",1,1,1,0,1,1,0,1,0,1,1,1,1,0,0.6875,soil water retention
grazing management,10.1016/j.scitotenv.2018.11.082,1,"1) only field experiments were included with the same condition between control and grazing plots, such as microclimate, vegetation and soil types. the authors also excluded other confounding treatments (i.e. fertilization and land conversion), focusing on grazing impacts alone; 2) simulated grazing experiments were eliminated, such as mowing and trampling studies; 3) soil ghg fluxes were explicitly indicated by their means, variances and number of replicates; 4) grazing intensity, duration, animals and ecosystem type need to be clearly described.",1,1,1,0,1,1,0,1,1,1,1,1,1,0,0.8125,soil water retention
grazing management,10.1111/gcb.13431,1,"1) experiments were conducted in the field and had at least one pair of data (under control and treatment); 2) grazing regimes were clearly defined with both quantitative and/or qualitative descriptions for grazing intensity, experimental duration and livestock type (i.e., cattle, sheep or others); 3) to avoid short-term noise, experiments with durations less than one growing season were excluded; 4) initial environmental and climate conditions, soil parameters and species compositions in the control and treatments were the same; 5) the mean, standard error (se) or standard deviation (sd) and sample size (n) of selected variables in control and treatment groups could be extracted directly from tables, digitized graphs or contexts.",1,1,0,0,1,1,0,1,0,1,1,1,1,0,0.6875,soil water retention
grazing management,10.1371/journal.pone.0236638,1,"1) soil property data under various grazing intensities (>3) and the un-grazing from different field sites at 0–30 cm depth were collected. because grazing data cannot be compared to un-grazing at the same time, this study excluded temporal comparisons data (before and after grazing) of the same site; 2) data at sites grazed by domestic animals such as cattle (bos taurus l.), sheep (ovis aries l.) (including goat and deer), or their mixture were selected; 3) this study defined non-adjacent sites to have a distance greater than 46 km (an approximate distance of 25’ in lat- itude range). non-adjacent site data were considered independent and included in the database. adjacent site data were only limited to one site to avoid dependent data with different sites; 4) data collected within a year for each site were averaged. data collected over multiple years could be time-dependent. as a result, only the data from the most recent year were included; 5) site information including grazing intensity, overgrazing, grazing animals, grazing period, land-use, sampling year, soil depth, latitude, longitude, altitude, country, soil texture, mean annual precipitation, and mean daily temperature were all collected.",1,1,0,1,1,1,0,0,1,1,1,1,1,0,0.75,soil water retention
green manure,10.1016/j.landusepol.2019.104204,1,"1) it reported the results of an experiment in the mediterranean forests, woodlands, and scrub biome or the central valley of california
2) it compared a winter cover crop with a winter fallow, followed by a food crop in spring or summer (annual food crops in arable fields, including cereals, fruits, and vegetables, but not perennial food crops in orchards
or vineyards)
3) it reported the mean effect on an ecosystem service metric.",1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.875,carbon sequestration
green manure,10.1016/j.still.2019.04.020,1,"only studies that reported both n2o and co2 emissions, cover crops grown between harvesting and planting of cash crops, and cash crops with similar management practices, such as irrigation, fertilization, and tillage practices were selected for the study. studies that lack mean values, replications, and standard error or standard deviation ofthe mean were discarded.",1,1,1,0,1,1,0,1,0,1,1,0,1,0,0.6875,carbon sequestration
green manure,10.1007/s11104-008-9547-y,1,"for data to be included in this analysis, the study must fulfil all of the following criteria: it must (1) have been published in a refereed journal, book chapter or peer-reviewed proceeding,(2) have originated from sub-saharan africa, (3) have reported maize yield from at least one legume species used for green manure or improved fallow (treatment) and a corresponding maize yield from an unfertilized plot (control), (4) be a well designed, randomized and replicated experiment either on a research station oron farmers’ fields, and (5) have reported the mean (and if possible the standard deviation or variance) as numerical or graphical data or this was available by personal communication.",1,0,0,1,1,1,0,1,0,1,1,0,1,1,0.6875,crop yield
green manure,10.1016/j.agee.2005.07.003,1,"studies compiled in our legume covercrop yield database had the following characteristics: (1) winter legume cover crop followed by an unfertilized cash crop compared to the control, (2) cash crop production every year, (3) no manure or other n additions applied during any phase of the diversified rotation, and (4) cover crop biomass incorporated into the soil or killed before crop planting, with no biomass removal. they excluded studies  if  legume  treatments  had  excessive applications of inorganic n fertilizer or if the green manures were being compared to a zero n control. 
only legume cover crops are considered for this analysis (cash crop after non-legume cover crops is fertilized, so non-legume cover crop were removed in our analysis).",1,1,0,0,1,1,0,0,0,0,1,0,1,0,0.5,crop yield
green manure,10.1016/j.fcr.2009.11.014,0,"1) studies must have reported maize yield from at least one nutrient input and a corresponding maize yield from a plot without any external nutrient input; 2) be a well-designed, randomized and replicated experiment on either a research station or farmers’ fields; and 3) have reported mean values as numerical or graphical data. in addition, for any treatment to be included in the analysis, it should have a large number of pairs of observations (ideally hundreds) to allow accurate estimation of parameters.",1,0,0,0,1,1,0,0,0,1,0,0,1,0,0.375,crop yield
green manure,10.1016/j.fcr.2018.08.001,1,1) the fertilization measures were conducted under field conditions in china; no pot or greenhouse experiments were included; 2) the study reported yield and the number of field replication; 3) conventional chemical fertilizer application was included as a control treatment; 4) the experimental and control treatments had to be applied to the same agricultural system and site.,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0.625,crop yield
green manure,10.1016/j.jaridenv.2011.10.011,1,"1) the data are from one of the four countries burkina faso, mali, niger and senegal; 2) the publication contains reported crop yield of one or more of the 6 ca practices and a corresponding control plot where the practice was not applied, with mean yields either reported numerically or graphically. the yield data from rotations were not time-averaged by including years when other crops were grown while data from tree-based systems were based on total area; 3) data were from well designed and replicated experiments or observational studies either on a research station or on farmers’ fields.",1,1,0,1,1,1,0,0,0,1,1,0,1,0,0.625,crop yield
green manure,10.1016/j.landusepol.2019.104204,1,"1) it reported the results of an experiment in the mediterranean forests, woodlands, and scrub biome or the central valley of california
2) it compared a winter cover crop with a winter fallow, followed by a food crop in spring or summer (annual food crops in arable fields, including cereals, fruits, and vegetables, but not perennial food crops in orchards
or vineyards)
3) it reported the mean effect on an ecosystem service metric.",1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.875,crop yield
green manure,10.1038/s41467-018-05956-1,0,"only field experiments containing side-by-side yield comparisons were included in the database to ensure comparability of the cropping system treatments. single year comparisons from the original datasets werecombined in order to create observations that were based on several years for eachcrop investigated. the authors focused on studies with a minimum of 4 years of observation for the same crop, thus excluding short-term studies.",1,0,1,0,1,1,0,0,1,1,1,0,1,1,0.625,crop yield
green manure,10.2135/cropsci2005.0014,1,"the conditions for including a paper were: 1) reported corn yield data following wcc and a control (i.e., no cover) in more than one environment (i.e., years and/or locations), 2) the study was conducted in the usa or canada, and 3) enough information was provided to estimate the variance (error).",1,1,0,0,1,1,1,1,0,1,0,0,1,1,0.6875,crop yield
green manure,10.1007/s10705-017-9836-z,1,"only studies conducted in field conditions that were at least one growing season in duration were included. the authors included cover crop studies that measured n2o emissions from cover crop growth periods, cash crop growth periods or both, and examined these sub-groups separately.",1,1,1,0,1,1,0,0,1,1,1,0,1,0,0.6875,ghg emissions
green manure,10.1016/j.fcr.2012.06.007,1,"studies needed to meet several criteria to be included in our analysis. first, n2o and/or ch4 fluxes must have been measured under field conditions for the entire growing season
(i.e. planting to harvest). second, seasonal fluxes and the number of field replications had to be reported for both control and treatment plots. third, growing conditions in the control and treatment plots had to be identical(except for the management practice being studied). 
to be included, exact fertilizer n rates needed to be reported and the grm treatment received the same total n rate as the control treatment. the n amount contributed from grm
ranged from 20 to 60 kg n ha−1 and represented 25–100% of the total n rate.",1,1,0,0,1,1,0,1,0,1,1,0,1,0,0.625,ghg emissions
green manure,10.1016/j.still.2019.04.020,1,"only studies that reported both n2o and co2 emissions, cover crops grown between harvesting and planting of cash crops, and cash crops with similar management practices, such as irrigation, fertilization, and tillage practices were selected for the study. studies that lack mean values, replications, and standard error or standard deviation ofthe mean were discarded.",1,1,1,0,1,1,0,1,0,1,1,0,1,0,0.6875,ghg emissions
green manure,10.2489/jswc.69.6.471,1,"this combination of key terms resulted in approximately  five  thousand  papers. to reduce the number of papers included in the meta-analysis, the following criteria were applied: 
1) studies in which the cover crop is not harvested and is grown between the harvest and planting of cash crops. 
2) studies reporting n2o measurements. 
3) studies with a control treatment varying only in the inclusion of a cover crop and keeping all other management practices such as tillage and n additions equal. 
4) studies that provided enough information (standard errors, standard deviations, coefficients of variation, etc.) about experimental error either in the published paper or in information that was provided by the authors when contacted to allow for an estimate of within study variance.
5) studies published before december of 2012.",1,1,1,1,1,1,1,1,0,1,1,0,1,0,0.8125,ghg emissions
green manure,10.1016/j.agee.2005.07.003,1,"studies compiled in our legume covercrop yield database had the following characteristics: (1) winter legume cover crop followed by an unfertilized cash crop compared to the control, (2) cash crop production every year, (3) no manure or other n additions applied during any phase of the diversified rotation, and (4) cover crop biomass incorporated into the soil or killed before crop planting, with no biomass removal. they excluded studies  if  legume  treatments  had  excessive applications of inorganic n fertilizer or if the green manures were being compared to a zero n control. 
only legume cover crops are considered for this analysis (cash crop after non-legume cover crops is fertilized, so non-legume cover crop were removed in our analysis).",1,1,0,0,1,1,0,0,0,0,1,0,1,0,0.5,nutrient leaching and run-off
green manure,10.1016/j.landusepol.2019.104204,1,"1) it reported the results of an experiment in the mediterranean forests, woodlands, and scrub biome or the central valley of california
2) it compared a winter cover crop with a winter fallow, followed by a food crop in spring or summer (annual food crops in arable fields, including cereals, fruits, and vegetables, but not perennial food crops in orchards or vineyards)
3) it reported the mean effect on an ecosystem service metric.",1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.875,pests and diseases
green manure,10.1016/j.fcr.2018.08.001,1,1) the fertilization measures were conducted under field conditions in china; no pot or greenhouse experiments were included; 2) the study reported yield and the number of field replication; 3) conventional chemical fertilizer application was included as a control treatment; 4) the experimental and control treatments had to be applied to the same agricultural system and site.,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0.625,plant nutrient uptake
green manure,10.1016/j.landusepol.2019.104204,1,"1) it reported the results of an experiment in the mediterranean forests, woodlands, and scrub biome or the central valley of california
2) it compared a winter cover crop with a winter fallow, followed by a food crop in spring or summer (annual food crops in arable fields, including cereals, fruits, and vegetables, but not perennial food crops in orchards
or vineyards)
3) it reported the mean effect on an ecosystem service metric.",1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.875,soil biological quality
green manure,10.1016/j.soilbio.2019.107701,1,"this collection was refined for studies that met the criteria for this meta-analysis: i) experimental design allowed pairwise com- parison between cover cropping treatments and bare fallow controls, ii) defined cover cropping as crops that are not harvested nor removed, thereby excluding studies with crop residues, iii) field or greenhouse studies, iv) the study reported sample sizes, means, and standard errors; if these statistics were not reported, authors were contacted or the sta- tistics were calculated if possible.",1,1,1,1,1,1,0,1,0,1,1,1,1,1,0.875,soil biological quality
green manure,10.1016/j.landusepol.2019.104204,1,"1) it reported the results of an experiment in the mediterranean forests, woodlands, and scrub biome or the central valley of california
2) it compared a winter cover crop with a winter fallow, followed by a food crop in spring or summer (annual food crops in arable fields, including cereals, fruits, and vegetables, but not perennial food crops in orchards
or vineyards)
3) it reported the mean effect on an ecosystem service metric.",1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.875,soil nutrients
green manure,10.1016/j.still.2019.04.020,1,"only studies that reported both n2o and co2 emissions, cover crops grown between harvesting and planting of cash crops, and cash crops with similar management practices, such as irrigation, fertilization, and tillage practices were selected for the study. studies that lack mean values, replications, and standard error or standard deviation ofthe mean were discarded.",1,1,1,0,1,1,0,1,0,1,1,0,1,0,0.6875,soil nutrients
intercropping,10.1016/j.agsy.2019.102761,1,"identified research articles were then screened to include only those that reported intercropping, which was considered as treatment and its monocrop counterpart, which was considered as control. the synthesis did not include intercropping of cereals in combination with leguminous shrubs or forages, or with desmodium spp. (i.e., the ‘push-pull technology’) because reviewed elsewhere. observations were also limited to: (i) only two species (one legume and one cereal) in each intercropping experiment due to the difficulty of species categorization, and (ii) results of field experiments rather than simulation or greenhouse studies.",1,1,0,0,1,1,0,0,0,1,1,1,1,0,0.625,carbon sequestration
intercropping,10.1002/eap.1629,1,"(1) the study was field based (not conducted in a greenhouse or microcosm) and conducted for at least one full growing season; (2) the study reported either actual yields for all treatments, or relative yield of cultivar mixtures compared to component monocultures; (3) the study included only simultaneous plantings of cultivar mixtures and monocultures, with only one harvest (i.e., not relay planting or multiple cuttings for forage); and (4) a replacement series experimental design was used. ultimately, 91 papers published between 1939 and 2014 met the four criteria and were included in the meta-analysis.",1,1,0,0,1,1,1,0,1,1,1,1,1,1,0.8125,crop yield
intercropping,10.1007/s11104-020-04768-x,1,(i) the study quantified biomass and p uptake or p concentration of sole crops and intercrops with the same management (e.g. level of fertilizer input) under field conditions; (ii) it reported the rate of n and p fertilizer; (iii) it reported the plant density in sole crops and intercrops (this information is needed to calculate the net effect).,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0.75,cropping system productivity
intercropping,10.1016/j.agsy.2019.102761,1,"identified research articles were then screened to include only those that reported intercropping, which was considered as treatment and its monocrop counterpart, which was considered as control. the synthesis did not include intercropping of cereals in combination with leguminous shrubs or forages, or with desmodium spp. (i.e., the ‘push-pull technology’) because reviewed elsewhere. observations were also limited to: (i) only two species (one legume and one cereal) in each intercropping experiment due to the difficulty of species categorization, and (ii) results of field experiments rather than simulation or greenhouse studies.",1,1,0,0,1,1,0,0,0,1,1,1,1,0,0.625,cropping system productivity
intercropping,10.1016/j.eja.2017.09.009,1,"authors' initial selection criterion was whether the experiment was conducted for a minimum of three years (temporal variability) or at a minimum of three locations (spatial variability) or for at least two years at two locations. articles ideally had to have grain yield data for each experimental year and location. articles presenting the mean value of grain yield for different years or locations, instead of mentioning yield data for all experimental years or locations, were not considered in the meta-analysis, unless the mean values were presented together with the standard deviation (sd) or coefficient of variation (cv) for grain yield. experiments containing different cultivars of the same species at different locations or years were also excluded from the analysis.",1,1,1,0,1,1,0,0,0,0,1,1,0,0,0.5625,crop yield
intercropping,10.1016/j.eja.2019.125987,1,"authors selected studies that met the following criteria: (1) field studies were carried out in china, (2) both crop species produced grain and the yield was calculated on the basis of dry kernel weight (crop species included wheat, maize, barley, rice, faba bean, soybean, chickpea, pea, peanut, mungbean, adzuki bean, oilseed rape, oilseed radish, sesame; for the frequencies of each species combination see fig. 1), (2) yield data that are based on aboveground biomass, fiber or tuber mass were not used (e.g. grass, cotton, potato, cabbage, capsicum and sugarcane), (3) grain yields for both intercrops and sole crops were reported, (4) plant density of intercrops was reported or could be calculated from row distance and plant distance. data records in which the relative density total (rdt) was lower than 1 were excluded.",1,1,1,0,1,1,1,0,0,1,1,1,1,1,0.8125,crop yield
intercropping,10.1016/j.fcr.2009.09.006,1,"references related to subjects such as livestock, intercropping, toxicity and genetics were discarded, as were references with a strictly phytopathological focus. for a study to be accepted for the meta-analysis, a number of criteria had to be met. a prerequisite was that the study provided a relevant measure of experimental variation (see below). in the optimal case, the study provided retrievable yields for mixtures as well as component varieties in pure stand, either in absolute values or relative to some standard yield. acceptable exceptions were studies reporting average yields in either of two cases: (1) across component varieties for each mixture grown, as such values corresponded with our method of calculating mixing effect (see below) and (2) from field trials (see below) repeated over several sites and/or years, but only when the number of these was apparent and a measure of variation relating directly to the estimates was retrievable. however, average yield results combined from different treatments could not be accepted. finally, a few studies were discarded due to the spatial designs of trials, and a few studies were discarded due to selective reporting of results (apparent or stated).",1,1,1,1,1,1,0,1,0,1,1,1,1,1,0.875,crop yield
intercropping,10.1016/j.fcr.2015.09.010,1,"inclusion criteria of publications for the top cited sample are: (1) peer reviewed english language publication, i.e. excluding conference proceedings, (2) reporting primary data, i.e. excluding reviews (3) reporting field data on annual intercrops, thus excluding publications on systems with perennials, (4) reporting yield data on both intercrops and sole crops, (5) reporting treatments in which pests, diseases and weeds had been adequately controlled, (6) intercropping design was either replacement or additive, (7) reporting of sowing and harvesting dates or reporting total duration and overlapping period of intercrops to allow estimating temporal niche differentiation, (8) reporting consistent results, i.e. excluding publications with discrepancies between reported ler and yield data, or inconsistencies between data in different figures and tables. in the case of the top cited sample authors selected only those publications that reported information on all key explanatory variables. the criterion of completeness of data was not applied to the random sample because only few randomly sampled publications reported information on all explanatory variables.",1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.875,cropping system productivity
intercropping,10.1016/j.fcr.2016.08.001,1,"see yu et al. 2015 (yu, y., stomph, t.-j., makowski, d., van der werf, w., 2015. temporal nichedifferentiation increases the land equivalent ratio of annual intercrops: ameta-analysis. field crops res. 184, 133–144.)",1,1,1,1,1,1,1,0,0,1,1,1,1,0,0.8125,cropping system productivity
intercropping,10.1016/j.fcr.2017.09.006,1,studies dedicated to wheat clearly reporting the yields of pure stands and their mixtures in field experiments.,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.9375,crop yield
intercropping,10.1016/j.fcr.2019.107661,1,"authors excluded reviews and conference papers, studies focusing on diseases and weeds, and some studies withreporting problem, e.g. missing sole crop yield, without intercropping configuration information, a reported ler value different for from the one calculated from the yield, or incorrect experiment design.",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.9375,cropping system productivity
intercropping,10.1016/j.scitotenv.2017.10.024,1,"1) intercrops contained only two species; 2) yields for both species in the intercrop were available, as well as yields in their sole crops; 3) yields were expressed in terms of the marketable part of crops, and not their whole biomass; and 4) intercrops and corresponding sole crops received the same agricultural treatments, i.e., irrigation, fertilisation and pest management.",1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.9375,cropping system productivity
intercropping,10.1038/s41477-020-0680-9,1,"from the original database of yu et al., all the data records of grain-producing intercrops (such as cereals, legumes and oilseed crops) that provided data on species densities were extracted (539 records). we removed the duplicate data records (9 publications and 31 data records) in the two datasets. all intercrops in the resulting database were grain-producing intercrops.",1,1,1,0,1,1,1,0,1,1,1,1,1,0,0.8125,cropping system productivity
intercropping,10.1080/14735903.2016.1242332,1,"study data were included in the meta-analysis only if the study met five pre-established criteria. the study had to provide information on (1) treatment means (μ), (2) the standard deviation (sd), or the standard error of the means (se), the standard error of the difference (sed), least significant difference (lsd), or the variance, and (3) the number of treatment replicates (n). the study had to (4) include a randomized experimental design and (5) utilize control plots.",1,1,0,0,1,1,0,1,0,1,1,1,1,1,0.75,cropping system productivity
intercropping,10.1093/jxb/ert207,1,studies that did not report sample size could not be used. εc values based on incident light were not included because apparent changes in εc may have been influenced by changes in εi . several studies included εc values during different parts of the growing season,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0.625,cropping system productivity
intercropping,10.1111/1365-2664.12334,1,"1. the study was an empirical investigation that directly measured yield and at least one biocontrol variable in agricultural fields with at least two levels of plant species richness (e.g. monoculture and polyculture). we considered fields as polycultures only if the multiple species were grown in the same field. species richness included both harvested crops and non-harvested plants (e.g. cover crops). yield was defined as total biomass of the plant tissue for which the crop is grown (e.g. fruit, seed, fibre or leaf weight), not overall plant biomass. metrics of biocontrol were as follows: (i) abundance of arthropod herbivores, (ii) abundance of natural enemies of pests, (iii) degree of pest parasitism or (iv) amount of plant damage. 2. crop species richness differed between treatments at a single point in time (i.e. crop rotations not included). 3. experimental treatments varied based on plant species richness, rather than on other forms of diversity (e.g. genetic diversity). 4. the treatment (i.e. monoculture or polyculture) had more than one replicate.",1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.875,crop yield
intercropping,10.1371/journal.pone.0200274,1,"inclusion criteria: means for both intercrop and inter-crop treatments were not presented; sole grass (control) yields were not reported; article was a duplicate; article did not contain primary data (no review or book); articles were not obtainable using interlibrary loan services, were refereed articles, or were conference proceedings, research reports, and bulletins",1,1,0,1,1,1,0,1,0,1,1,1,1,1,0.8125,cropping system productivity
intercropping,10.1890/09-2026.1,1,"poveda et al. (2008)'s criteria for selecting these 62 articles were that the articles were available and reported field experiments on vegetation diversification within or surrounding crop fields, implemented simultaneously. with the crop production cycle. authors' additional criteria for the meta-analysis were that: (1) plant species richness was quantified, described, or manipulated in a way that could be construed as a relatively species-poor vs. species-rich condition for crop production and (2) researchers reported or were able to provide us with means for arthropod herbivore response variables (abundance of natural enemies, herbivore abundance, herbivore mortality caused by natural enemies, crop damage by herbivores, and/or crop yield), variance around the means, and numbers of replicates. because most of the articles provided multiple experiments involving different herbivores and/or different natural enemy manipulations at different locations or in different years, our general approach was to include only tests that could not be logically dropped from the analysis.  however, authors excluded experiments that were confounded by differential insecticide applications on plant diversity treatments or that used planting densities that were deemed by the authors to be impractical for effective crop production.",1,1,1,0,1,1,1,0,1,1,1,1,1,1,0.875,crop yield
intercropping,10.2134/agronj13.0590,1,"only the studies including experiments dealing with annual cereal–legume intercrops and investigating at least two n fertilization rates per site were retained. moreover, studies had to present (i) grain yield data (sole crops and each species of the intercrop), (ii) intercrop and sole cereal treatments left unfertilized and fertilized at the same rate (in each study, 0 kg n ha–1 and at least one n fertilization rate other than 0), and (iii) an unfertilized sole crop of the legume.",1,1,0,1,1,1,0,1,1,1,1,1,0,0,0.75,cropping system productivity
intercropping,10.2134/agronj2017.09.0544,1,"to be considered for inclusion in this meta-analysis, studies had to report the following:  either biomass or n content for one or more hairy vetch–cereal rye mixtures and at least one monoculture (hairy vetch or cereal rye). seeding rates of hairy vetch and cereal rye in monocultures and mixtures. means and sample sizes for each treatment comparison. authors only selected studies that had in-field replication and randomization, clearly described experimental approaches and sampling protocols, and conducted in the united states.",1,1,0,0,1,1,0,1,1,1,1,1,1,0,0.75,cropping system productivity
intercropping,10.1002/evl3.206,1,"authors evaluated full articles written in english reporting original data on variation in parasitism and host genetic diversity. we required population-level data for multiple populations, natural or experimental. studies were excluded if data were limited to a single population, individual-level estimates (e.g., genomic heterozygosity), a subset of host genotypes, or transformed values. genetic diversity of hosts had to be intraspecific and explicitly controlled or measured. authors rejected studies that only reported aggregate data for diverse parasites because this prevented a test of whether effect size varied with parasite traits. authors accepted several quantitative estimates of population-level parasitism, including prevalence (fraction of individuals scored as infected), mean load (a quantification of how infected hosts were), and virulence (parasite-induced mortality). we did not accept metrics that were qualitative (i.e., presence/absence of parasites) or unlinked to transmission (i.e., immune responses). authors did not consider general estimates of host fitness—these were rarely provided in eligible studies. moreover, the association between diversity and mean fitness lies outside the scope of this study and has been addressed elsewhere. authors excluded a few studies from which they could not calculate an appropriate effect size.",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.9375,pests and diseases
