fpid,doi,impact_matrix,factor1_title,factor1_direction,factor2_title,factor2_direction,factor3_title,factor3_direction,factor4_title,factor4_direction,factor5_title,factor5_direction,factor6_title,factor6_direction,factor7_title,factor7_direction,factor8_title,factor8_direction
Crop residue management; No irrigation,10.1007/s13593-022-00766-8,Crop yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop residue management; No irrigation,10.1007/s13593-022-00766-8,Water use,Irrigation amount,the wheat WUE significantly increased when the irrigation amount was 80–160 mm and  decreased when the irrigation amount was > 160 mm (p < 0.05).,Annual temperature,"When the mean annual temperature was ≥ 13°C, irrigation significantly increased the wheat WUE by 5% compared with rain-fed wheat (p <0.05; no effect below 13°C).",Irrigation timing,"Two irrigations can significantly increase the wheat WUE by 5% (p < 0.05), compared with no irrigation. One irrigation had no effect, >2 times had a negative effect on WUE.",N fertilization,"When the nitrogen application rate was at a level of 220–250 kg·ha−1, a significant increase of 6% in the WUE was observed. Below or above this range, irrigation had a negative effect on WUE. Zero nitrogen applications significantly decreases the wheat WUE  compared with no irrigation. >0 times had no effect on WUE. A significant negative relationship was observed between basal-topdressing ratio and the ln Rs of WUE.",Annual precipitation,"When the mean annual precipitation was > 625 mm, irrigation significantly decreased the wheat WUE compared with rain-fed wheat (no effect below 625). When the mean seasonal precipitation was > 140 mm, irrigation significantly decreased the wheat WUE compared with rain-fed wheat (no effect below 140). When the  annual precipitation was > 580 mm, irrigation significantly increased the wheat WUE compared with rain-fed wheat (negative effect below 580). When the seasonal irrigation amount+ precipitation (mm) was < 240 mmirrigation significantly increased the wheat WUE compared with rain-fed wheat (negative effect above 240).",Soil characteristics,"When soil pH was < 8, irrigation significantly decreased the wheat WUE compared with rain-fed wheat (no effect above 8). When soil organic carbon was 7-9 g kg-1 (no effect above or below that range).  The bulk density  was negatively correlated with the ln Rs of WUE.",Experimental duration,"When Experimental duration was > 2 years, irrigation significantly decreased the wheat WUE compared with rain-fed wheat (no effect below 2).",NA,NA
Leguminous crops,10.1007/s13593-022-00816-1,Crop yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leguminous crops,10.1007/s13593-022-00816-1,Cropping system productivity,Type of legume,"The LER varied with the grain legume species, and it was higher for maize/peanut intercrop in Africa (1.50 ± 0.05) compared with China (1.03 ± 0.02). China’s maize/soybean LER was 1.38 ± 0.03 compared with 1.35 ± 0.02 of the Africa. For China, the maize/faba bean LER was 1.31 ± 0.04 and that for maize/pea was 1.47 ± 0.03. For Africa, the LER for maize/cowpea was 1.37 ± 0.03 and that for maize/common bean was 1.34 ± 0.03. The net effect was significantly higher in China (2.43 ± 0.02) than in Africa (0.79 ± 0.01) for maize/soybean. Similarly, the net effect was 1.45 ± 0.06 for China and 0.61 ± 0.02 for Africa in maize/peanut intercrops. In China, net effect was high for maize/faba bean (2.30 ± 0.29) while it was lowest for maize/peanut (1.45 ± 0.03). The highest net effect was observed in maize/common bean (1.89 ± 0.05), and the lowest in maize/peanut (0.70 ± 0.01) for Africa.",Type of intercropping,"The LER for strip intercropping was 1.43 ± 0.03 for China and 1.30 ± 0.05 for Africa. Alternate row intercropping had a LER of 1.37 ± 0.02 for Africa and 1.10 ± 0.02 for China. Mixed intercropping had a LER of 1.48 ± 0.04 while that of relay intercropping was 1.35 ± 0.04 for Africa. Relay-strip intercropping was unique to China, with the highest LER (1.65 ± 0.26). The results on net effect indicated that China’s alternate row intercropping provides a higher net effect (1.03 ± 0.02) than Africa’s 0.90 ± 0.01 (Fig. 4b). While relay-strip and strip had higher net effect in China, the net effect was significantly lower in both strip (0.56 ± 0.03) and mixed intercropping (0.71 ± 0.01) for Africa. Africa’s relay intercropping had a higher net effect (2.34 ± 0.13) than other systems.",Geographical location,"When comparing China and Africa, the LER and net effect in strip intercropping were higher for China than for Africa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leguminous crops,10.1007/s13593-022-00816-1,Plant nutrient uptake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1007/s13593-023-00927-3,Crop yield,Tree Species,"Average change is −26.07%, ranging from −75.78% (ash) to +3.30% (walnut).",Tree Cover,"Average change is −23.95%, with high cover at −33.47% and low cover at −8.24%.",Crop Species,"Average change is −24.26%, from −80.78% (faba bean) to +13.11% (winter wheat).",Management,"Average change is −24.42%, from −52.84% (imposed warming/drought) to +16.13%.",NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1007/s13593-023-00927-3,Grassland production,Tree Species,"Average change is −26.07%, ranging from −75.78% (ash) to +3.30% (walnut).",Tree Cover,"Average change is −23.95%, with high cover at −33.47% and low cover at −8.24%.",Crop Species,"Average change is −24.26%, from −80.78% (faba bean) to +13.11% (winter wheat).",Management,"Average change is −24.42%, from −52.84% (imposed warming/drought) to +16.13%.",NA,NA,NA,NA,NA,NA,NA,NA
Organic fertilisation,10.1016/S2095-3119(17)61673-3,Carbon sequestration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic fertilisation,10.1016/S2095-3119(17)61673-3,Crop yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic fertilisation,10.1016/S2095-3119(17)61673-3,GHG emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic fertilisation,10.1016/S2095-3119(17)61673-3,Soil nutrients,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soil amendment with biochar,10.1016/bs.agron.2017.11.005,Crop yield,Soil pH,"With the BC addition, an increase of grain yield with medium effect size values was estimated in the different ranges ofsoil pH (neutral, acidic, and very acidic; 0.414–0.553 E+).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soil amendment with biochar,10.1016/bs.agron.2017.11.005,GHG emissions,Biochar feedstock,"Feedstock type showed negative or positive medium effect size (-0.467 E- to 0.776 E+) on cumulative CO2 emission from rice paddies. Rice husk BC increased the cumulative CO2 emission by 12.8% with a large E+ value of 3.2. In contrast, the BCs derived from wood and manure/ sludge feedstocks reduced cumulative CO2 emission from rice paddy soils with significant effects (-2.57 to -6.74 E-). The largest decrease (23.6%) in cumulative CO2 emission was measured following the application of wood BC, compared to the control. The BCs derived from rice husk and maize straw significantly reduced cumulative CH4 emission (-0.331 to -8.017 CI95%). Other than maize straw and rice husk BCs, a feedstock type of BC led to insignificant changes in cumulative CH4 emission with a negative medium N2O emission by an average of26.1% with E? values of?0.692 to ?0.863 effect size <0.39 E-. A feedstock type ofBC decreased cumulative N2O emission by an average of 26.1% with E- values of -0.692 to -0.863.",Biochar pyrolysis temperature,NA,Biochar application rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soil amendment with biochar,10.1016/bs.agron.2017.11.005,Heavy metals pollution,Biochar feedstock,"Feedstock type showed negative or positive medium effect size (-0.467 E- to 0.776 E+) on cumulative CO2 emission from rice paddies. Rice husk BC increased the cumulative CO2 emission by 12.8% with a large E+ value of 3.2. In contrast, the BCs derived from wood and manure/ sludge feedstocks reduced cumulative CO2 emission from rice paddy soils with significant effects (-2.57 to -6.74 E-). The largest decrease (23.6%) in cumulative CO2 emission was measured following the application of wood BC, compared to the control. The BCs derived from rice husk and maize straw significantly reduced cumulative CH4 emission (-0.331 to -8.017 CI95%). Other than maize straw and rice husk BCs, a feedstock type of BC led to insignificant changes in cumulative CH4 emission with a negative medium N2O emission by an average of26.1% with E? values of?0.692 to ?0.863 effect size <0.39 E-. A feedstock type ofBC decreased cumulative N2O emission by an average of 26.1% with E- values of -0.692 to -0.863.",Biochar application rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cover and catch crops; Green manure; Leguminous crops,10.1016/j.agee.2005.07.003,Crop yield,Soil type,NA,Tillage,NA,Climate,NA,Cover crop phenology,NA,Mineral fertilisation rate,"compared to low inorganic fertilizer application, legume systems averaged a 5% yield improvement. As a result, the overall effect size under all fertilizations tested was a 7% decline in yield in legume relative to conventional systems.",NA,NA,NA,NA,NA,NA
Green manure; Leguminous crops; Cover and catch crops,10.1016/j.agee.2005.07.003,Nutrient leaching and run-off,N cover crop input to soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features,10.1016/j.agee.2006.03.029,Nutrient leaching and run-off,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features,10.1016/j.agee.2006.03.029,Soil erosion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peatland management,10.1016/j.agee.2008.12.004,Crop yield,Soil P test at the beginning of the experimemt,"On organic soils with low soil test P, P fertilization increased crop yields to a larger extent than on soils with medium and high soil test P, which responded negligibly to P fertilization.",Productivity without P fertilisation,"Cereal responses to P fertilization varied depending on productivity on organic soils (Qb = 42.9, d.f. = 2, P = 0.0002). When productivity was less than 2000 kg/ha, the yield increase due to P fertilization was up to fourfold compared to that found in the case of higher productivity.",P application rate,"Phosphorus application rates of 6–15 kg/ha (mean 13 kg/ha) significantly increased cereal yields by 23% on organic soils compared to the control. However, no further yield benefits were obtained at higher P rates. Similarly, in the case of grasses, maximum grass yield increases were obtained with the lowest P applications, with no further yield increases above P rates of 6–15 kg/ha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No tillage and reduced tillage,10.1016/j.agee.2010.08.006,Carbon sequestration,Cropping system,"The types of cropping systems affected the impacts of NT on soil C change with depth. NT with double cropping systems (two crops per year) caused more C accumulation in the surface 0-20 cm soil layers and less C decline in the 20-30 cm soil layer. When the total soil C to 60 cm depth is considered, NT led to significant increase in soil C (10.94%) only when double cropping was practiced. In all the single cropping systems, with increasing number of crop species in rotation, NT led to less increase in soil C in the surface 10 cm of soil and more decline in soil C at the 20-30 cm depth. As a result, net change of total soil C stock would change from positive to negative with increasing depth to 60 cm. For all the single cropping systems, the relative change of total soil C to the 60 cm depth (4.69%, 3.20% and -2.94% for monoculture, two and three crop types respectively) did not significantly differ from zero.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic farming systems,10.1016/j.agee.2011.03.014,Pests and diseases,Pests type,NA,Crop type,NA,Presence of pest management,NA,Experiment scale,"The scale of the experiments had an impact on the measured natural enemy response, with a significant positive mean effect size shown by natural enemies in farm scale studies (Fig. 2e). Field scale studies showed an opposing response although this was not significant.",NA,NA,NA,NA,NA,NA,NA,NA
Organic fertilisation,10.1016/j.agee.2011.08.020,Soil biological quality,Climate,The use of organic amendments increased microbial C more in mid latitude studies (55%) than in high (30%) and low (26%) latitude studies.,Organic fertiliser type,The type of amendment strongly influenced microbial carbon responses to organic inputs. Cattle manure increased microbial carbon (58%) more than both poultry and unspecified farm yard manure and was the only amendment that improved the microbial carbon response above the overall mean.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic fertilisation,10.1016/j.agee.2012.09.006,GHG emissions,Tillage,The lower mean cumulative emissions registered for tilled is opposed to no-tilled or minimum-tilled treatments.,Water management,"Irrigation is associated to the intensification in N inputs, and in Mediterranean cropping systems it usually takes place in late spring and summer, when temperatures are highest. Therefore, the most relevant physical properties of the soil (temperature and water and N availability) are optimal for N2O production during the cropping season.",N application rate,"A clear relationship between fertilizer dose and N2O emissions could be observed in EF, but not in cumulative emissions.",Crop type,Winter cereals and legumes exhibit exceptionally low N2O emission levels. The highest emissions were registered for maize.,NA,NA,NA,NA,NA,NA,NA,NA
Water-saving irrigation practices in flooded lands,10.1016/j.agee.2012.10.009,Crop yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water-saving irrigation practices in flooded lands,10.1016/j.agee.2012.10.009,GHG emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features,10.1016/j.agee.2012.12.010,Crop yield,Tree functional group,The tree functional groups had a significant effect on effect sizes (P < 0.0001).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems; Leguminous crops,10.1016/j.agee.2012.12.010,Grassland production,precipitation; Precipitation,"eucalyptus competition and N-fixing facilitation increase in the driest conditions and eucalyptus has negative effect on pasture yields in dry conditions.; Eucalyptus competition and N-fixing facilitation increase in the driest conditions and eucalyptus has negative effect on pasture yields in dry conditions. Linear mixed-models within each tree functional group revealed significant effect of annual precipitation for the Eucalyptus (QM = 12.16, d.f. = 1, P = 0.0005) and N-fixing (QM = 9.04, d.f. = 1, P = 0.0026) groups. A positive linear relationship (r2 = 0.35) between effect size and annual precipitation was found for the Eucalyptus group, while a negative linear relationship (r2 = 0.61) was found for the N2-fixing group.",Type of trees,eucalyptus competition and N-fixing facilitation increase in the driest conditions and eucalyptus has negative effect on pasture yields in dry conditions.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic farming systems; Organic fertilisation; No tillage and reduced tillage,10.1016/j.agee.2013.02.003,Carbon sequestration,C input; Organic fertiliser type; Land use,"Compost, either applied alone or in combination with cover crops, is the input associated to highest increases in SOC and in C sequestration rate. Manure application obtains poorer results, being the increase in C sequestration rate over conventional non-significant when this amendment is applied alone, while when manure is combined with cover crops, the increase is higher and significant.; The relatively lower effect of NT on SOC is influenced by the inclusion of 5 woody crops treatments. SOC increased by 18.2% (N = 28) under NT in herbaceous crops, but decreased by 22.9% (N = 5) in woody crops.",Soil disturbance; Organic fertiliser application rate,"C input rate had a significant correlation with C sequestration rate in the reviewed studies (R, Spearman = 0.74, p < 0.001). In many cases, SOC sequestration was higher than 50% of added C input, and in some cases it was even higher than 100%.",Tillage intensity,SOC content and C sequestration rate are significantly higher than in conventional soils for conservation tillage categories.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water-saving irrigation practices in non-flooded lands; Cover and catch crops; Leguminous crops,10.1016/j.agee.2013.04.018,Crop yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water-saving irrigation practices in non-flooded lands; Cover and catch crops; Leguminous crops,10.1016/j.agee.2013.04.018,Nutrient leaching and run-off,Water management,"Observations were distributed between the various irrigation types: 23 for surface, 24 for sprinkle, 14 for central pivot and 54 for drip irrigation. Within a given irrigation type adopting a strategy to control NL had a positive effect, with largest effects achieved when mitigating strategies were implemented for surface irrigation and smallest effects when drip irrigation was used. This means that on average there is more potential for controlling NL in surface than in drip irrigated systems, with sprinkle and central pivot systems presenting intermediate opportunities for reductions in NL.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cover and catch crops; Leguminous crops,10.1016/j.agee.2013.04.018,Plant nutrient uptake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cover and catch crops; Leguminous crops,10.1016/j.agee.2015.01.023,Crop yield,Soil type,"Compared to controls, the effect of non-legume catch crops on grain yields tended to vary between soil textures (QB = 1.8, P = 0.06, df = 2): –8% (–10% to –3% CI, n = 11) on loam; –1% (–6% to –1% CI, n = 3) on clay, and no statistically significant change (3%, –10% to 15% CI, n = 4) on sandy soils. In contrast, the effect of legume catch crops showed no difference between the soil types (QB = 0.02, P = 0.9, df = 1).",N fertilisation rate,"Meta-regression indicated that the grain yield responses to the catch crops depended on N application rates (Fig. 4). At low N rates, catch crops had a positive effect; at 60 kg N ha−1, for example, the yield rose to 8% over that of the controls with no catch crops. In contrast, at 95 kg N ha−1, the yield response declined compared to that of the controls, and at 120 kg N ha−1, it dropped to –6%.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cover and catch crops; Leguminous crops,10.1016/j.agee.2015.01.023,Nutrient leaching and run-off,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water-saving irrigation practices in flooded lands; Livestock feeding techniques,10.1016/j.agee.2015.04.035,GHG emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enhanced efficiency fertilisers; Grassland management,10.1016/j.agee.2015.09.030,GHG emissions,Crop type,"On average, the largest inhibitor effect was for grassland systems (40.8%, 95% confidence interval (CI) 29.0% to 52.9%) followed by cropland (34.3%, 95% CI 23.6% to 46.0%). Paddy (26.5%, 95% CI 5.5% to 47.6%) and upland systems (27.0%, 95% CI 16.5% to 36.9%) showed the lowest inhibitor effect.",Soil texture and pH,"On average NI, application reduced N2O emissions and this effect varied with soil type: the inhibitor effect on sandy clay loam was 50.0%, on silt loam was 45.8%, on clay was 43.9%, on sandy loam was 42.9%, on clay loam was 37.8%, silty clay loam was 36.2% and on loam was 32.3%.",Fertiliser type,"The inhibitory effect depended on fertiliser type resulting in: 51.8% for calcium amonium nitrate (CAN), 48.0% for urine, 46.0% for urea (U), 42.6% for cattle slurry (CS), 33.9% for amonium sulphate nitrate (ASN), 31.2% for pig slurry (PS), 30.5% for amonium nitrate (AN), 30.0%  for amonium sulphate (AS), 24.4% for nitrophoska+U and 10.1% for potassium nitrate (PN) (only one data point).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leguminous crops; Conservation agriculture systems,10.1016/j.agee.2016.01.005,Carbon sequestration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1016/j.agee.2016.01.026,Carbon sequestration,Grazing intensity,"SOC was significantly reduced by 13% when the grassland was heavily degraded (i.e. grazed) and 7% when moderately degraded. This resulted in a trend of declining differences in SOC stocks between degraded and non-degraded grasslands, with no differences between degraded and non-degraded grasslands when the grasslands were lightly grazed.",Mean annual precipitation,Changes in SOC stocks induced by grassland degradation were found to be significantly and negatively correlated with mean annual temperature with areas receiving 600 mm or less of rain per year showing a greater decline in SOC stocks (-16%) than areas receiving 600–1000 mm (-1%).,Mean annual temperature,"Grassland degradation (i.e. grazing) significantly reduced SOC stocks by 35% in sites with temperatures <0ºC, while there was no significant effect on SOC stocks for the 0–10 ºC and >10 ºC mean annual temperature categories.",Soil texture,"Grassland degradation (i.e., grazing) had a significant negative effect on coarser-textured than clayey- textured grassland soils. On average, grassland degradation resulted in a 12% decline in SOC stocks in loamy soils (20–32% clay), 10% in sandy soils (<20% clay) and there was a negligible effect (1%) in soils with a clay content of more than 32%.",Soil pH,"Changes in SOC stocks were the greatest in acidic soils (pH < 5), with an average loss of 14%.",Grass type,The depletion of SOC stocks as a result of grazing was found to be related to plant photosynthetic pathway (C3 for grasses adapted to cool-season conditions vs C4 for grasses adapted to warm-season conditions). Grassland degradation impact on SOC stocks was greater for C3 grasses (-14%) compared to C4 grasses.,NA,NA,NA,NA
Enhanced efficiency fertilisers,10.1016/j.agee.2016.01.044,Crop yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enhanced efficiency fertilisers,10.1016/j.agee.2016.01.044,GHG emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grassland management,10.1016/j.agee.2016.02.008,Biodiversity,Geographical area,"In some continents (e.g. Southern Europe) mowing performed better compared to grazing, while in others grazing had a more positive effect (e.g. Central Europe).",Grassland type,"Grazing had a more positive effect in calcareous coastal dunes (d = -0.266), while grazing and mowing had a similar effect in semi-natural grasslands (d = 0.064). Grazing had a more positive effect in lowland grasslands (d = -0.193) while mowing had a more positive effect in mountainous grasslands (d = 0.185).",Organism,Grazing had a more positive effect on e.g. butterflies while grazing and mowing had a similar effect on plants (d = 0.002).,Mowing date,"The effect of grazing was more positive than mowing during summer (d = -0.160), while mowing during autumn had a more positive effect compared to grazing (d = 0.532).",Historical management,"For some historical management methods (e.g. mowing with aftermath grazing) the effect of mowing was more positive, while the effect of grazing was more positive in historically grazed grasslands (d = -0.134).",Recent management,"Grazing had a more positive effect if the recent management was e.g. abandonment and unchanged management, while mowing had a more positive when the previous management was agricultural (e.g. crop field) and mowing (d = 0.163), or when there was no change in management method when the study was initiated (d = 0.274).",NA,NA,NA,NA
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,Carbon sequestration,Age of the system,"Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.",Type of agroforestry,"Effect on soil carbon sequestration rate diminishes over time, and depends on the type of agroforestry system considered.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,GHG emissions,Soil bulk density,"Any reduced net CH4 emissions in agroforestry (i.e. greater uptake) compared with agriculture was probably mainly related to greater soil pore space in soils under agroforestry compared with agricultural fields, as reflected in reduced soil bulk density under agroforestry.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,Soil nutrients,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1016/j.agee.2016.04.011,Soil physico-chemical quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No tillage and reduced tillage,10.1016/j.agee.2016.04.033,Soil erosion,Climate,"Sediment concentration was lower under NT compared to CT in temperate maritime and temperate continental climatic zones, but there were no significant differences in sediment concentration between NT and CT in subtropical and tropical climatic zones. Soil losses were lower under NT compared to CT in temperate maritime and temperate continental climatic zones.",Mean annual precipitation,"Lower sediment concentration under NT was observed in locations receiving >1000 mm and <600 mm mean annual precipitation (77% and 62% for sediment concentration, respectively). Lower soil losses under NT were observed in locations receiving >1000 mm and <600 mm mean annual precipitation.",Mean annual temperature,"Sediment concentration was 56% and 73% lower in NT than CT in areas with mean annual temperature (MAT) <=10°C and 10 < MAT < 20°C, respectively. No significant difference existed between NT and CT were evident at higher mean annual temperature (>20°C). No significant differences in soil losses existed between NT and CT were evident at higher mean annual temperature (>20°C).",Topography,"Sediment concentration under NT were lower relative to CT on moderately steep (10–30%), gently sloping (2–5%) and very gently sloping (1–2%) gradients (79%, 68% and 35% respectively). Sediment concentration under NT were lower than under CT at all examined slope length categories with the largest difference (90%) being in 10–15 m long plots. Soil loss under NT was lower relative to CT on moderately steep (10–30%), gently sloping (2–5%) and very gently sloping (1–2%) gradients. Soil losses under NT were lower than under CT at all examined slope length categories with the largest difference (90%) being in 10–15 m long plots.",Soil texture and soil type,"Sediment concentration under NT was lower than CT in loamy (-71%) and sandy soils (-53%). Sediment concentration under NT compared to CT was 66% lower in soils with bulk density from 1.2 to 1.6 g cm^(-3) while no significant differences in sediment concentration were shown in lighter soils (>=1.2 g cm^-(3)). Soil loss (product of runoff and sediment concentration) in NT was 75% and 68% lower than in CT in loamy and sandy soils, respectively. Lower soil loss under NT than CT (-73%) was confined to soils with 1.2 to 1.6 g cm^(-3) bulk density.",Soil organic carbon,Largest effect of NT on sediment concentration in soils with 1 to 2% of SOC.,Time since treatment,NT only reduced sediment concentration compared to CT in short-term (<5 years) and medium-term (5–10 years) experiments as compared to long term ones. NT only reduced soil losses compared to CT in short-term (<5 years) and medium-term (5–10 years) experiments as compared to long term ones.,Crop type,"Effect of NT on sediment concentration were the lowest for legumes, compared to cereal-legume rotations and cereal mono-crops. Effect of NT on soil losses were the lowest for legumes, compared to cereal-legume rotations and cereal mono-crops."
Agroforestry practices and systems,10.1016/j.agee.2016.06.002,Biodiversity,Pedo-climate,"Bioclimatic area, annual average rainfall, temperature, slope. there was a trend that the ecosystem service benefit of agroforestry tended to decrease with precipitation (slope = −0.001 mm−1) and increase with temperature (slope = 0.164 °C−1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1016/j.agee.2016.06.002,Farming system productivity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1016/j.agee.2016.06.002,Grassland production,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agroforestry practices and systems,10.1016/j.agee.2016.06.002,Soil nutrients,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enhanced efficiency fertilisers,10.1016/j.agee.2016.06.038,Crop yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enhanced efficiency fertilisers,10.1016/j.agee.2016.06.038,GHG emissions,Aridity,Higher effect in arid than in humid regions,Irrigation,Higher effect under irrigated than rainfed fields.,Soil characteristics,"Soil pH: no effect in acid soils. Soil texture: no effect on area-scaled N2O emission in coarse soil, only significant effect on yield-scaled N2O emissions in fine soil.",N application characteristics,"N application rate: no effect at medium N rates for wheat and maize. N application timing: only significant effect when N was applied after emergence as a top dressing fertilizer. N application placement: positive effect for SBC, negative effect under SB, no effect under BI.",Tillage,"No effect under RT and NT in humid areas, no effect under CT in arid areas",NA,NA,NA,NA,NA,NA
Organic fertilisation,10.1016/j.agee.2016.07.015,Soil biological quality,Organic fertiliser C content,Species richness and total nematode abundance increased with increasing carbon inputs from fertilizers,Organic fertiliser N content,"Greater nitrogen application rates from fertilizers signiﬁcantly reduced the species richness, Shannon’s diversity of nematodes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Low ammonia emission techniques for mineral fertilisation; Enhanced efficiency fertilisers; Crop residue management,10.1016/j.agee.2016.08.019,Air pollutants emissions,N application rate; UI type,"Increasing N application rate resulted in up to 180.7% increase in NH3 volatilization.; Stronger effect for CHPT, no effect for hydroquinone",CRF type,Stronger effect for for methylene urea,NI type,"DCD application increases NH3 volatilization, while DMPP application had no impact on NH3 volatilization.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic fertilisation,10.1016/j.agee.2016.10.024,Carbon sequestration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic fertilisation,10.1016/j.agee.2016.11.021,GHG emissions,Organic fertiliser N content,"Pig slurries that contained greater mineral N content (>10% d.w.), more water content (>95%) and low C/N ratio (<5) had larger EFs than more viscous animal slurries (dry matter range of 5–15%), SM (dry matter >15%) or more stabilized products (C/N ratio >30).",Organic fertiliser C/N ratio,The EFs of organic fertilisers and combined organic and mineral fertilisers decreased as the C/N ratio of organic amendment decreased.,Soil texture,N2O emissions were greater in fine-textured than coarse-textured soils.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soil amendment with biochar,10.1016/j.agee.2017.01.006,Soil biological quality,Time scale,"SMBC was significantly but moderately increased by 26% (CI: 20%–32%) in incubation experiments with durations shorter than 6 months but unchanged in those sustained over 6 months, following biochar addition. Compared to no significant change in the field studies having durations longer than 12 months, SMBC was significantly but largely increased by 34% (CI: 21%–49%) and 35% (CI: 26%–45%) respectively in the pot and field studies having durations less than 12 months.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features; Agroforestry practices and systems,10.1016/j.agee.2017.04.015,Carbon sequestration,Distance to field edge; hedgerow width to height ratio,"Close to the hedgerows, the SOC stock increased and the magnitude of this positive eﬀect decreased when D/H increased.; Negative influence (−0.52).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
