"fpid","doi","population","intervention","intervention_matrix","control","control_matrix","metric","metric_positive_effect","effect_size","impact_matrix","impact_positive_effect","positive","negative","no_effect","uncertain","results_level","results_qtype","results_statistics","results_1","results_2","results_3","results_nb_of_trials","results_nb_of_papers","results_threshold","i_c_shift","metric_std2","metric_unit","sustainability_outcome","f_pclass_tier0","policy_class_codes","policy_class_names","scale","population_name1","population_value1","population_name2","population_value2","population_name3","population_value3","population_name4","population_value4","population_name5","population_value5","population_name6","population_value6"
"Livestock feeding techniques","10.1016/j.aninu.2021.09.005","Ruminants","Essential oils","Essential oils","Diets without dietary abatement measure","No essential oils","NDF digestibility","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Animal production","increase",1,0,0,0,"Subgroup-1","Ratio of the considered metrics in the intervention to the considered metrics in the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","1.17","1.02","1.32",NA,NA,"1",0,"Feed digestibility","NDFD g / 100 g NDFI","Agricultural production","Animal husbandry","A14","Feed additives (A14)","Not reported",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","Yeasts","Probiotics","No yeasts","No probiotics","CH4 conversion rate - Ym","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","GHG emissions","decrease",0,0,1,0,"Subgroup-3","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","1.17840164858001","-3.2","5.8","8","4","0",0,"Methane emission (enteric fermentation)","CH4 % of gross energy intake (GEI)","GHG emissions","Animal husbandry","A14","Feed additives (A14)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).","Forage species","Forage species include Lespedeza, Leucaena, Lotus and Sainfoin. Effect sized by species are available in the MA (not extracted)",NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1088/1748-9326/aa6cd5","Beef cattle","Grain-fed","Grain-fed","Grass-fed","Grass-fed","Global warming potential (GWP)","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Global warming potential (LCA)","decrease",0,0,1,0,"Grand mean","Ratio of the considered metrics in the intervention to the considered metrics in the control","mean; mean-standarderror; mean+standarderror","1.1955","1.0499000000000001","1.3612","7",NA,"1",0,"Global warming potential",NA,"GHG emissions","Animal husbandry","A15X","Optimised feeding plans (A15X)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","Rumen protected fat","Rumen protected fat","No rumen protected fat","No rumen protected fat","Fiber digestibility","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Animal production","increase",0,0,1,0,"Subgroup-2","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","1.2","-1.1000000000000001","3.5","4","3","0",0,"Feed digestibility","apparent digestibility of neutral detergent fiber  (%)","Agricultural production","Animal husbandry","A14","Feed additives (A14)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","Increasing corn silage maturity","Increasing corn silage maturity","Not increasing corn silage maturity","Not increasing corn silage maturity","CH4 yield","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","GHG emissions","decrease",0,0,1,0,"Subgroup-2","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","1.2","-8.1999999999999993","11.6","3","3","0",0,"Methane emission (enteric fermentation)","CH4 g /kg DMI","GHG emissions","Animal husbandry","A15X","Optimised feeding plans (A15X)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).","Forage species","Forage species include Lespedeza, Leucaena, Lotus and Sainfoin. Effect sized by species are available in the MA (not extracted)",NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","Lactobacillus","Probiotics","No Lactobacillus","No probiotics","Fiber digestibility","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Animal production","increase",0,0,1,0,"Subgroup-4","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","1.2320946572129901","-3.5","6.1","5","2","0",0,"Feed digestibility","apparent digestibility of neutral detergent fiber  (%)","Agricultural production","Animal husbandry","A14","Feed additives (A14)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","Hydrolysable tannins","Tannins","No Hydrolysable tannins","No tannins","Feed intake","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Animal production","increase",0,0,1,0,"Subgroup-4","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","1.244862345542","-3.4","6.1","2","2","0",0,"Feed intake","DMI kg /day","Agricultural production","Animal husbandry","A14","Feed additives (A14)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","Rumen manipulation","Rumen manipulation","No rumen manipulation","No rumen manipulation","Weight gain","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Animal production","increase",0,0,1,0,"Grand mean","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","1.26166257934499","-0.2","2.7","40","72","0",0,"Weight gain","Avg. daily gain kg /day","Agricultural production","Animal husbandry","A14","Feed additives (A14)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","Essential oils","Essential oils","No essential oils","No essential oils","Feed intake","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Animal production","increase",0,0,1,0,"Subgroup-3","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","1.27466419006801","-0.5","3.1","34","22","0",0,"Feed intake","DMI kg /day","Agricultural production","Animal husbandry","A14","Feed additives (A14)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1016/j.aninu.2021.09.005","Ruminants","Essential oils","Essential oils","Diets without dietary abatement measure","No essential oils","Dry matter digestibility","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Animal production","increase",1,0,0,0,"Subgroup-1","Ratio of the considered metrics in the intervention to the considered metrics in the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","1.29","1.19","1.4",NA,NA,"1",0,"Feed digestibility","DMD g /100 g DMI","Agricultural production","Animal husbandry","A14","Feed additives (A14)","Not reported",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","Additives","Additives","No additives","No additives","Weight gain","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Animal production","increase",0,0,1,0,"Subgroup-1","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","1.31014981161099","-0.2","2.8","58","29","0",0,"Weight gain","Avg. daily gain kg /day","Agricultural production","Animal husbandry","A14","Feed additives (A14)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1088/1748-9326/aa6cd5","Beef cattle","Grain-fed","Grain-fed","Grass-fed","Grass-fed","Land use","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Land use (LCA)","decrease",1,0,0,0,"Grand mean","Ratio of the considered metrics in the intervention to the considered metrics in the control","mean; mean-standarderror; mean+standarderror","1.3289","1.194","1.4772000000000001","4",NA,"1",0,"Land use (product based)",NA,"Sustainable use of resources","Animal husbandry","A15X","Optimised feeding plans (A15X)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Livestock feeding techniques","10.1073/pnas.2111294119","Ruminants","Yeasts","Probiotics","No yeasts","No probiotics","Feed intake","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Animal production","increase",0,0,1,0,"Subgroup-3","Relative (as percentage) change of the considered metrics, i.e difference of the considered metrics between intervention and control, divided by the control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","1.348020613321","-0.5","3.2","13","8","0",0,"Feed intake","DMI kg /day","Agricultural production","Animal husbandry","A14","Feed additives (A14)","Global","Animal type","The final dataset analyzed in the present study included data from 430 peer-reviewed publications, of which 66% were of cattle, 31% of small ruminants (sheep and goats), and 3% of other ruminant species (buffalo, deer, and yak).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grassland management","10.1111/brv.12554","Grasslands","Increased plant species richness","Increased grass species richness","Monospecific grasslands","Mono- and low grass species richness","Soil microbial biomass carbon","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil biological quality","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Taxonomic parameters (microbes)",NA,"Soil health","Grassland and grazing","GX,Z23","Grassland and grazing (GX) Conservation of valuable grassland species  (Z23)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Water-saving irrigation practices in non-flooded lands","10.1016/j.agwat.2021.107027","Cotton","Deficit irrigation","Deficit irrigation","Full irrigation","Non water-saving irrigation practices in non-flooded lands","Crop yield","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Crop yield","increase",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Crop yield",NA,"Agricultural production","Water management","W142","Irrigation limitations in quantity and rates (W142)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Water-saving irrigation practices in non-flooded lands","10.1016/j.agwat.2021.107027","Cotton","Deficit irrigation","Deficit irrigation","Full irrigation","Non water-saving irrigation practices in non-flooded lands","Water productivity","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Water use","decrease",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Water use efficiency",NA,"Sustainable use of resources","Water management","W142","Irrigation limitations in quantity and rates (W142)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Soil amendment with biochar","10.1039/c8em00278a","Paddy soils and upland soils","Soil amendment with biochar","Soil amendment with biochar","No amendment","No amendment","CH4 emission","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","GHG emissions","decrease",0,0,1,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Methane emission (soil)","C kg /ha /day","GHG emissions","Fertilisation and soil amendments","F311","Application of raw biochar (F311)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cover and catch crops","10.1016/j.agee.2021.107356","Organic farming systems","Organic farming systems using cover crops","Cover crops","Organic farming systems not using cover crops","Bare soil","SOC concentrations","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Carbon sequestration","increase",0,0,1,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Organic carbon content (soil)","C kg /kg dry soil","Carbon sequestration","Soil management","S23X","Cover crops (S23X)","Global. Most research occurred in the United States (N = 7), Spain (N = 6), India (N = 5), and Germany (N = 5).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Organic fertilisation","10.1016/S2095-3119(17)61673-3","Not specified","Application of combination of organic and mineral fertilizers","Organic fertilisation","No fertilisation","No fertilisation","Soil organic carbon","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Carbon sequestration","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Organic carbon content (soil)","C g /kg soil","Carbon sequestration","Fertilisation and soil amendments","F111|","Ban on organic fertiliser (F111)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Organic fertilisation","10.1016/S2095-3119(17)61673-3","Not specified","Application of organic fertiliser","Organic fertilisation","No fertilisation","No fertilisation","Soil organic carbon","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Carbon sequestration","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Organic carbon content (soil)","C g /kg soil","Carbon sequestration","Fertilisation and soil amendments","F111|","Ban on organic fertiliser (F111)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Organic fertilisation","10.1016/S2095-3119(17)61673-3","Not specified","Application of combination of organic and mineral fertilizers","Organic fertilisation","No fertilisation","No fertilisation","N2O emissions","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","GHG emissions","decrease",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Nitrous oxide emission (organic fertilisers)",NA,"GHG emissions","Fertilisation and soil amendments","F111|","Ban on organic fertiliser (F111)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Organic fertilisation","10.1016/S2095-3119(17)61673-3","Not specified","Application of organic fertiliser","Organic fertilisation","No fertilisation","No fertilisation","N2O emissions","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","GHG emissions","decrease",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Nitrous oxide emission (organic fertilisers)",NA,"GHG emissions","Fertilisation and soil amendments","F111|","Ban on organic fertiliser (F111)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Organic fertilisation","10.1016/S2095-3119(17)61673-3","Not specified","Application of combination of organic and mineral fertilizers","Organic fertilisation","No fertilisation","No fertilisation","Crop yield","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Crop yield","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Crop yield",NA,"Agricultural production","Fertilisation and soil amendments","F111|","Ban on organic fertiliser (F111)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Organic fertilisation","10.1016/S2095-3119(17)61673-3","Not specified","Application of organic fertiliser","Organic fertilisation","No fertilisation","No fertilisation","Crop yield","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Crop yield","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Crop yield",NA,"Agricultural production","Fertilisation and soil amendments","F111|","Ban on organic fertiliser (F111)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Organic fertilisation","10.1016/S2095-3119(17)61673-3","Not specified","Application of combination of organic and mineral fertilizers","Organic fertilisation","No fertilisation","No fertilisation","Soil total nitrogen","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil nutrients","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Soil nitrogen",NA,"Soil health","Fertilisation and soil amendments","F111|","Ban on organic fertiliser (F111)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Organic fertilisation","10.1016/S2095-3119(17)61673-3","Not specified","Application of organic fertiliser","Organic fertilisation","No fertilisation","No fertilisation","Soil total nitrogen","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil nutrients","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Soil nitrogen",NA,"Soil health","Fertilisation and soil amendments","F111|","Ban on organic fertiliser (F111)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Soil amendment with biochar","10.1016/j.scitotenv.2020.136635","Not specified","Soil amendment with biochar","Soil amendment with biochar","No amendment","No amendment","Crop yield metrics: Total biomass, grain yield, aboveground biomass (shoot biomass) and/or underground biomass (root biomass)","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Crop yield","increase",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Crop yield","t /ha","Agricultural production","Fertilisation and soil amendments","F311","Application of raw biochar (F311)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crop residue management","10.1016/j.agee.2021.107795","Annual and perennial crops (rice, maize, wheat, tea, orchard, and paulownia)","Straw retention","Crop residue retention","Straw removal","Crop residue removal","Soil organic carbon","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Carbon sequestration","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Organic carbon content (soil)",NA,"Carbon sequestration","Soil management","S22","Crop residues left on soil, leaving stubbles on the field (S22)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crop residue management","10.1016/j.agee.2021.107795","Annual and perennial crops (rice, maize, wheat, tea, orchard, and paulownia)","Straw retention","Crop residue retention","Straw removal","Crop residue removal","Soil total nitrogen","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil nutrients","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Soil nitrogen",NA,"Soil health","Soil management","S22","Crop residues left on soil, leaving stubbles on the field (S22)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crop residue management","10.1016/j.agee.2021.107795","Annual and perennial crops (rice, maize, wheat, tea, orchard, and paulownia)","Straw retention","Crop residue retention","Straw removal","Crop residue removal","Microbial biomass carbon","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil biological quality","increase",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Taxonomic parameters (microbes)",NA,"Soil health","Soil management","S22","Crop residues left on soil, leaving stubbles on the field (S22)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crop residue management","10.1016/j.agee.2021.107795","Annual and perennial crops (rice, maize, wheat, tea, orchard, and paulownia)","Straw retention","Crop residue retention","Straw removal","Crop residue removal","Soil bacteria Chaol index","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil biological quality","increase",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Taxonomic parameters (bacteria)",NA,"Soil health","Soil management","S22","Crop residues left on soil, leaving stubbles on the field (S22)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crop residue management","10.1016/j.agee.2021.107795","Annual and perennial crops (rice, maize, wheat, tea, orchard, and paulownia)","Straw retention","Crop residue retention","Straw removal","Crop residue removal","Soil bacteria Shannon index","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil biological quality","increase",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Taxonomic parameters (bacteria)",NA,"Soil health","Soil management","S22","Crop residues left on soil, leaving stubbles on the field (S22)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.agwat.2017.05.005","Maize and wheat","Plastic-covered ridge + furrow planting zone with bare soil","Ridge and furrow with mulching","No mulch, flat, rainfed condition","Flat planting with no mulching","Crop yield","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Crop yield","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Crop yield","%","Agricultural production","Soil management","S2X+S21X","Soil cover (S2X) + Mulching (S21X)","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.agwat.2017.05.005","Maize and wheat","Plastic-covered ridge + furrow planting zone with plastic","Ridge and furrow with mulching","No mulch, flat, rainfed condition","Flat planting with no mulching","Crop yield","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Crop yield","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Crop yield","%","Agricultural production","Soil management","S2X+S21X","Soil cover (S2X) + Mulching (S21X)","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.agwat.2017.05.005","Maize and wheat","Plastic-covered ridge + furrow planting zone with straw","Ridge and furrow with mulching","No mulch, flat, rainfed condition","Flat planting with no mulching","Crop yield","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Crop yield","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Crop yield","%","Agricultural production","Soil management","S2X+S21X","Soil cover (S2X) + Mulching (S21X)","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.agwat.2017.05.005","Maize and wheat","Plastic-covered ridge coupled with furrow planting zone with bare soil","Ridge and furrow with mulching","No mulch coupled with flat soil","Flat planting with no mulching","Water use efficiency","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Water use","decrease",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Water use efficiency",NA,"Sustainable use of resources","Soil management","S2X+S21X","Soil cover (S2X) + Mulching (S21X)","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.agwat.2017.05.005","Maize and wheat","Plastic-covered ridge coupled with furrow planting zone with plastic","Ridge and furrow with mulching","No mulch coupled with flat soil","Flat planting with no mulching","Water use efficiency","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Water use","decrease",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Water use efficiency",NA,"Sustainable use of resources","Soil management","S2X+S21X","Soil cover (S2X) + Mulching (S21X)","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.agwat.2017.05.005","Maize and wheat","Plastic-covered ridge coupled with furrow planting zone with straw","Ridge and furrow with mulching","No mulch coupled with flat soil","Flat planting with no mulching","Water use efficiency","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Water use","decrease",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Water use efficiency",NA,"Sustainable use of resources","Soil management","S2X+S21X","Soil cover (S2X) + Mulching (S21X)","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.agwat.2017.05.005","Maize and wheat","Plastic-covered ridge + furrow planting zone with bare soil","Ridge and furrow with mulching","No mulch, flat planting","Flat planting with no mulching","Soil water content","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil water retention","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Soil water",NA,"Soil health","Soil management","S2X+S21X","Soil cover (S2X) + Mulching (S21X)","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.agwat.2017.05.005","Maize and wheat","Plastic-covered ridge + furrow planting zone with plastic","Ridge and furrow with mulching","No mulch, flat planting","Flat planting with no mulching","Soil water content","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil water retention","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Soil water",NA,"Soil health","Soil management","S2X+S21X","Soil cover (S2X) + Mulching (S21X)","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulching","10.1016/j.agwat.2017.05.005","Maize and wheat","Plastic-covered ridge + furrow planting zone with straw","Ridge and furrow with mulching","No mulch, flat planting","Flat planting with no mulching","Soil water content","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil water retention","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Soil water",NA,"Soil health","Soil management","S2X+S21X","Soil cover (S2X) + Mulching (S21X)","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Intercropping","10.1016/j.agsy.2019.102761","Grain legumes and cereals","Grain legume and cereal intercropping","Crop mixture cropping","Monoculture","monoculture","Soil available water (deep soil layer)","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil water retention","increase",0,1,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Soil water",NA,"Soil health","Crop rotation and diversification","R15+R121","Mixed cropping / intercropping  (R15) Cultivation of Nitrogen fixing/protein crops (R121)","Africa","geographical coverage",">20 African countries","study duration","180 studies, only 2 long term","soil sampling depth","mostly shallow",NA,NA,NA,NA,NA,NA
"Intercropping","10.1016/j.agsy.2019.102761","Grain legumes and cereals","Grain legume and cereal intercropping","Crop mixture cropping","Monoculture","monoculture","Borer larvae abundance","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Pests and diseases","decrease",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"pest",NA,"Biodiversity","Crop rotation and diversification","R15+R121","Mixed cropping / intercropping  (R15) Cultivation of Nitrogen fixing/protein crops (R121)","Africa","geographical coverage",">20 African countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Intercropping","10.1016/j.agsy.2019.102761","Grain legumes and cereals","Grain legume and cereal intercropping","Crop mixture cropping","Monoculture","monoculture","Sediment generation","decrease","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil erosion","decrease",1,0,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Soil erosion parameters",NA,"Soil health","Crop rotation and diversification","R15+R121","Mixed cropping / intercropping  (R15) Cultivation of Nitrogen fixing/protein crops (R121)","Africa","geographical coverage",">20 African countries","study duration","180 studies, only 2 long term","soil sampling depth","mostly shallow",NA,NA,NA,NA,NA,NA
"Leguminous crops","10.1016/j.agsy.2019.102761","Grain legumes and cereals","Grain legume and cereal intercropping","Legumes in intercropping/mixed cropping","Monoculture","No intercropping","Soil available water (deep soil layer)","increase","Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control","Soil water retention","increase",0,1,0,0,"Grand-mean",NA,NA,NA,NA,NA,NA,NA,NA,0,"Soil water",NA,"Soil health","Crop rotation and diversification","R121+R15","Cultivation of Nitrogen fixing/protein crops (R121) Mixed cropping / intercropping  (R15)","Africa","geographical coverage",">20 African countries","study duration","180 studies, only 2 long term","soil sampling depth","mostly shallow",NA,NA,NA,NA,NA,NA
