fpid,doi,population,intervention,intervention_matrix,control,control_matrix,f_pclass_tier0,policy_class_codes,policy_class_names
Intercropping,10.1016/j.fcr.2017.09.006,Wheat,Cultivar mixtures,Cultivar mixture cropping,Pure stand,monoculture,Crop rotation and diversification,R15,Mixed cropping / intercropping  (R15)
Leguminous crops,10.1139/cjps-2021-0177,Maize in humid temperate climate,Grass cover crops,Non-legume cover crops/green manure,No cover crop (bare soil or fallow),No cover crop,Crop rotation and diversification,S232+R17,Winter cover crop (S232) Catch crops (R17)
Leguminous crops,10.1139/cjps-2021-0177,Small grain cereals in humid temperate climate,Grass cover crops,Non-legume cover crops/green manure,No cover crop (bare soil or fallow),No cover crop,Crop rotation and diversification,S232+R17,Winter cover crop (S232) Catch crops (R17)
Leguminous crops,10.1139/cjps-2021-0177,Soybean in humid temperate climate,Grass cover crops,Non-legume cover crops/green manure,No cover crop (bare soil or fallow),No cover crop,Crop rotation and diversification,S232+R17,Winter cover crop (S232) Catch crops (R17)
Leguminous crops,10.1139/cjps-2021-0177,Maize in humid temperate climate,Legume cover crops,Legume cover crops/green manure,No cover crop (bare soil or fallow),No cover crop,Crop rotation and diversification,R121+S23X,Cultivation of Nitrogen fixing/protein crops (R121) Cover crops (S23X)
Leguminous crops,10.1139/cjps-2021-0177,Small grain cereals in humid temperate climate,Legume cover crops,Legume cover crops/green manure,No cover crop (bare soil or fallow),No cover crop,Crop rotation and diversification,R121+S23X,Cultivation of Nitrogen fixing/protein crops (R121) Cover crops (S23X)
Leguminous crops,10.1139/cjps-2021-0177,Soybean in humid temperate climate,Legume cover crops,Legume cover crops/green manure,No cover crop (bare soil or fallow),No cover crop,Crop rotation and diversification,R121+S23X,Cultivation of Nitrogen fixing/protein crops (R121) Cover crops (S23X)
Leguminous crops,10.1139/cjps-2021-0177,Maize in humid temperate climate,Non-legume broadleaves,Non-legume cover crops/green manure,No cover crop (bare soil or fallow),No cover crop,Crop rotation and diversification,S232+R17,Winter cover crop (S232) Catch crops (R17)
Leguminous crops,10.1139/cjps-2021-0177,Small grain cereals in humid temperate climate,Non-legume broadleaves,Non-legume cover crops/green manure,No cover crop (bare soil or fallow),No cover crop,Crop rotation and diversification,S232+R17,Winter cover crop (S232) Catch crops (R17)
Leguminous crops,10.1139/cjps-2021-0177,Soybean in humid temperate climate,Non-legume broadleaves,Non-legume cover crops/green manure,No cover crop (bare soil or fallow),No cover crop,Crop rotation and diversification,S232+R17,Winter cover crop (S232) Catch crops (R17)
No tillage and reduced tillage,10.1111/gcb.13744,Cropping systems,"Deep soil loosening (DSL; vertical tillage where the soil is loosened, broken or lifted to a depth >15 cm but not inverted, typically using a chisel plough or other tined tools)",Reduced tillage,Conventionnal tillage,Conventional tillage,Soil management,S11,Low tillage (S11)
No tillage and reduced tillage,10.1111/gcb.13744,Cropping systems,"No-tillage (NT; minimum or no soil disturbance other than a small incision for placing the seed (usually called ""direct drilling"", ""direct seeding"", ""no-till"")",No tillage,Conventionnal tillage,Conventional tillage,Soil management,S12,No tillage (S12)
No tillage and reduced tillage,10.1111/gcb.13744,Cropping systems,Reduced forms of tillage,Reduced tillage,Conventionnal tillage,Conventional tillage,Soil management,S11,Low tillage (S11)
No tillage and reduced tillage,10.1111/gcb.13744,Cropping systems,Reduced tillage (RT; shallow ploughing usually less than the top 15 cm gets turned over),Reduced tillage,Conventionnal tillage,Conventional tillage,Soil management,S11,Low tillage (S11)
No tillage and reduced tillage,10.1111/gcb.13744,Cropping systems,Shallow soil loosening (SSL; tillage operation where the soil is loosened to a depth of no more than 15 cm),Reduced tillage,Conventionnal tillage,Conventional tillage,Soil management,S11,Low tillage (S11)
No tillage and reduced tillage,10.1111/gcb.13744,Cropping systems,"Deep soil loosening (DSL; vertical tillage where the soil is loosened, broken or lifted to a depth >15 cm but not inverted, typically using a chisel plough or other tined tools)",Reduced tillage,Conventionnal tillage,Conventional tillage,Soil management,S11,Low tillage (S11)
No tillage and reduced tillage,10.1111/gcb.13744,Cropping systems,"No-tillage (NT; minimum or no soil disturbance other than a small incision for placing the seed (usually called ""direct drilling"", ""direct seeding"", ""no-till"")",No tillage,Conventionnal tillage,Conventional tillage,Soil management,S12,No tillage (S12)
No tillage and reduced tillage,10.1111/gcb.13744,Cropping systems,Reduced tillage (RT; shallow ploughing usually less than the top 15 cm gets turned over),Reduced tillage,Conventionnal tillage,Conventional tillage,Soil management,S11,Low tillage (S11)
No tillage and reduced tillage,10.1111/gcb.13744,Cropping systems,Shallow soil loosening (SSL; tillage operation where the soil is loosened to a depth of no more than 15 cm),Reduced tillage,Conventionnal tillage,Conventional tillage,Soil management,S11,Low tillage (S11)
Grassland management,10.1080/00380768.2017.1367627,Grasslands (global dataset),Biochar,Soil organic amendment,No biochar,No biochar,Grassland and grazing,F311,Application of raw biochar (F311)
Grassland management,10.1080/00380768.2017.1367627,Grasslands (global dataset),Dicyandiamide coated with zeolite (DCD(Z)),Enhance-efficiency fertilisers,No inhibitor,No enhance-efficiency fertilisers,Grassland and grazing,F232,Use of nitrification/urease inhibitors  (F232)
Grassland management,10.1080/00380768.2017.1367627,Grasslands (global dataset),Dicyandiamide in liquid form (DCD(L)),Enhance-efficiency fertilisers,No inhibitor,No enhance-efficiency fertilisers,Grassland and grazing,F232,Use of nitrification/urease inhibitors  (F232)
Grassland management,10.1080/00380768.2017.1367627,Grasslands (global dataset),N-(n-butyl) thiophosphoric triamide in liquid form (NBPT),Enhance-efficiency fertilisers,No inhibitor,No enhance-efficiency fertilisers,Grassland and grazing,F232,Use of nitrification/urease inhibitors  (F232)
Grassland management,10.1080/00380768.2017.1367627,Grasslands (global dataset),NBPT and DCD in liquid form (NBPT + DCD(L)),Enhance-efficiency fertilisers,No inhibitor,No enhance-efficiency fertilisers,Grassland and grazing,F232,Use of nitrification/urease inhibitors  (F232)
Grassland management,10.1080/00380768.2017.1367627,Grasslands (global dataset),Pyrazole derivatives in liquid form (PD),Enhance-efficiency fertilisers,No inhibitor,No enhance-efficiency fertilisers,Grassland and grazing,F232,Use of nitrification/urease inhibitors  (F232)
Soil amendment with biochar,10.1080/00380768.2017.1367627,Grasslands,Biochar,Soil amendment with biochar,No biochar,No amendment,Fertilisation and soil amendments,F311,Application of raw biochar (F311)
Manure storage techniques,10.1016/j.jclepro.2019.06.288,"Livestock manure, food waste, sewage sludge and/or green waste","Additives all (chemical additives, e.g. phosphate, magnesium salts, superphosphate, gypsum etc.; physical additives, e.g. biochar, zeolite, bentonite, etc.; microbial additives, e.g. nitrite-oxidizing bacteria (NOB), NTB (ammonifiers, nitrobacteria, azotobacter) agent, etc.)",Storage with additives,No additive,Conventional management,Manure management,M111,Manure storage with additives (M111)
Manure storage techniques,10.1016/j.jclepro.2019.06.288,"Livestock manure, food waste, sewage sludge and/or green waste","Additives (chemical additives, e.g. phosphate, magnesium salts, superphosphate, gypsum etc.",Storage with additives,No additive,Conventional management,Manure management,M111,Manure storage with additives (M111)
Manure storage techniques,10.1016/j.jclepro.2019.06.288,"Livestock manure, food waste, sewage sludge and/or green waste","Additives (microbial additives e.g. nitrite-oxidizing bacteria (NOB), NTB (ammonifiers, nitrobacteria, azotobacter) agent, etc.)",Storage with microbial inocula,No additive,Conventional management,Manure management,M111,Manure storage with additives (M111)
Manure storage techniques,10.1016/j.jclepro.2019.06.288,"Livestock manure, food waste, sewage sludge and/or green waste","Additives all (chemical additives, e.g. phosphate, magnesium salts, superphosphate, gypsum etc.; physical additives, e.g. biochar, zeolite, bentonite, etc.; microbial additives, e.g. nitrite-oxidizing bacteria (NOB), NTB (ammonifiers, nitrobacteria, azotobacter) agent, etc.)",Storage with additives,No additive,Conventional management,Manure management,M111,Manure storage with additives (M111)
Manure storage techniques,10.1016/j.jclepro.2019.06.288,"Livestock manure, food waste, sewage sludge and/or green waste","Additives (chemical additives, e.g. phosphate, magnesium salts, superphosphate, gypsum etc.; physical additives, e.g. biochar, zeolite, bentonite, etc.",Storage with additives,No additive,Conventional management,Manure management,M111,Manure storage with additives (M111)
Manure storage techniques,10.1016/j.jclepro.2019.06.288,"Livestock manure, food waste, sewage sludge and/or green waste","Additives (microbial additives, e.g. nitrite-oxidizing bacteria (NOB), NTB (ammonifiers, nitrobacteria, azotobacter) agent, etc.)",Storage with microbial inocula,No additive,Conventional management,Manure management,M111,Manure storage with additives (M111)
Manure storage techniques,10.1016/j.jclepro.2019.06.288,"Livestock manure, food waste, sewage sludge and/or green waste","Additives all (chemical additives, e.g. phosphate, magnesium salts, superphosphate, gypsum etc.; physical additives, e.g. biochar, zeolite, bentonite, etc.; microbial additives, e.g. nitrite-oxidizing bacteria (NOB), NTB (ammonifiers, nitrobacteria, azotobacter) agent, etc.)",Storage with additives,No additive,Conventional management,Manure management,M111,Manure storage with additives (M111)
Organic fertilisation,10.1016/j.geoderma.2020.114784,"Crops, grasslands and forests",Organic-C treatment,Organic fertilisation,No organic fertilization,No fertilisation,Fertilisation and soil amendments,F111|,Ban on organic fertiliser (F111)
Water-saving irrigation practices in flooded lands,10.1016/j.fcr.2016.12.002,Rice,Alternate wet and dry (AWD) (introduction of unsaturated soil conditions during the growing season),Water-saving irrigation practices in flooded lands,Continuous flooding,Continuous flooding,Water management,W16,Sustainable water management on paddy rice fields (W16)
Water-saving irrigation practices in flooded lands,10.1016/j.fcr.2016.12.002,Rice,Alternate wet and dry (AWD) (introduction of unsaturated soil conditions during the growing season),Water-saving irrigation practices in flooded lands,Continuous flooding,Continuous flooding,Water management,W16,Sustainable water management on paddy rice fields (W16)
Livestock feeding techniques,10.1111/jpn.13341,Dairy cattle,Tannins supplementation,Tannins,No dietary tannins,No tannins,Animal husbandry,A14,Feed additives (A14)
Livestock feeding techniques,10.3390/ani10040620,Dairy cattle,Agolin® Ruminant essential oils blend supplementation,Essential oils,No Agolin® Ruminant supplementation,No essential oils,Animal husbandry,A14,Feed additives (A14)
Livestock feeding techniques,10.1111/jpn.13341,Dairy cattle,Tannins supplementation,Tannins,No dietary tannins,No tannins,Animal husbandry,A14,Feed additives (A14)
Livestock feeding techniques,10.1111/jpn.13341,Dairy cattle,Tannins supplementation,Tannins,No dietary tannins,No tannins,Animal husbandry,A14,Feed additives (A14)
Livestock feeding techniques,10.1111/jpn.13341,Dairy cattle,Tannins supplementation,Tannins,No dietary tannins,No tannins,Animal husbandry,A14,Feed additives (A14)
Livestock feeding techniques,10.3390/ani10040620,Dairy cattle,Agolin® Ruminant essential oils blend supplementation,Essential oils,No Agolin® Ruminant supplementation,No essential oils,Animal husbandry,A14,Feed additives (A14)
Livestock feeding techniques,10.1016/j.aninu.2021.09.005,Ruminants,Essential oils,Essential oils,Diets without dietary abatement measure,No essential oils,Animal husbandry,A14,Feed additives (A14)
Livestock feeding techniques,10.3390/ani10040620,Dairy cattle,Agolin® Ruminant essential oils blend supplementation,Essential oils,No Agolin® Ruminant supplementation,No essential oils,Animal husbandry,A14,Feed additives (A14)
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Probiotics,Probiotics,No probiotics,No probiotics,Animal husbandry,A14,Feed additives (A14)
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Propionibacterium,Probiotics,No Propionibacterium,No probiotics,Animal husbandry,A14,Feed additives (A14)
Livestock feeding techniques,10.1016/j.aninu.2021.09.005,Ruminants,Essential oils,Essential oils,Diets without dietary abatement measure,No essential oils,Animal husbandry,A14,Feed additives (A14)
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Glycerol,Glycerol,No glycerol,No glycerol,Animal husbandry,A14,Feed additives (A14)
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Increasing corn silage maturity,Increasing corn silage maturity,Not increasing corn silage maturity,Not increasing corn silage maturity,Animal husbandry,A15X,Optimised feeding plans (A15X)
Livestock feeding techniques,10.1111/jpn.13341,Dairy cattle,Tannins supplementation,Tannins,No dietary tannins,No tannins,Animal husbandry,A14,Feed additives (A14)
Water-saving irrigation practices in flooded lands,10.1016/j.fcr.2016.12.002,Rice,Alternate wet and dry (AWD) (introduction of unsaturated soil conditions during the growing season),Water-saving irrigation practices in flooded lands,Continuous flooding,Continuous flooding,Water management,W16,Sustainable water management on paddy rice fields (W16)
Leguminous crops,10.1007/s10311-017-0698-z,The data of this subset consisted of 1181 yields of ten cereal species following either sixteen grain legume species or six oilseed species or nine cereal species.,Legume crop preceeding a cereal crop,Legumes in rotations,Non-legume crop (cereal or oilseed) preceeding a cereal crop,Simplified rotation,Crop rotation and diversification,R11+R16+R121,Crop rotation (R11) Intermediate cash crops (R16) Cultivation of Nitrogen fixing/protein crops (R121)
No tillage and reduced tillage,10.1038/s41598-017-09742-9,Rice systems,Reduced tillage (RT) and transplanting of rice under non-puddled (UPTPR) conditions (RT-UPTPR(wet)),Reduced tillage,CT-TPR(wet),Conventional tillage,Soil management,S11,Low tillage (S11)
Cover and catch crops,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)",Legume cover crops,Legume cover crops,Clean tillage management,Bare soil,Soil management,S25,Green cover on permanent crops (S25)
Cover and catch crops,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)",Non-legume cover crops,Non-legume cover crops,Clean tillage management,Bare soil,Soil management,S25,Green cover on permanent crops (S25)
Cover and catch crops,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)","Legume cover crops (cultivated green manure, sod cultivation, natural vegetation, grass, and cover crop)",Legume cover crops,Clean tillage management,Bare soil,Soil management,S25,Green cover on permanent crops (S25)
Cover and catch crops,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)","Non-legume cover crops (cultivated green manure, sod cultivation, natural vegetation, grass, and cover crop)",Non-legume cover crops,Clean tillage management,Bare soil,Soil management,S25,Green cover on permanent crops (S25)
Cover and catch crops,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)","Legume cover crops (cultivated green manure, sod cultivation, natural vegetation, grass, and cover crop)",Legume cover crops,Clean tillage management,Bare soil,Soil management,S25,Green cover on permanent crops (S25)
Cover and catch crops,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)","Non-legume cover crops (cultivated green manure, sod cultivation, natural vegetation, grass, and cover crop)",Non-legume cover crops,Clean tillage management,Bare soil,Soil management,S25,Green cover on permanent crops (S25)
Cover and catch crops,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)","Legume cover crops (cultivated green manure, sod cultivation, natural vegetation, grass, and cover crop)",Legume cover crops,Clean tillage management,Bare soil,Soil management,S25,Green cover on permanent crops (S25)
Cover and catch crops,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)","Non-legume cover crops (cultivated green manure, sod cultivation, natural vegetation, grass, and cover crop)",Non-legume cover crops,Clean tillage management,Bare soil,Soil management,S25,Green cover on permanent crops (S25)
Cover and catch crops,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)",Cover crops (legume and non-legume),Cover crops,Clean tillage management,Bare soil,Soil management,S25,Green cover on permanent crops (S25)
Cover and catch crops,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)","Legume cover crops (cultivated green manure, sod cultivation, natural vegetation, grass, and cover crop)",Legume cover crops,Clean tillage management,Bare soil,Soil management,S25,Green cover on permanent crops (S25)
Cover and catch crops,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)","Non-legume cover crops (cultivated green manure, sod cultivation, natural vegetation, grass, and cover crop)",Non-legume cover crops,Clean tillage management,Bare soil,Soil management,S25,Green cover on permanent crops (S25)
Cover and catch crops,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)",Cover crops (legume and non-legume),Cover crops,Clean tillage management,Bare soil,Soil management,S25,Green cover on permanent crops (S25)
Cover and catch crops,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)",Cover crops (legume and non-legume),Cover crops,Clean tillage management,Bare soil,Soil management,S25,Green cover on permanent crops (S25)
Leguminous crops,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)","Legume cover crops (cultivated green manure, sod cultivation, natural vegetation, grass, and cover crop)",Legume cover crops/green manure,Clean tillage management,No cover crop,Crop rotation and diversification,R121+S25+F44,Cultivation of Nitrogen fixing/protein crops (R121) Green cover on permanent crops (S25) Use of green manure  (F44)
Leguminous crops,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)","Non-legume cover crops (cultivated green manure, sod cultivation, natural vegetation, grass, and cover crop)",Non-legume cover crops/green manure,Clean tillage management,No cover crop,Crop rotation and diversification,S25,Green cover on permanent crops (S25)
Leguminous crops,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)","Legume cover crops (cultivated green manure, sod cultivation, natural vegetation, grass, and cover crop)",Legume cover crops/green manure,Clean tillage management,No cover crop,Crop rotation and diversification,R121+S25+F44,Cultivation of Nitrogen fixing/protein crops (R121) Green cover on permanent crops (S25) Use of green manure  (F44)
Leguminous crops,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)","Non-legume cover crops (cultivated green manure, sod cultivation, natural vegetation, grass, and cover crop)",Non-legume cover crops/green manure,Clean tillage management,No cover crop,Crop rotation and diversification,S25,Green cover on permanent crops (S25)
Leguminous crops,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)","Legume cover crops (cultivated green manure, sod cultivation, natural vegetation, grass, and cover crop)",Legume cover crops/green manure,Clean tillage management,No cover crop,Crop rotation and diversification,R121+S25+F44,Cultivation of Nitrogen fixing/protein crops (R121) Green cover on permanent crops (S25) Use of green manure  (F44)
Leguminous crops,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)","Non-legume cover crops (cultivated green manure, sod cultivation, natural vegetation, grass, and cover crop)",Non-legume cover crops/green manure,Clean tillage management,No cover crop,Crop rotation and diversification,S25,Green cover on permanent crops (S25)
Mulching,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)","Mulch (wood chips, shredded paper, cornstalk mulch, rape straw, and rice straw)",mulching,Clean tillage management,No mulching,Soil management,S21X,Mulching (S21X)
Mulching,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)","Mulch (wood chips, shredded paper, cornstalk mulch, rape straw, and rice straw)",mulching,Clean tillage management,No mulching,Soil management,S21X,Mulching (S21X)
Mulching,10.1080/03650340.2021.1937607,"fruit tree species (apple, citrus, grape, jujube, kiwi fruit, peach, pear, plum)","Mulch (wood chips, shredded paper, cornstalk mulch, rape straw, and rice straw)",mulching,Clean tillage management,No mulching,Soil management,S21X,Mulching (S21X)
No tillage and reduced tillage,10.1038/s41598-017-09742-9,Rice systems,Zero tillage and DSR (ZT-DSR(dry)),No tillage,CT-TPR(wet),Conventional tillage,Soil management,S12,No tillage (S12)
No tillage and reduced tillage,10.1038/s41598-017-09742-9,Rice systems,Reduced tillage (RT) and transplanting of rice under non-puddled (UPTPR) conditions (RT-UPTPR(wet)),Reduced tillage,CT-TPR(wet),Conventional tillage,Soil management,S11,Low tillage (S11)
No tillage and reduced tillage,10.1038/s41598-017-09742-9,Rice systems,Zero tillage and DSR (ZT-DSR(dry)),No tillage,CT-TPR(wet),Conventional tillage,Soil management,S12,No tillage (S12)
No tillage and reduced tillage,10.1038/s41598-017-09742-9,Rice systems,Reduced tillage (RT) and transplanting of rice under non-puddled (UPTPR) conditions (RT-UPTPR(wet)),Reduced tillage,CT-TPR(wet),Conventional tillage,Soil management,S11,Low tillage (S11)
No tillage and reduced tillage,10.1038/s41598-017-09742-9,Rice systems,RT under dry conditions and direct-seeding of rice (DSR) (RT-DSR(dry)),Reduced tillage,CT-TPR(wet),Conventional tillage,Soil management,S11,Low tillage (S11)
No tillage and reduced tillage,10.1038/s41598-017-09742-9,Rice systems,Zero tillage and DSR (ZT-DSR(dry)),No tillage,CT-TPR(wet),Conventional tillage,Soil management,S12,No tillage (S12)
No tillage and reduced tillage,10.1038/s41598-017-09742-9,Rice systems,Reduced tillage (RT) and transplanting of rice under non-puddled (UPTPR) conditions (RT-UPTPR(wet)),Reduced tillage,CT-TPR(wet),Conventional tillage,Soil management,S11,Low tillage (S11)
No tillage and reduced tillage,10.1038/s41598-017-09742-9,Rice systems,RT under dry conditions and direct-seeding of rice (DSR) (RT-DSR(dry)),Reduced tillage,CT-TPR(wet),Conventional tillage,Soil management,S11,Low tillage (S11)
No tillage and reduced tillage,10.1038/s41598-017-09742-9,Rice systems,Zero tillage and DSR (ZT-DSR(dry)),No tillage,CT-TPR(wet),Conventional tillage,Soil management,S12,No tillage (S12)
Water-saving irrigation practices in flooded lands,10.1038/s41598-022-24055-2,Rice,Intermittent irrigation (various timings and frequencies of drainage),Water-saving irrigation practices in flooded lands,Continuous flooding,Continuous flooding,Water management,W16,Sustainable water management on paddy rice fields (W16)
Water-saving irrigation practices in flooded lands,10.1038/s41598-022-24055-2,Rice,Intermittent irrigation (various timings and frequencies of drainage),Water-saving irrigation practices in flooded lands,Continuous flooding,Continuous flooding,Water management,W16,Sustainable water management on paddy rice fields (W16)
Cover and catch crops,10.1016/j.scitotenv.2020.139517,"Plots distributed across 53 sites in seven provinces and one autonomous region, covering most areas of the red soil hilly region (RSHR), located in a subtropical monsoon climate. It is the most important strategic agricultural and economic region in China.",cover crops,Cover crops,no cover,Bare soil,Soil management,S23X,Cover crops (S23X)
Cover and catch crops,10.1016/j.scitotenv.2020.139517,"Plots distributed across 53 sites in seven provinces and one autonomous region, covering most areas of the red soil hilly region (RSHR), located in a subtropical monsoon climate. It is the most important strategic agricultural and economic region in China.",grass cover,Cover crops,no cover,Bare soil,Soil management,S23X,Cover crops (S23X)
Cover and catch crops,10.1016/j.scitotenv.2020.139517,"Plots distributed across 53 sites in seven provinces and one autonomous region, covering most areas of the red soil hilly region (RSHR), located in a subtropical monsoon climate. It is the most important strategic agricultural and economic region in China.",cover crops,Cover crops,no cover,Bare soil,Soil management,S23X,Cover crops (S23X)
Cover and catch crops,10.1016/j.scitotenv.2020.139517,"Plots distributed across 53 sites in seven provinces and one autonomous region, covering most areas of the red soil hilly region (RSHR), located in a subtropical monsoon climate. It is the most important strategic agricultural and economic region in China.",grass cover,Cover crops,no cover,Bare soil,Soil management,S23X,Cover crops (S23X)
Grassland management,10.1038/s41467-019-09258-y,Grasslands,Increased plant species richness,Increased grass species richness,Monospecific grasslands,Mono- and low grass species richness,Grassland and grazing,"GX,Z23",Grassland and grazing (GX) Conservation of valuable grassland species  (Z23)
Grassland management,10.1038/s41467-019-09258-y,Grasslands,Increased plant species richness,Increased grass species richness,Monospecific grasslands,Mono- and low grass species richness,Grassland and grazing,"GX,Z23",Grassland and grazing (GX) Conservation of valuable grassland species  (Z23)
Grassland management,10.1038/s41467-019-09258-y,Grasslands,Increased plant species richness,Increased grass species richness,Monospecific grasslands,Mono- and low grass species richness,Grassland and grazing,"GX,Z23",Grassland and grazing (GX) Conservation of valuable grassland species  (Z23)
Soil amendment with biochar,10.1016/j.jenvman.2018.05.004,"Pot and field experiments with herbaceous crops (rice, wheat, maize, vegetables, grass, hyper accumulating plants)",Soil amendment with biochar,Soil amendment with biochar,No amendment,No amendment,Fertilisation and soil amendments,F311,Application of raw biochar (F311)
Soil amendment with biochar,10.1016/j.jenvman.2018.05.004,"Pot and field experiments with herbaceous crops (rice, wheat, maize, vegetables, grass, hyper accumulating plants)",Soil amendment with biochar,Soil amendment with biochar,No amendment,No amendment,Fertilisation and soil amendments,F311,Application of raw biochar (F311)
Soil amendment with biochar,10.1016/j.jenvman.2018.05.004,"Pot and field experiments with herbaceous crops (rice, wheat, maize, vegetables, grass, hyper accumulating plants)",Soil amendment with biochar,Soil amendment with biochar,No amendment,No amendment,Fertilisation and soil amendments,F311,Application of raw biochar (F311)
Soil amendment with biochar,10.1016/j.jenvman.2018.05.004,"Pot and field experiments with herbaceous crops (rice, wheat, maize, vegetables, grass, hyper accumulating plants)",Soil amendment with biochar,Soil amendment with biochar,No amendment,No amendment,Fertilisation and soil amendments,F311,Application of raw biochar (F311)
Soil amendment with biochar,10.1016/j.jenvman.2018.05.004,"Pot and field experiments with herbaceous crops (rice, wheat, maize, vegetables, grass, hyper accumulating plants)",Soil amendment with biochar,Soil amendment with biochar,No amendment,No amendment,Fertilisation and soil amendments,F311,Application of raw biochar (F311)
Soil amendment with biochar,10.1016/j.jenvman.2018.05.004,"Pot and field experiments with herbaceous crops (rice, wheat, maize, vegetables, grass, hyper accumulating plants)",Soil amendment with biochar,Soil amendment with biochar,No amendment,No amendment,Fertilisation and soil amendments,F311,Application of raw biochar (F311)
Soil amendment with biochar,10.1016/j.jenvman.2018.05.004,"Pot and field experiments with herbaceous crops (rice, wheat, maize, vegetables, grass, hyper accumulating plants)",Soil amendment with biochar,Soil amendment with biochar,No amendment,No amendment,Fertilisation and soil amendments,F311,Application of raw biochar (F311)
Soil amendment with biochar,10.1016/j.jenvman.2018.05.004,"Pot and field experiments with herbaceous crops (rice, wheat, maize, vegetables, grass, hyper accumulating plants)",Soil amendment with biochar,Soil amendment with biochar,No amendment,No amendment,Fertilisation and soil amendments,F311,Application of raw biochar (F311)
Mulching,10.1016/j.scitotenv.2020.139517,Cropland,Mulching,Plastic film mulching,No mulching,No mulching,Soil management,S21X,Mulching (S21X)
Mulching,10.1016/j.scitotenv.2020.139517,Cropland,Mulching,Plastic film mulching,No mulching,No mulching,Soil management,S21X,Mulching (S21X)
Grassland management,10.1016/j.scitotenv.2021.148863,Upland grasslands,No fertilisation,No fertilisation,N fertilisation,N fertilisation,Grassland and grazing,F112|,Ban on mineral fertilisers (F112)
Grassland management,10.1016/j.scitotenv.2021.148863,Upland grasslands,No fertilisation,No fertilisation,N fertilisation,N fertilisation,Grassland and grazing,F112|,Ban on mineral fertilisers (F112)
Grassland management,10.1111/gcb.13402,Grasslands,No N addition,No fertilisation,N addition,N fertilisation,Grassland and grazing,F112|,Ban on mineral fertilisers (F112)
Livestock feeding techniques,10.1016/j.aninu.2021.09.005,Ruminants,Saponins,Saponins,Diets without dietary abatement measure,No saponins,Animal husbandry,A14,Feed additives (A14)
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Tanniferous forages - Leucaena,Tanniferous forages - Leucaena,No tanniferous forages,No tanniferous forages,Animal husbandry,A15X,Optimised feeding plans (A15X)
Livestock feeding techniques,10.1016/j.aninu.2021.09.005,Ruminants,Essential oils,Essential oils,Diets without dietary abatement measure,No essential oils,Animal husbandry,A14,Feed additives (A14)
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Yeasts,Probiotics,No yeasts,No probiotics,Animal husbandry,A14,Feed additives (A14)
Livestock feeding techniques,10.1088/1748-9326/aa6cd5,Beef cattle,Grain-fed,Grain-fed,Grass-fed,Grass-fed,Animal husbandry,A15X,Optimised feeding plans (A15X)
