"sustainability_outcome","impact_matrix","impact_positive_effect","metric_std2","metric","metric_positive_effect","metric_unit","doi","fpid"
"Soil health","Soil physico-chemical quality","Increase","Soil salinity","Soil salinity","decrease",NA,"10.1007/s10530-021-02540-5","Wetland conservation and restoration"
"GHG emissions","GHG emissions","Decrease","Methane emission (soil)","Soil CH4 uptake","increase",NA,"10.1111/gcb.15315","Grassland conservation and restoration"
"GHG emissions","GHG emissions","Decrease","Methane emission (soil)","Soil CH4 emission rate","decrease",NA,"10.1016/j.soilbio.2021.108467","Wetland management"
"Soil health","Soil nutrients","Increase","Soil nitrogen","Total nitrogen in soil","increase","N g /kg soil","10.1016/j.soilbio.2021.108467","Wetland management"
"Agricultural production","Grassland production","Increase","Net primary productivity","Aboveground biomass for forbs","increase",NA,"10.1038/s41598-017-01728-x","Grassland management"
"Agricultural production","Grassland production","Increase","Net primary productivity","Aboveground biomass for grass","increase",NA,"10.1038/s41598-017-01728-x","Grassland management"
"Soil health","Soil nutrients","Increase","Soil nitrogen","Soil N","increase",NA,"10.1038/s41598-017-01728-x","Grassland management"
"Soil health","Soil nutrients","Increase","Soil phosphorous","Soil P","increase",NA,"10.1038/s41598-017-01728-x","Grassland management"
"Soil health","Soil water retention","Increase","Soil water","Soil water content","increase",NA,"10.1038/s41598-017-01728-x","Grassland management"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 production (g/d)","decrease","CH4 g /day","not available","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed digestibility","Apparent total tract digestibility (ATTD) of gross energy (GE)","increase","GE ATTD %","10.1016/j.jclepro.2021.128130","Livestock feeding techniques"
"Biodiversity","Pests and diseases","Decrease","weed","Abundance of non-native plant species","decrease",NA,"10.1111/oik.01416","Grazing management"
"Agricultural production","Animal production","Increase","Feed digestibility","Standardized total tract digestibility of phosphorous","increase","P STTD %","10.1016/j.jclepro.2021.128130","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed digestibility","Apparent total tract digestibility (ATTD) of phosphorous","increase","P ATTD %","10.1016/j.jclepro.2021.128130","Livestock feeding techniques"
"Biodiversity","Pollination","Increase","Functional parameters (pollinator)","Unmanaged bee abundance","increase",NA,"10.1890/08-1245.1","Grazing management"
"Biodiversity","Pollination","Increase","Functional parameters (pollinator)","Unmanaged bee richness","increase",NA,"10.1890/08-1245.1","Grazing management"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Soil erosion control and soil conservation","increase",NA,"10.1016/j.earscirev.2016.06.010","Landscape features"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Runoff reduction","increase","m3 or mm on a given area","10.1016/j.earscirev.2016.06.010","Landscape features"
"GHG emissions","GHG emissions","Decrease","Aggregated GHGs emission (soil)","GHG emissions (CH4 and N2O emissions)","decrease",NA,"10.1016/j.fcr.2012.06.007","Green manure"
"Soil health","Soil water retention","Increase","Soil water","soil available water (100-250 cm depth)","Increase",NA,"10.1016/j.still.2017.03.005","Cover and catch crops"
"Soil health","Soil water retention","Increase","Soil water","soil available water (30 - 90 cm depth)","Increase",NA,"10.1016/j.still.2017.03.005","Cover and catch crops"
"Soil health","Soil physico-chemical quality","Increase","Soil structure","Soil penetration resistance","decrease",NA,"10.1016/j.still.2017.03.005","Cover and catch crops"
"Soil health","Soil physico-chemical quality","Increase","Soil structure","Soil structural stability","increase",NA,"10.1016/j.still.2017.03.005","Cover and catch crops"
"Soil health","Soil physico-chemical quality","Increase","Soil water infiltration","Soil water infiltration","Increase",NA,"10.1016/j.still.2017.03.005","Cover and catch crops"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen leaching","Soil N status","Decrease",NA,"10.1016/j.agee.2005.07.003","Green manure"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen leaching","N leaching","Decrease",NA,"10.1016/j.agee.2005.07.003","Leguminous crops"
"Sustainable use of resources","Plant nutrient uptake","Increase","Nitrogen use efficiency","Partial factor productivity of nitrogen (PFPN)","increase",NA,"10.1016/j.fcr.2018.08.001","Green manure"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Soil microbial abundance (PLFA)","increase","total phospholipid-derived fatty acid (PLFA)","10.1016/j.soilbio.2019.107701","Green manure"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Soil microbial activity","increase",NA,"10.1016/j.soilbio.2019.107701","Green manure"
"Soil health","Soil nutrients","Increase","Soil nitrogen","Soil inorganic nitrogen content","Increase",NA,"10.1016/j.landusepol.2019.104204","Cover and catch crops"
"Biodiversity","Pests and diseases","Decrease","crop damage or disease","Food crop damage","decrease",NA,"10.1016/j.landusepol.2019.104204","Green manure"
"Agricultural production","Crop yield","Increase","Crop yield","Food crop yield","increase",NA,"10.1016/j.landusepol.2019.104204","Green manure"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","Soil organic matter","increase",NA,"10.1016/j.landusepol.2019.104204","Green manure"
"Biodiversity","Pests and diseases","Decrease","weed","Weed abundance","decrease",NA,"10.1016/j.landusepol.2019.104204","Green manure"
"Biodiversity","Pests and diseases","Decrease","weed","Weed diversity","increase",NA,"10.1016/j.landusepol.2019.104204","Green manure"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Soil microbial biomass","increase",NA,"10.1016/j.landusepol.2019.104204","Green manure"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Soil carbon organic","increase","C t /ha","10.1016/j.still.2019.04.020","Green manure"
"Pollution","Air pollutants emissions","Decrease","Ammonia emission (livestock)","NH3 emissions","decrease","NH3 g N /day /head","10.1111/gcb.12767","Livestock feeding techniques"
"Agricultural production","Crop yield","Increase","Crop yield stability","Absolute stability","increase",NA,"10.1038/s41467-018-05956-1","Green manure"
"Agricultural production","Crop yield","Increase","Crop yield","Mean yield","increase",NA,"10.1038/s41467-018-05956-1","Green manure"
"Agricultural production","Crop yield","Increase","Crop yield stability","Relative stability","increase",NA,"10.1038/s41467-018-05956-1","Green manure"
"Agricultural production","Crop yield","Increase","Crop yield (grain)","Grain yield","increase",NA,"10.1016/j.fcr.2018.08.001","Green manure"
"Agricultural production","Crop yield","Increase","Crop yield","Yield","increase",NA,"10.1007/s11104-008-9547-y","Leguminous crops"
"Sustainable use of resources","Plant nutrient uptake","Increase","Crop nitrogen uptake","N content","increase",NA,"10.2134/agronj2017.09.0544","Leguminous crops"
"Biodiversity","Pests and diseases","Decrease","weed","Weed abundance (biomass)","decrease",NA,"10.1016/j.fcr.2017.01.010","Leguminous crops"
"Sustainable use of resources","Plant nutrient uptake","Increase","Crop nitrogen uptake","Soil-derived N acquisition in aboveground plant parts (kg ha-1)","increase","kg /ha","10.1016/j.eja.2020.126077","Leguminous crops"
"Biodiversity","Pests and diseases","Decrease","crop damage or disease","Disease incidence","decrease",NA,"10.1007/s10658-019-01711-4","Leguminous crops"
"Sustainable use of resources","Nutrient excretion","Decrease","Nitrogen excretion","Ratio of total N excretion to average daily gain","decrease","N excretion g / 100 g average daily gain","10.1016/j.agee.2019.106748","Livestock feeding techniques"
"Agricultural production","Crop yield","Increase","Crop yield","Crop yield after fallow","increase","%","10.3389/fpls.2022.825309","Mulching"
"Soil health","Soil water retention","Increase","Soil water","Precipitation storage efficiency (PSE)","increase",NA,"10.3389/fpls.2022.825309","Mulching"
"Soil health","Soil water retention","Increase","Soil water","Soil water storage at wheat planting","increase",NA,"10.3389/fpls.2022.825309","Mulching"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","Soil organic carbon content","increase",NA,"10.1016/j.scitotenv.2020.142582","Soil amendment with biochar"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","Daily CH4 emission","decrease","CH4 g /day /head","10.1073/pnas.2111294119","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 conversion rate - Ym","decrease","CH4 % of gross energy intake (GEI)","10.1073/pnas.2111294119","Livestock feeding techniques"
"Sustainable use of resources","Nutrient excretion","Decrease","Phosphorous excretion","Ratio of total P excretion to average daily gain","decrease","P excretion g / g average daily gain","10.1016/j.agee.2019.106748","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 emissions intensity for milk production","decrease","CH4 g /kg milk produced","10.1073/pnas.2111294119","Livestock feeding techniques"
"Pollution","Air pollutants emissions","Decrease","Ammonia emission (livestock)","NH3 - Ratio of ammonia emissions to average daily gain","decrease","NH3 g /100 g ADG","10.1016/j.agee.2019.106748","Livestock feeding techniques"
"Sustainable use of resources","Nutrient excretion","Decrease","Phosphorous excretion","Total P excretion","decrease","P excretion g /day","10.1016/j.agee.2019.106748","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 emission intensity for weight gain","decrease","CH4 g /kg of weight gain for growing animals","10.1073/pnas.2111294119","Livestock feeding techniques"
"Sustainable use of resources","Nutrient excretion","Decrease","Nitrogen excretion","Total N excretion","decrease","N excretion g /day / cow","10.1016/j.agee.2019.106748","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Weight gain","Weight gain","increase","Avg. daily gain kg /day","10.1073/pnas.2111294119","Livestock feeding techniques"
"Pollution","Air pollutants emissions","Decrease","Hydrogen sulfide emission (livestock)","Hydrogen sulfide (H2S) emissions","decrease","H2S ppm","10.1016/j.agee.2019.106748","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed digestibility","Fiber digestibility","increase","apparent digestibility of neutral detergent fiber  (%)","10.1073/pnas.2111294119","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed efficiency","Ratio of gain to feed intake","increase","Avg. daily gain kg /kg avg. daily feed intake (ADFI)","10.1016/j.agee.2019.106748","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed intake","Feed intake","increase","DMI kg /day","10.1073/pnas.2111294119","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed digestibility","NDF digestibility","increase","NDFD g / 100 g NDFI","10.1016/j.aninu.2021.09.005","Livestock feeding techniques"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","Soil organic carbon stock (10-30 cm)","increase","C g /kg soil","10.1111/gcb.14658","Soil amendment with biochar"
"Soil health","Soil physico-chemical quality","increase","Soil water infiltration","Initial infiltration rate","increase",NA,"10.1371/journal.pone.0215702","Agroforestry practices and systems"
"Soil health","Soil biological quality","Increase","Functional parameters (mychorrhizal fungi)","AMF colonization rate of subsequent cash crop roots","Increase","% root length colonized","10.1111/1365-2664.12815","Cover and catch crops"
"Soil health","Soil biological quality","Increase","Functional parameters (mychorrhizal fungi)","AMF Shannon diversity index","increase","Shannon index","10.1111/1365-2664.12815","No tillage and reduced tillage"
"Soil health","Soil biological quality","Increase","Functional parameters (mychorrhizal fungi)","AMF abundance","increase",NA,"10.1111/1365-2664.12815","No tillage and reduced tillage"
"Soil health","Soil biological quality","Increase","Functional parameters (mychorrhizal fungi)","AMF species richness","increase",NA,"10.1111/1365-2664.12815","No tillage and reduced tillage"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","Soil organic carbon (SOC)","increase","1) C g /kg soil; 2) C t /ha","10.2134/jeq2017.08.0313","Grazing management"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen leaching","NO3 leaching","decrease",NA,"10.1080/00380768.2017.1367627","Grassland management"
"Soil health","Soil physico-chemical quality","increase","Soil cations","Base saturation","increase",NA,"10.3733/ca.2020a0015","Agroforestry practices and systems"
"Soil health","Soil physico-chemical quality","increase","Soil cations","Cations","increase",NA,"10.3733/ca.2020a0015","Agroforestry practices and systems"
"Soil health","Soil nutrients","Increase","Soil nutrients (aggregated)","N cycling potential","increase",NA,"10.3733/ca.2020a0015","Agroforestry practices and systems"
"Soil health","Soil nutrients","Increase","Soil calcium","Soil Ca2+","increase",NA,"10.3733/ca.2020a0015","Agroforestry practices and systems"
"Soil health","Soil physico-chemical quality","increase","Soil cation exchange capacity","Soil cation exchange capacity (CEC)","increase",NA,"10.3733/ca.2020a0015","Agroforestry practices and systems"
"Soil health","Soil physico-chemical quality","increase","Soil bulk density","Soil compaction","decrease",NA,"10.3733/ca.2020a0015","Agroforestry practices and systems"
"Soil health","Soil nutrients","Increase","Soil potassium","Soil K+ ion","increase",NA,"10.3733/ca.2020a0015","Agroforestry practices and systems"
"Soil health","Soil nutrients","Increase","Soil magnesium","Soil Mg2+ ion","increase",NA,"10.3733/ca.2020a0015","Agroforestry practices and systems"
"Soil health","Soil nutrients","Increase","Soil nitrogen (mineral fractions)","Soil Mineral N","increase",NA,"10.3733/ca.2020a0015","Agroforestry practices and systems"
"Soil health","Soil physico-chemical quality","Increase","Soil salinity","Soil Na+ ion","decrease",NA,"10.3733/ca.2020a0015","Agroforestry practices and systems"
"Soil health","Soil nutrients","Increase","Soil nitrogen","Soil Nitrogen","increase",NA,"10.3733/ca.2020a0015","Agroforestry practices and systems"
"Soil health","Soil nutrients","Increase","Soil phosphorus","Soil phosphorus","increase",NA,"10.3733/ca.2020a0015","Agroforestry practices and systems"
"Soil health","Soil biological quality","Increase","Soil biological quality parameters (aggregated)","Soil biota","increase",NA,"10.3733/ca.2020a0015","Agroforestry practices and systems"
"GHG emissions","GHG emissions","Decrease","Methane emission (soil)","CH4 uptake by soil","increase",NA,"10.1016/j.scitotenv.2021.148863","Grassland management"
"Soil health","Soil nutrients","Increase","Soil nitrogen","Soil total N content","increase",NA,"10.1038/s41893-020-00641-y","Grassland management"
"Sustainable use of resources","Water use","Decrease","Water use efficiency","Irrigated water productivity","increase",NA,"10.1016/j.agwat.2021.107105","Water-saving irrigation practices in non-flooded lands"
"Sustainable use of resources","Water use","Decrease","Water use efficiency","Water productivity","increase",NA,"10.1016/j.agwat.2021.107105","Water-saving irrigation practices in non-flooded lands"
"Agricultural production","Crop yield","Increase","Crop yield (grain)","crop grain yield","increase",NA,"10.1038/s43016-020-0114-x","Conservation agriculture systems"
"Sustainable use of resources","Energy use (LCA)","Decrease","Energy use","Energy use","decrease","Kilojoules","10.1088/1748-9326/aa6cd5","Livestock feeding techniques"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 intensity","decrease","CH4 g /kg of milk or weight gain","10.1016/j.aninu.2021.09.005","Livestock feeding techniques"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","Soil organic content","increase","equivalent soil mass method","10.5194/bg-13-3619-2016","No tillage and reduced tillage"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","Soil carbon","increase","C g /kg soil","10.1111/1365-2664.12892","Grazing management"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","Change in SOC content (%)","increase","%","10.1016/j.agee.2013.02.003","Organic fertilisation"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","SOC content","increase","equivalent soil mass method","10.1016/j.agee.2013.02.003","No tillage and reduced tillage"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (soil)","C sequestration rate","increase","C t /ha /year","10.1016/j.agee.2013.02.003","No tillage and reduced tillage"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (organic fertilisers)","N2O EF av.","decrease",NA,"10.1016/j.agee.2012.09.006","Organic fertilisation"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (organic fertilisers)","N2O EF tot","decrease",NA,"10.1016/j.agee.2012.09.006","Organic fertilisation"
"GHG emissions","GHG emissions","Decrease","Methane emission (enteric fermentation)","CH4 intensity (g/kg FPCM)","decrease","CH4 g /kg of fat and protein corrected milk yield (FPCM)","10.3390/ani10040620","Livestock feeding techniques"
"Pollution","Heavy metals pollution","Decrease","Soil heavy metal bioavailability","Extractable soil Cd","decrease",NA,"10.1016/j.scitotenv.2020.142582","Soil amendment with biochar"
"Pollution","Heavy metals pollution","Decrease","Soil heavy metal bioavailability","Extractable soil Pb","decrease",NA,"10.1016/j.scitotenv.2020.142582","Soil amendment with biochar"
"Pollution","Heavy metals pollution","Decrease","Plant heavy metal uptake","Shoot and root Cd and Pb concentration","decrease",NA,"10.1016/j.scitotenv.2020.142582","Soil amendment with biochar"
"Agricultural production","Crop yield","Increase","Crop yield","Farm productivity (cash crops only, without counting pastures and/or forages production in the rotation system)","increase","t /ha","10.1080/03650340.2021.1946040","Organic farming systems"
"Agricultural production","Cropping system productivity","Increase","Net primary productivity","Total aboveground production (net primary productivity)","increase",NA,"10.1371/journal.pone.0200274","Intercropping"
"Agricultural production","Grassland production","Increase","Net primary productivity","Net primary productivity","increase",NA,"10.1371/journal.pone.0200274","Leguminous crops"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (soil)","N2O emission from soil","decrease","% of total N","10.1016/bs.agron.2017.11.005","Soil amendment with biochar"
"Pollution","Heavy metals pollution","Decrease","Soil heavy metal bioavailability","Bioavailable Cd concentration in soil","decrease",NA,"10.1016/bs.agron.2017.11.005","Soil amendment with biochar"
"Pollution","Heavy metals pollution","Decrease","Soil heavy metal bioavailability","Bioavailable Pb concentration in soil","decrease",NA,"10.1016/bs.agron.2017.11.005","Soil amendment with biochar"
"Pollution","Heavy metals pollution","Decrease","Plant heavy metal uptake","Cd concentration in grains","decrease",NA,"10.1016/bs.agron.2017.11.005","Soil amendment with biochar"
"Pollution","Heavy metals pollution","Decrease","Plant heavy metal uptake","Pb concentration in grains","decrease",NA,"10.1016/bs.agron.2017.11.005","Soil amendment with biochar"
"Agricultural production","Crop yield","Increase","Crop yield (grain)","Rice yield","increase",NA,"10.1016/bs.agron.2017.11.005","Soil amendment with biochar"
"GHG emissions","GHG emissions","Decrease","Methane emission (soil)","CH4 emission from soil","decrease","C kg /ha /day","10.1016/bs.agron.2017.11.005","Soil amendment with biochar"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen leaching","Total nitrate leaching","decrease",NA,"10.1007/s11356-020-08322-1","Cover and catch crops"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen leaching","Nitrate leaching","decrease",NA,"10.1007/s11356-020-08322-1","Water-saving irrigation practices in non-flooded lands"
"Soil health","Soil physico-chemical quality","Increase","Soil porosity","Soil porosity","increase",NA,"10.2136/sssaj2017.03.0077","Cover and catch crops"
"Soil health","Soil physico-chemical quality","Increase","Soil water infiltration","Soil water infiltration rate","increase",NA,"10.1371/journal.pone.0215702","Cover and catch crops"
"Soil health","Soil water retention","Increase","Soil water","Water retained at field capacity","increase",NA,"10.2136/sssaj2017.03.0077","Cover and catch crops"
"Soil health","Soil physico-chemical quality","Increase","Soil water infiltration","Infiltration rate in soils","increase",NA,"10.1371/journal.pone.0215702","No tillage and reduced tillage"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Soil erosion control","increase",NA,"10.1016/j.iswcr.2021.08.001","Agroforestry practices and systems"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Soil runoff control","increase",NA,"10.1016/j.iswcr.2021.08.001","Agroforestry practices and systems"
"Agricultural production","Crop yield","Increase","Crop yield","Commercial yield","increase",NA,"10.1007/s13593-019-0579-x","Organic fertilisation"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Soil organic carbon stock 0-15 cm","increase",NA,"10.1016/j.scitotenv.2022.156822","Crop residue management"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Soil organic carbon stock 0-30 cm","increase",NA,"10.1016/j.scitotenv.2022.156822","Crop residue management"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (soil)","Soil organic carbon stock 0-60 cm","increase",NA,"10.1016/j.scitotenv.2022.156822","Crop residue management"
"Soil health","Soil nutrients","Increase","Soil nitrogen","Soil total nitrogen 0-15 cm","increase",NA,"10.1016/j.scitotenv.2022.156822","Crop residue management"
"Soil health","Soil nutrients","Increase","Soil nitrogen","Soil total nitrogen 0-30 cm","increase",NA,"10.1016/j.scitotenv.2022.156822","Crop residue management"
"Soil health","Soil nutrients","Increase","Soil nitrogen","Soil total nitrogen 0-60","increase",NA,"10.1016/j.scitotenv.2022.156822","Crop residue management"
"Agricultural production","Crop yield","Increase","Crop yield","Overyielding (the difference in productivity of a variety mixture compared with the weighted mean of its component varieties in pure stand)","increase",NA,"10.1016/j.fcr.2017.09.006","Intercropping"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (nematode)","Total earthworms abundance","increase",NA,"10.1111/gcb.13744","No tillage and reduced tillage"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (nematode)","Total earthworms biomass","increase",NA,"10.1111/gcb.13744","No tillage and reduced tillage"
"Agricultural production","Grassland production","Increase","Net primary productivity","Plant yield","increase","%","10.1080/00380768.2017.1367627","Grassland management"
"GHG emissions","GHG emissions","Decrease","Methane emission (soil)","CH4 emission in terms of cumulative CH4–C emission as a proportion of the total carbon (TC) of the initial composting material","decrease",NA,"10.1016/j.jclepro.2019.06.288","Manure storage techniques"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (manure)","N2O emission in terms of cumulative N2O-N losses as a proportion of the TN of the initial composting material","decrease",NA,"10.1016/j.jclepro.2019.06.288","Manure storage techniques"
"Sustainable use of resources","Nutrients recovery","Increase","manure-nitrogen loss","TN losses, in terms of cumulative TN losses as a proportion of the TN of the initial composting material","decrease",NA,"10.1016/j.jclepro.2019.06.288","Manure storage techniques"
"GHG emissions","GHG emissions","Decrease","Aggregated GHGs emission (manure)","Total CO2-eq emission","decrease",NA,"10.1016/j.jclepro.2019.06.288","Manure storage techniques"
"Soil health","Soil nutrients","Increase","Soil nitrogen","Microbial N immobilization","increase",NA,"10.1016/j.geoderma.2020.114784","Organic fertilisation"
"Sustainable use of resources","Water use","Decrease","Water consumption","Water use","decrease",NA,"10.1016/j.fcr.2016.12.002","Water-saving irrigation practices in flooded lands"
"Agricultural production","Animal production","Increase","Milk yield","Fat and protein corrected milk yield","increase","FPC milk kg /day","10.1111/jpn.13341","Livestock feeding techniques"
"Agricultural production","Animal production","Increase","Feed efficiency","Feed conversion efficiency","increase","FPCM (kg/d) / kg DMI (FPCM=Fat and protein corrected milk yield calculated for 4.0% fat and 3.3% protein content; DMI=Dry Matter Intake)","10.3390/ani10040620","Livestock feeding techniques"
"Agricultural production","Crop yield","Increase","Crop yield","Cereal yield","increase",NA,"10.1007/s10311-017-0698-z","Leguminous crops"
"Agricultural production","Crop yield","Increase","Crop yield","Fruit yield","Increase",NA,"10.1080/03650340.2021.1937607","Cover and catch crops"
"Soil health","Soil water retention","Increase","Soil water","Soil moisture content","Increase",NA,"10.1080/03650340.2021.1937607","Cover and catch crops"
"Soil health","Soil nutrients","Increase","Soil phosphorous","Soil total phosphorous","Increase",NA,"10.1080/03650340.2021.1937607","Cover and catch crops"
"Soil health","Soil nutrients","Increase","Soil potassium","Soil total potassium","Increase",NA,"10.1080/03650340.2021.1937607","Cover and catch crops"
"Agricultural production","Crop yield","Increase","Crop yield (grain)","Rice grain yield","increase",NA,"10.1038/s41598-017-09742-9","No tillage and reduced tillage"
"Sustainable use of resources","Water use","Decrease","Water input","Water inputs","decrease",NA,"10.1038/s41598-017-09742-9","No tillage and reduced tillage"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (bacteria)","Soil bacterial biomass","increase",NA,"10.1038/s41467-019-09258-y","Grassland management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (fungi)","Soil fungal biomass","increase",NA,"10.1038/s41467-019-09258-y","Grassland management"
"Pollution","Heavy metals pollution","Decrease","Soil heavy metal bioavailability","Cd bioavailability in soil","decrease",NA,"10.1016/j.jenvman.2018.05.004","Soil amendment with biochar"
"Pollution","Heavy metals pollution","Decrease","Plant heavy metal uptake","Cd plant uptake","decrease",NA,"10.1016/j.jenvman.2018.05.004","Soil amendment with biochar"
"Pollution","Heavy metals pollution","Decrease","Soil heavy metal bioavailability","Cu bioavailability in soil","decrease",NA,"10.1016/j.jenvman.2018.05.004","Soil amendment with biochar"
"Pollution","Heavy metals pollution","Decrease","Plant heavy metal uptake","Cu plant uptake","decrease",NA,"10.1016/j.jenvman.2018.05.004","Soil amendment with biochar"
"Pollution","Heavy metals pollution","Decrease","Soil heavy metal bioavailability","Pb bioavailability in soil","decrease",NA,"10.1016/j.jenvman.2018.05.004","Soil amendment with biochar"
"Pollution","Heavy metals pollution","Decrease","Plant heavy metal uptake","Pb plant uptake","decrease",NA,"10.1016/j.jenvman.2018.05.004","Soil amendment with biochar"
"Pollution","Heavy metals pollution","Decrease","Soil heavy metal bioavailability","Zn bioavailability in soil","decrease",NA,"10.1016/j.jenvman.2018.05.004","Soil amendment with biochar"
"Pollution","Heavy metals pollution","Decrease","Plant heavy metal uptake","Zn plant uptake","decrease",NA,"10.1016/j.jenvman.2018.05.004","Soil amendment with biochar"
"Soil health","Soil biological quality","Increase","Functional parameters (enzymatic activity)","Soil glycosidase activity","increase",NA,"10.1111/gcb.13402","Grassland management"
"Sustainable use of resources","Land use (LCA)","Decrease","Land use (product based)","Land use","decrease",NA,"10.1088/1748-9326/aa6cd5","Livestock feeding techniques"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Soil microbial biomass carbon","increase",NA,"10.1111/brv.12554","Grassland management"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","SOC concentrations","increase","C kg /kg dry soil","10.1016/j.agee.2021.107356","Cover and catch crops"
"Agricultural production","Crop yield","Increase","Crop yield","Crop yield metrics: Total biomass, grain yield, aboveground biomass (shoot biomass) and/or underground biomass (root biomass)","increase","t /ha","10.1016/j.scitotenv.2020.136635","Soil amendment with biochar"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (bacteria)","Soil bacteria Chaol index","increase",NA,"10.1016/j.agee.2021.107795","Crop residue management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (bacteria)","Soil bacteria Shannon index","increase",NA,"10.1016/j.agee.2021.107795","Crop residue management"
"Soil health","Soil water retention","Increase","Soil water","Soil available water (deep soil layer)","increase",NA,"10.1016/j.agsy.2019.102761","Intercropping"
"Biodiversity","Pests and diseases","Decrease","pest","Borer larvae abundance","decrease",NA,"10.1016/j.agsy.2019.102761","Intercropping"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Sediment generation","decrease",NA,"10.1016/j.agsy.2019.102761","Intercropping"
"Soil health","Soil water retention","Increase","Soil water","Soil available water (top 30 cm soil depth)","increase",NA,"10.1016/j.agsy.2019.102761","Intercropping"
"Biodiversity","Pests and diseases","Decrease","weed","Striga hermonthica emergence","decrease",NA,"10.1016/j.agsy.2019.102761","Intercropping"
"Soil health","Soil nutrients","Increase","Soil nitrogen","Total nitrogen","increase",NA,"10.1016/j.agsy.2019.102761","Intercropping"
"Soil health","Soil physico-chemical quality","Increase","Soil water infiltration","Water infiltration","increase",NA,"10.1016/j.agsy.2019.102761","Intercropping"
"Soil health","Soil erosion","Decrease","Water run-off","Water runoff","decrease",NA,"10.1016/j.agsy.2019.102761","Intercropping"
"Pollution","Nutrient leaching and run-off","Decrease","Phosphorous loss or run-off","Concentration of dissolved P in agricultural runoff and leaching","decrease",NA,"10.2134/jeq2017.03.0121","No tillage and reduced tillage"
"Pollution","Nutrient leaching and run-off","Decrease","Phosphorous loss or run-off","Concentration of particulate P in agricultural runoff and leaching","decrease",NA,"10.2134/jeq2017.03.0121","No tillage and reduced tillage"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen run-off","Runoff nitrate","decrease",NA,"10.1111/gcb.14535","Grassland management"
"Pollution","Nutrient leaching and run-off","Decrease","Phosphorous loss or run-off","Runoff phosphorus","decrease",NA,"10.1111/gcb.14535","Grassland management"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Runoff quantity","decrease",NA,"10.1111/gcb.14535","Grassland management"
