fpid,doi,population,intervention,control,metric,effect_size,impact_matrix,impact_positive_effect
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.107105,Croplands,Saline water irrigation,Freshwater irrigation,Water productivity,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.107105,Croplands,Saline water irrigation,Freshwater irrigation,Water productivity,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.107105,Croplands,Saline water irrigation,Freshwater irrigation,Water productivity,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.107105,Croplands,Saline water irrigation,Freshwater irrigation,Water productivity,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.107105,Croplands,Saline water irrigation,Freshwater irrigation,Water productivity,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.107105,Croplands,Saline water irrigation,Freshwater irrigation,Water productivity,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.107105,Croplands,Saline water irrigation,Freshwater irrigation,Water productivity,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),DI,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),DI Deficit irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),DI Deficit irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),DI Deficit irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),DI Deficit irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),DI Deficit irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),DI Deficit irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),DI Deficit irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",DI Deficit irrigation,FULL,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",DI Deficit irrigation,FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",DI Deficit irrigation,FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",DI Deficit irrigation,FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",DI Deficit irrigation,FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",DI Deficit irrigation,FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",DI Deficit irrigation,FULL Full irrigation,Crop yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation,DI,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation,Full irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),DI Deficit irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),DI Deficit irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),DI Deficit irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),DI Deficit irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),DI Deficit irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),DI Deficit irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),DI Deficit irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Alternate partial root-zone irrigation (APRI),FULL Full irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",Deficit irrigation,Full irrigation,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",DI Deficit irrigation,FULL Full irrigation,water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",DI Deficit irrigation,FULL Full irrigation,water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",DI Deficit irrigation,FULL Full irrigation,water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",DI Deficit irrigation,FULL Full irrigation,water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",DI Deficit irrigation,FULL Full irrigation,water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Water-saving irrigation practices in non-flooded lands,10.1016/j.agwat.2021.106771,"Crops, vegetables, and fruits",DI Deficit irrigation,FULL Full irrigation,water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Fumaric acid,No fumaric acid,Milk yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Organic acids,No organic acids,Milk yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Conservation agriculture systems,10.1038/s43016-020-0114-x,Maize grain systems. Subsaharan Africa only. treatment duration up to 10 years.,"conservation agriculture system: conservation tillage (no-tillage, minimum tillage or basins/permanent beds) + mulching (cereals, cotton, legumes, mixture of cereals and legumes, non-cereal grasses or forest litter) + rotation or intercropping (with-without legumes)",Conventional system,crop grain yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Crop yield,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,By products,No by products,Fiber digestibility,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Grain processing,No grain processing,Milk yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1016/j.aninu.2021.09.005,Ruminants,Macroalgae,Diets without dietary abatement measure,CH4 yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Enzymes,No enzymes,CH4 conversion rate - Ym,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Propionibacterium,No Propionibacterium,Feed intake,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Bacteria,No bacteria,Daily CH4 emission,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Fiber sources,No fiber sources,Fiber digestibility,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Grazing plus supplementation,Grazing without supplementation,Feed intake,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Rumen manipulation,No rumen manipulation,Feed intake,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Saccharomyces,No Saccharomyces,CH4 conversion rate - Ym,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Additives,No additives,Feed intake,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Protein sources,No protein sources,Fiber digestibility,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Monensin,No monensis,Milk yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Yucca saponins,No yucca saponins,Milk yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1016/j.aninu.2021.09.005,Ruminants,3-nitrooxypropanol,Diets without dietary abatement measure,CH4 yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Saccharomyces,No Saccharomyces,Feed intake,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Organic acids,No organic acids,Feed intake,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Lactobacillus,No Lactobacillus,Feed intake,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Lactobacillus,No Lactobacillus,Daily CH4 emission,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Livestock feeding techniques,10.1016/j.aninu.2021.09.005,Ruminants,Nitrate,Diets without dietary abatement measure,CH4 yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Livestock feeding techniques,10.1016/j.aninu.2021.09.005,Ruminants,Tannins,Diets without dietary abatement measure,CH4 yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Livestock feeding techniques,10.1016/j.aninu.2021.09.005,Ruminants,"Oils (i.e., polyunsaturated fatty acids and the medium-chain saturated fatty acids)",Diets without dietary abatement measure,CH4 yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Ionophores supplementation,No Ionophores,Fiber digestibility,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1016/j.aninu.2021.09.005,Ruminants,Tannins,Diets without dietary abatement measure,NDF digestibility,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1073/pnas.2111294119,Ruminants,Garlic oil,No garlic oil,Feed intake,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Animal production,increase
Livestock feeding techniques,10.1016/j.aninu.2021.09.005,Ruminants,Saponins,Diets without dietary abatement measure,CH4 yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Livestock feeding techniques,10.1016/j.aninu.2021.09.005,Ruminants,Phytochemicals,Diets without dietary abatement measure,CH4 yield,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Livestock feeding techniques,10.1111/jpn.13341,Dairy cattle,Tannins supplementation,No dietary tannins,Urinary N excretion,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Nutrient excretion,decrease
Livestock feeding techniques,10.1088/1748-9326/aa6cd5,Beef cattle,Grain-fed,Grass-fed,Energy use,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Energy use (LCA),decrease
Livestock feeding techniques,10.1016/j.aninu.2021.09.005,Ruminants,Phytochemicals,Diets without dietary abatement measure,CH4 intensity,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Intercropping,10.1016/j.agsy.2019.102761,Grain legumes and cereals,Grain legume and cereal intercropping,Monoculture,Soil organic carbon,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Carbon sequestration,increase
Crop residue management,10.1016/j.scitotenv.2022.154388,Cropland,Crop residue deep incorporation,Crop residue shallow incorporation,N2O emissions,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Crop residue management,10.1016/j.scitotenv.2022.154388,Cropland,Crop residue shallow incorporation,Crop residue surface-applied (mulching),N2O emissions,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
Crop residue management,10.1016/j.scitotenv.2021.152532,Cropland,Crop residue incorporation,Crop residue removal,N2O emissions,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,GHG emissions,decrease
No tillage and reduced tillage,10.5194/bg-13-3619-2016,Cropping system,No tillage,Conventional tillage,Soil organic content,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Carbon sequestration,increase
Leguminous crops,10.1016/j.agsy.2019.102761,Grain legumes and cereals,Grain legume and cereal intercropping,Monoculture,Soil organic carbon,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Carbon sequestration,increase
Grazing management,10.1016/j.agee.2017.10.023,Grasslands,No grazing,Grazing,Soil organic carbon (SOC),Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Carbon sequestration,increase
Grazing management,10.1016/j.agee.2017.10.023,Grasslands,No grazing,Grazing,Soil total nitrogen,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil nutrients,increase
Mulching,10.3389/fpls.2022.825309,Fallow preceding winter wheat,Straw mulching,No mulching,Soil water storage at wheat planting,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil water retention,increase
Mulching,10.3389/fpls.2022.825309,Fallow preceding winter wheat,Straw mulching,No mulching,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Mulching,10.3389/fpls.2022.825309,Fallow preceding winter wheat,Stubble mulching,No mulching,Precipitation storage efficiency (PSE),Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil water retention,increase
Mulching,10.3389/fpls.2022.825309,Fallow preceding winter wheat,Stubble mulching,No mulching,Soil water storage at wheat planting,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Soil water retention,increase
Mulching,10.3389/fpls.2022.825309,Fallow preceding winter wheat,Stubble mulching,No mulching,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Mulching,10.3389/fpls.2022.825309,Fallow preceding winter wheat,Plastic film mulching,No mulching,Water use efficiency,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Water use,decrease
Grazing management,10.1111/1365-2664.12892,Salt marshes,No grazing,Grazing,Soil carbon,Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Carbon sequestration,increase
Organic fertilisation,10.1016/j.agee.2013.02.003,"Mediterranean cropland (arable crops, orchards and horticulture)","Land treatment (compost, manure, agro-industrial waste at >10 Mg C ha1 yr-1 or municipal solid waste at any rate)",Mineral fertilisation,Change in SOC content (%),Logarithm of ratio of the considered metrics in the intervention to the considered metrics in the control,Carbon sequestration,increase
