"doi","authors","year","title","reference","type"
"10.1016/j.fcr.2012.06.007","linquist, ba; adviento-borbe, ma; pittelkow, cm; van kessel, c; van groenigen, kj","2012","fertilizer management practices and greenhouse gas emissions from rice systems: a quantitative review and analysis","FIELD CROPS RESEARCH, 135, 10-21.","meta-analysis"
"10.1016/j.scitotenv.2018.05.356","fan, xp; yin, c; yan, gc; cui, py; shen, q; wang, q; chen, h; zhang, n; ye, mj; zhao, yh; li, tq; liang, yc","2018","the contrasting effects of n-(n-butyl) thiophosphoric triamide (nbpt) on n2o emissions in arable soils differing in ph are underlain by complex microbial mechanisms","SCIENCE OF THE TOTAL ENVIRONMENT, 642, 155-167.","meta-analysis"
"10.2136/sssaj2016.09.0281","eagle, aj; olander, lp; locklier, kl; heffernan, jb; bernhardt, es","2017","fertilizer management and environmental factors drive n2o and no3 losses in corn: a meta-analysis","SOIL SCIENCE SOCIETY OF AMERICA JOURNAL, 81(5), 1191-1202.","meta-analysis"
"10.1016/j.agee.2019.106763","sha, zp; ma, x; wang, jx; lv, tt; li, qq; misselbrook, t; liu, xj","2020","effect of n stabilizers on fertilizer-n fate in the soil-crop system: a meta-analysis","AGRICULTURE ECOSYSTEMS & ENVIRONMENT, 290, 106763.","meta-analysis"
"10.1080/01904167.2018.1426018","jenkins, ta; randhawa, p; jenkins, v","2018","how well do fertilizer enhancers work?","JOURNAL OF PLANT NUTRITION, 41(7), 832-845.","meta-analysis"
"10.1111/cobi.13156","koshida, c; katayama, n","2018","meta-analysis of the effects of rice-field abandonment on biodiversity in japan","CONSERVATION BIOLOGY, 32(6), 1392-1402.","meta-analysis"
"10.1111/j.1523-1739.2004.00359.x","van buskirk, j; willi, y","2004","enhancement of farmland biodiversity within set-aside land","CONSERVATION BIOLOGY, 18(4), 987-994.","meta-analysis"
"10.1016/j.scitotenv.2016.05.067","kampf, i; holzel, n; storrle, m; broll, g; kiehl, k","2016","potential of temperate agricultural soils for carbon sequestration: a meta-analysis of land-use effects","SCIENCE OF THE TOTAL ENVIRONMENT, 566, 428-435.","meta-analysis"
"10.1007/s11104-008-9547-y","sileshi, g; akinnifesi, fk; ajayi, oc; place, f","2008","meta-analysis of maize yield response to woody and herbaceous legumes in sub-saharan africa","PLANT AND SOIL, 307, 1-19.","meta-analysis"
"10.1016/j.biocon.2009.11.030","felton, a; knight, e; wood, j; zammit, c; lindenmayer, d","2010","a meta-analysis of fauna and flora species richness and abundance in plantations and pasture lands","BIOLOGICAL CONSERVATION, 143(3), 545-554.","meta-analysis"
"10.1073/pnas.1922266117","nerlekar, an; veldman, jw","2020","high plant diversity and slow assembly of old-growth grasslands","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA, 117(31), 18550-18556.","meta-analysis"
"10.1111/j.1466-8238.2008.00399.x","attwood, sj; maron, m; house, apn; zammit, c","2008","do arthropod assemblages display globally consistent responses to intensified agricultural land use and management?","GLOBAL ECOLOGY AND BIOGEOGRAPHY, 17(5), 585-599.","meta-analysis"
"10.1016/j.biombioe.2015.05.008","harris, zm; spake, r; taylor, g","2015","land use change to bioenergy: a meta-analysis of soil carbon and ghg emissions","BIOMASS AND BIOENERGY, 82, 27-39.","meta-analysis"
"10.1046/j.1354-1013.2002.00486.x","guo, lb; gifford, rm","2002","soil carbon stocks and land use change: a meta analysis","GLOBAL CHANGE BIOLOGY, 8(4), 345-360.","meta-analysis"
"10.1111/gcb.15315","wu, jj; chen, q; jia, w; long, cy; liu, wz; liu, gh; cheng, xl","2020","asymmetric response of soil methane uptake rate to land degradation and restoration: data synthesis","GLOBAL CHANGE BIOLOGY, 26(11), 6581-6593.","meta-analysis"
"10.1021/acs.est.0c08514","zhang, ys; pan, bb; lam, sk; bai, e; hou, pf; chen, dl","2021","predicting the ratio of nitrification to immobilization to reflect the potential risk of nitrogen loss worldwide","ENVIRONMENTAL SCIENCE AND TECHNOLOGY, 55(11), 7721-7730.","meta-analysis"
"10.1007/s10841-020-00247-x","sexton, an; emery, sm","2020","grassland restorations improve pollinator communities: a meta-analysis","JOURNAL OF INSECT CONSERVATION, 24(4), 719-726.","meta-analysis"
"10.1111/j.1365-2486.2012.02653.x","macdonald, gk; bennett, em; taranu, ze","2012","the influence of time, soil characteristics, and land-use history on soil phosphorus legacies: a global meta-analysis","GLOBAL CHANGE BIOLOGY, 18(6), 553-565.","meta-analysis"
"10.1007/s10531-018-1562-6","talle, m; deak, b; poschlod, p; valko, o; westerberg, l; milberg, p","2018","similar effects of different mowing frequencies on the conservation value of semi-natural grasslands in europe","BIODIVERSITY AND CONSERVATION, 27(10), 2451-2475.","meta-analysis"
"10.1016/j.agee.2016.02.008","talle, m; deak, b; poschlod, p; valko, o; westerberg, l; milberg, p","2016","grazing vs. mowing: a meta-analysis of biodiversity benefits for grassland management","AGRICULTURE ECOSYSTEMS AND ENVIRONMENT, 222, 200-212.","meta-analysis"
"10.1111/avsc.12558","ploughe, lw; akin-fajiye, m; gagnon, a; gardner, wc; fraser, lh","2021","revegetation of degraded ecosystems into grasslands using biosolids as an organic amendment: a meta-analysis","APPLIED VEGETATION SCIENCE, 24(1), e12558.","meta-analysis"
"10.1111/gcb.12986","humbert, jy; dwyer, jm; andrey, a; arlettaz, r","2016","impacts of nitrogen addition on plant biodiversity in mountain grasslands depend on dose, application duration and climate: a systematic review","GLOBAL CHANGE BIOLOGY, 22(1), 110-120.","meta-analysis"
"10.1111/gcb.14535","gravuer, k; gennet, s; throop, hl","2019","organic amendment additions to rangelands: a meta-analysis of multiple ecosystem outcomes","GLOBAL CHANGE BIOLOGY, 25(3), 1152-1170.","meta-analysis"
"10.1111/geb.12856","midolo, g; alkemade, r; schipper, am; benitez-lopez, a; perring, mp; de vries, w","2019","impacts of nitrogen addition on plant species richness and abundance: a global meta-analysis","GLOBAL ECOLOGY AND BIOGEOGRAPHY, 28(3), 398-413.","meta-analysis"
"10.1111/geb.13196","prather, rm; castillioni, k; kaspari, m; souza, l; prather, cm; reihart, rw; welti, ear","2020","micronutrients enhance macronutrient effects in a meta-analysis of grassland arthropod abundance","GLOBAL ECOLOGY AND BIOGEOGRAPHY, 29(12), 2273-2288.","meta-analysis"
"10.1111/j.1466-8238.2011.00652.x","de schrijver, a; de frenne, p; ampoorter, e; van nevel, l; demey, a; wuyts, k; verheyen, k","2011","cumulative nitrogen input drives species loss in terrestrial ecosystems","GLOBAL ECOLOGY AND BIOGEOGRAPHY, 20(6), 803-816.","meta-analysis"
"10.1186/2047-2382-1-9","humbert, jy; pellet, j; buri, p; arlettaz, r","2012","does delaying the first mowing date benefit biodiversity in meadowland?","ENVIRONMENTAL EVIDENCE, 1, 9.","meta-analysis"
"10.1088/1748-9326/abaf88","wang, c; tang, yj; li, xn; zhang, ww; zhao, cq; li, c","2020","negative impacts of plant diversity loss on carbon sequestration exacerbate over time in grasslands","ENVIRONMENTAL RESEARCH LETTERS, 15(10), 104055.","meta-analysis"
"10.1098/rspb.2020.2063","xu, s; eisenhauer, n; ferlian, o; zhang, jl; zhou, gy; lu, xk; liu, cs; zhang, dq","2020","species richness promotes ecosystem carbon storage: evidence from biodiversity-ecosystem functioning experiments","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES, 287, 20202063.","meta-analysis"
"10.1111/brv.12554","chen, xl; chen, hyh; chen, c; ma, zl; searle, eb; yu, zp; huang, zq","2020","effects of plant diversity on soil carbon in diverse ecosystems: a global meta-analysis","BIOLOGICAL REVIEWS, 95(1), 167-183.","meta-analysis"
"10.1016/j.scitotenv.2017.10.229","wang, jy; chadwick, dr; cheng, y; yan, xy","2018","global analysis of agricultural soil denitrification in response to fertilizer nitrogen","SCIENCE OF THE TOTAL ENVIRONMENT, 616, 908-917.","meta-analysis"
"10.1016/j.scitotenv.2021.148863","chen, j; feng, m; cui, y; liu, g","2021","the impacts of nitrogen addition on upland soil methane uptake: a global meta-analysis","SCIENCE OF THE TOTAL ENVIRONMENT, 795, 148863.","meta-analysis"
"10.1080/00380768.2017.1367627","cai, yj; akiyama, h","2017","effects of inhibitors and biochar on nitrous oxide emissions, nitrate leaching, and plant nitrogen uptake from urine patches of grazing animals on grasslands: a meta-analysis","SOIL SCIENCE AND PLANT NUTRITION, 63(4), 405-414.","meta-analysis"
"10.1111/ele.13480","zhang, lh; yuan, fh; bai, jh; duan, ht; gu, xy; hou, ly; huang, y; yang, mg; he, js; zhang, zh; yu, lj; song, cc; lipson, da; zona, d; oechel, w; janssens, ia; xu, xf","2020","phosphorus alleviation of nitrogen-suppressed methane sink in global grasslands","ECOLOGY LETTERS, 23(5), 821-830.","meta-analysis"
"10.1002/ecy.2905","barry, ke; van ruijven, j; mommer, l; bai, yf; beierkuhnlein, c; buchmann, n; de kroon, h; ebeling, a; eisenhauer, n; guimaraes-steinicke, c; hildebrandt, a; isbell, f; milcu, a; nesshover, c; reich, pb; roscher, c; sauheitl, l; scherer-lorenzen, m; schmid, b; tilman, d; von felten, s; weigelt, a","2020","limited evidence for spatial resource partitioning across temperate grassland biodiversity experiments","ECOLOGY, 101(1), e02905.","meta-analysis"
"10.1007/s11104-019-04119-5","jiang, j; wang, yp; yang, yh; yu, mx; wang, c; yan, jh","2019","interactive effects of nitrogen and phosphorus additions on plant growth vary with ecosystem type","PLANT AND SOIL, 440(1-2), 523-537.","meta-analysis"
"10.1038/s41598-017-01728-x","you, cm; wu, fz; gan, ym; yang, wq; hu, zm; xu, zf; tan, b; liu, l; ni, xy","2017","grass and forbs respond differently to nitrogen addition: a meta-analysis of global grassland ecosystems","SCIENTIFIC REPORTS, 7, 1563.","meta-analysis"
"10.1038/s41598-020-74736-z","ros, mbh; koopmans, gf; van groenigen, kj; abalos, d; oenema, o; vos, hmj; van groenigen, jw","2020","towards optimal use of phosphorus fertiliser","SCIENTIFIC REPORTS, 10, 17804.","meta-analysis"
"10.1111/gcb.13125","li, y; niu, sl; yu, gr","2016","aggravated phosphorus limitation on biomass production under increasing nitrogen loading: a meta-analysis","GLOBAL CHANGE BIOLOGY, 22(2), 934-943.","meta-analysis"
"10.1088/1748-9326/11/2/024012","tian, dh; wang, h; sun, j; niu, sl","2016","global evidence on nitrogen saturation of terrestrial ecosystem net primary productivity","ENVIRONMENTAL RESEARCH LETTERS, 11(2), 24012.","meta-analysis"
"10.1016/j.apsoil.2016.04.015","geisseler, d; lazicki, pa; scow, km","2016","mineral nitrogen input decreases microbial biomass in soils under grasslands but not annual crops","APPLIED SOIL ECOLOGY, 106, 1-10.","meta-analysis"
"10.1016/j.geoderma.2020.114256","jia, xy; zhong, yqw; liu, j; zhu, gy; shangguan, zp; yan, wm","2020","effects of nitrogen enrichment on soil microbial characteristics: from biomass to enzyme activities","GEODERMA, 366, 114256.","meta-analysis"
"10.1016/j.soilbio.2017.09.015","zhou, zh; wang, ck; zheng, mh; jiang, lf; luo, yq","2017","patterns and mechanisms of responses by soil microbial communities to nitrogen addition","SOIL BIOLOGY AND BIOCHEMISTRY, 115, 433-441.","meta-analysis"
"10.1038/s41467-019-09258-y","chen, c; chen, hyh; chen, xl; huang, zq","2019","meta-analysis shows positive effects of plant diversity on microbial biomass and respiration","NATURE COMMUNICATIONS, 10, 1332.","meta-analysis"
"10.1111/gcb.13011","thakur, mp; milcu, a; manning, p; niklaus, pa; roscher, c; power, s; reich, pb; scheu, s; tilman, d; ai, f; guo, h; ji, r; pierce, s; ramirez, ng; richter, an; steinauer, k; strecker, t; vogel, a; eisenhauer, n","2015","plant diversity drives soil microbial biomass carbon in grasslands irrespective of global environmental change factors","GLOBAL CHANGE BIOLOGY, 21(11), 4076-4085.","meta-analysis"
"10.1111/gcb.13402","chen, j; luo, yq; li, jw; zhou, xh; cao, jj; wang, rw; wang, yq; shelton, s; jin, z; walker, lm; feng, zz; niu, sl; feng, wt; jian, sy; zhou, ly","2017","costimulation of soil glycosidase activity and soil respiration by nitrogen addition","GLOBAL CHANGE BIOLOGY, 23(3), 1328-1337.","meta-analysis"
"10.1038/s41893-020-00641-y","chen, xl; chen, hyh; searle, eb; chen, c; reich, pb","2021","negative to positive shifts in diversity effects on soil nitrogen over time","NATURE SUSTAINABILITY, 4, 225–232.","meta-analysis"
"10.1111/gcb.14705","zheng, mh; zhou, zh; luo, yq; zhao, p; mo, jm","2019","global pattern and controls of biological nitrogen fixation under nutrient enrichment: a meta-analysis","GLOBAL CHANGE BIOLOGY, 25(9), 3018-3030.","meta-analysis"
"10.1111/1365-2664.13496","mcdonald, se; lawrence, r; kendal, l; rader, r","2019","ecological, biophysical and production effects of incorporating rest into grazing regimes: a global meta-analysis","JOURNAL OF APPLIED ECOLOGY, 56(12), 2723-2731.","meta-analysis"
"10.1002/ece3.3287","dettenmaier, sj; messmer, ta; hovick, tj; dahlgren, dk","2017","effects of livestock grazing on rangeland biodiversity: a meta-analysis of grouse populations","ECOLOGY AND EVOLUTION, 7(19), 7620-7627.","meta-analysis"
"10.1016/j.agee.2020.107072","gao, jj; carmel, y","2020","a global meta-analysis of grazing effects on plant richness","AGRICULTURE ECOSYSTEMS AND ENVIRONMENT, 302, 107072.","meta-analysis"
"10.1016/j.baae.2021.08.007","barzan, fr; bellis, lm; dardanelli, s","2021","livestock grazing constrains bird abundance and species richness: a global meta-analysis","BASIC AND APPLIED ECOLOGY, 56, 289-298.","meta-analysis"
"10.1016/j.biocon.2010.11.024","prieto-benitez, s; mendez, m","2011","effects of land management on the abundance and richness of spiders (araneae): a meta-analysis","BIOLOGICAL CONSERVATION, 144(2), 683-691.","meta-analysis"
"10.1016/j.jnc.2018.08.008","de lima, do; lorini, ml; vieira, mv","2018","conservation of grasslands and savannas: a meta-analysis on mammalian responses to anthropogenic disturbance","JOURNAL FOR NATURE CONSERVATION, 45, 72-78.","meta-analysis"
"10.1016/j.jnc.2020.125863","sartorello, y; pastorino, a; bogliani, g; ghidotti, s; viterbi, r; cerrato, c","2020","the impact of pastoral activities on animal biodiversity in europe: a systematic review and meta-analysis","JOURNAL FOR NATURE CONSERVATION, 56, 125863.","meta-analysis"
"10.1073/pnas.1011013108","alkemade, r; reid, rs; van den berg, m; de leeuw, j; jeuken, m","2013","assessing the impacts of livestock production on biodiversity in rangeland ecosystems","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA, 110(52), 20900-20905.","meta-analysis"
"10.1088/1748-9326/ab4932","wang, c; tang, yj","2019","a global meta-analyses of the response of multi-taxa diversity to grazing intensity in grasslands","ENVIRONMENTAL RESEARCH LETTERS, 14(11), 114003.","meta-analysis"
"10.1111/1365-2664.12892","davidson, ke; fowler, ms; skov, mw; doerr, sh; beaumont, n; griffin, jn","2017","livestock grazing alters multiple ecosystem properties and services in salt marshes: a meta-analysis","JOURNAL OF APPLIED ECOLOGY, 54(5), 1395-1405.","meta-analysis"
"10.1111/een.13065","oyarzabal, g; guimaraes, m","2021","friend and foe? the effects of grassland management on global patterns of spider diversity","ECOLOGICAL ENTOMOLOGY, 46(5), 1195-1204.","meta-analysis"
"10.1111/geb.13091","doherty, ts; balouch, s; bell, k; burns, tj; feldman, a; fist, c; garvey, tf; jessop, ts; meiri, s; driscoll, da","2020","reptile responses to anthropogenic habitat modification: a global meta-analysis","GLOBAL ECOLOGY AND BIOGEOGRAPHY, 29(7), 1265-1279.","meta-analysis"
"10.1111/oik.04893","herrero-jauregui, c; oesterheld, m","2018","effects of grazing intensity on plant richness and diversity: a meta-analysis","OIKOS, 127(6), 757-766.","meta-analysis"
"10.1186/2047-2382-2-6","bernes, c; bråthen, ka; forbes, bc; hofgaard, a; moen, j; speed, jd","2013","what are the impacts of reindeer/caribou (rangifer tarandus l.) on arctic and alpine vegetation? a systematic review protocol","ENVIRONMENTAL EVIDENCE, 4(4), 1-26.","meta-analysis"
"10.1016/j.agee.2016.01.026","dlamini, p; chivenge, p; chaplot, v","2016","overgrazing decreases soil organic carbon stocks the most under dry climates and low soil ph: a meta-analysis shows","AGRICULTURE ECOSYSTEMS AND ENVIRONMENT, 221, 258-269.","meta-analysis"
"10.1016/j.agee.2017.10.023","abdalla, m; hastings, a; chadwick, dr; jones, dl; evans, cd; jones, mb; rees, rm; smith, p","2018","critical review of the impacts of grazing intensity on soil organic carbon storage and other soil quality indicators in extensively managed grasslands","AGRICULTURE ECOSYSTEMS AND ENVIRONMENT, 253, 62-81.","meta-analysis"
"10.1016/j.ecolind.2021.107881","zhang, q; liu, ks; shao, xq; li, h; he, yx; sirimuji; wang, bj","2021","microbes require a relatively long time to recover in natural succession restoration of degraded grassland ecosystems","ECOLOGICAL INDICATORS, 129, 107881.","meta-analysis"
"10.1016/j.scitotenv.2018.11.082","tang, sm; wang, k; xiang, yz; tian, ds; wang, js; liu, ys; cao, b; guo, d; niu, sl","2019","heavy grazing reduces grassland soil greenhouse gas fluxes: a global meta-analysis","SCIENCE OF THE TOTAL ENVIRONMENT, 654, 1218-1224.","meta-analysis"
"10.1111/gcb.12144","mcsherry, me; ritchie, me","2013","effects of grazing on grassland soil carbon: a global review","GLOBAL CHANGE BIOLOGY, 19(5), 1347-1357.","meta-analysis"
"10.1111/gcb.13431","zhou, gy; zhou, xh; he, yh; shao, jj; hu, zh; liu, rq; zhou, hm; hosseinibai, s","2017","grazing intensity significantly affects belowground carbon and nitrogen cycling in grassland ecosystems: a meta-analysis","GLOBAL CHANGE BIOLOGY, 23(3), 1167-1179.","meta-analysis"
"10.1111/geb.13028","he, m; zhou, gy; yuan, tf; van groenigen, kj; shao, jj; zhou, xh","2020","grazing intensity significantly changes the c : n : p stoichiometry in grassland ecosystems","GLOBAL ECOLOGY AND BIOGEOGRAPHY, 29(2), 355-369.","meta-analysis"
"10.1371/journal.pone.0236638","lai, lm; kumar, s","2020","a global meta-analysis of livestock grazing impacts on soil properties","PLOS ONE, 15(8), e0236638.","meta-analysis"
"10.2134/jeq2017.08.0313","byrnes, rc; eastburn, dj; tate, kw; roche, lm","2018","a global meta-analysis of grazing impacts on soil health indicators","JOURNAL OF ENVIRONMENTAL QUALITY, 47(4), 758-765.","meta-analysis"
"10.1111/oik.01416","jauni, m; gripenberg, s; ramula, s","2015","non-native plant species benefit from disturbance: a meta-analysis","OIKOS, 124(2), 122-129.","meta-analysis"
"10.1111/ele.12128","scheper, j; holzschuh, a; kuussaari, m; potts, sg; rundlf, m; smith, hg; kleijn, d","2013","environmental factors driving the effectiveness of european agri-environmental measures in mitigating pollinator loss – a meta-analysis","ECOLOGY LETTERS, 16(7), 912-20.","meta-analysis"
"10.1890/08-1245.1","winfree, r; aguilar, r; vazquez, dp; lebuhn, g; aizen, ma","2009","a meta-analysis of bees' responses to anthropogenic disturbance","ECOLOGY, 90(8), 2068-2076.","meta-analysis"
"10.1016/j.agee.2017.08.007","zhao, fz; ren', cj; shelton, s; wang, zt; pang, gw; chen, j; wang, j","2017","grazing intensity influence soil microbial communities and their implications for soil respiration","AGRICULTURE ECOSYSTEMS AND ENVIRONMENT, 253, 62-81.","meta-analysis"
"10.1016/j.scitotenv.2019.134553","yang, x; chen, js; shen, y; dong, fy; chen, j","2020","global negative effects of livestock grazing on arbuscular mycorrhizas: a meta-analysis","SCIENCE OF THE TOTAL ENVIRONMENT, 708, 134553.","meta-analysis"
"10.1111/j.1365-2745.2010.01658.x","barto, ek; rillig, mc","2010","does herbivory really suppress mycorrhiza? a meta-analysis","JOURNAL OF ECOLOGY, 98(4), 745-753.","meta-analysis"
"10.1111/1365-2664.13808","yu, rp; zhang, wp; fornara, da; li, l","2021","contrasting responses of nitrogen: phosphorus stoichiometry in plants and soils under grazing: a global meta-analysis","JOURNAL OF APPLIED ECOLOGY, 58(5), 964-975.","meta-analysis"
"10.1002/eco.1934","sirimarco, x; barral, mp; villarino, sh; laterra, p","2018","water regulation by grasslands: a global meta-analysis","ECOHYDROLOGY, 11(4), e1934.","meta-analysis"
"10.1016/j.fcr.2009.11.014","sileshi, g; akinnifesi, fk; debusho, lk; beedy, t; ajayi, oc; mong'omba, s","2010","variation in maize yield gaps with plant nutrient inputs, soil type and climate across sub-saharan africa","FIELD CROPS RESEARCH, 116 1–13.","meta-analysis"
"10.1016/j.jaridenv.2011.10.011","bayala, j; sileshi, gw; coe, r; kalinganire, a; tchoundjeu, z; sinclair, f; garrity, d","2012","cereal yield response to conservation agriculture practices in drylands of west africa: a quantitative synthesis","JOURNAL OF ARID ENVIRONMENTS, 78, 13-25.","meta-analysis"
"10.1038/s41467-018-05956-1","knapp, s; van der heijden, mga","2018","a global meta-analysis of yield stability in organic and conservation agriculture","NATURE COMMUNICATIONS,  9:3632.","meta-analysis"
"10.2135/cropsci2005.0014","miguez, fe; bollero, ga","2005","review of corn yield response under winter cover cropping systems using meta-analytic methods","CROP SCIENCE, 45:2318–2329.","meta-analysis"
"10.1016/j.agsy.2019.102761","daryanto, s; fu, bj; zhao, ww; wang, s; jacinthe, pa; wang, lx","2020","ecosystem service provision of grain legume and cereal intercropping in africa","Agric. Syst. 178, 102761","meta-analysis"
"10.1002/eap.1629","reiss, er; drinkwater, le","2018","cultivar mixtures: a meta-analysis of the effect of intraspecific diversity on crop yield","ECOLOGICAL APPLICATIONS, 28, 62–77.","meta-analysis"
"10.1007/s11104-020-04768-x","tang, xy; zhang, cc; yu, y; shen, jb; van der werf, w; zhang, fs","2021","intercropping legumes and cereals increases phosphorus use efficiency; a meta-analysis","PLANT AND SOIL, 460, 89–104.","meta-analysis"
"10.1016/j.eja.2017.09.009","raseduzzaman, m; jensen, es","2017","does intercropping enhance yield stability in arable crop production ? a meta-analysis","EUROPEAN JOURNAL OF AGRONOMY, 91, 25-33.","meta-analysis"
"10.1016/j.eja.2019.125987","li, cj; hoffland, e; kuyper, tw; yu, y; li, hg; zhang, cc; zhang, fs; van der werf, w","2020","yield gain, complementarity and competitive dominance in intercropping in china: a meta-analysis of drivers of yield gain using additive partitioning","Eur J Agron. 113, 125987","meta-analysis"
"10.1016/j.fcr.2009.09.006","kiaer, lp; skovgaard, im; ostergard, h","2009","grain yield increase in cereal variety mixtures: a meta-analysis of field trials","Field Crops Res. 114, 361–373","meta-analysis"
"10.1016/j.fcr.2015.09.010","yu, y; stomph, tj; makowski, d; van der werf, w","2015","temporal niche differentiation increases the land equivalent ratio of annual intercrops: a meta-analysis","Field Crops Res. 184, 133–144","meta-analysis"
"10.1016/j.fcr.2016.08.001","yu, y; stomph, tj; makowski, d; zhang, lz; van der werf, w","2016","a meta-analysis of relative crop yields in cereal/legume mixtures suggests options for management","FIELD CROPS RESEARCH, 198, 269-279.","meta-analysis"
"10.1016/j.fcr.2017.09.006","borg, j; kiaer, lp; lecarpentier, c; goldringer, i; gauffreteau, a; saint-jean, s; barot, s; enjalbert, j","2018","unfolding the potential of wheat cultivar mixtures: a meta-analysis perspective and identification of knowledge gaps","Field Crops Res. 221, 298-313","meta-analysis"
"10.1016/j.fcr.2019.107661","xu, z; li, cj; zhang, cc; yu, y; van der werf, w; zhang, fs","2020","intercropping maize and soybean increases efficiency of land and fertilizer nitrogen use; a meta-analysis","FIELD CROPS RESEARCH, 246, 107661.","meta-analysis"
"10.1016/j.scitotenv.2017.10.024","martin-guay, mo; paquette, a; dupras, j; rivest, d","2018","the new green revolution: sustainable intensification of agriculture by intercropping","SCIENCE OF THE TOTAL ENVIRONMENT, 615, 767-772.","meta-analysis"
"10.1038/s41477-020-0680-9","li, cj; hoffland, e; kuyper, tw; yu, y; zhang, cc; li, hg; zhang, fs; van der werf, w","2020","syndromes of production in intercropping impact yield gains","Nat. Plants 6, 653–660","meta-analysis"
"10.1080/14735903.2016.1242332","himmelstein, j; ares, a; gallagher, d; myers, j","2017","a meta-analysis of intercropping in africa: impacts on crop yield, farmer income, and integrated pest management effects","INTERNATIONAL JOURNAL OF AGRICULTURAL SUSTAINABILITY, 15(1), 1-10.","meta-analysis"
"10.1093/jxb/ert207","slattery, ra; ainsworth, ea; ort, dr","2013","a meta-analysis of responses of canopy photosynthetic conversion efficiency to environmental factors reveals major causes of yield gap","J. Exp. Bot. 12, 3723–3733","meta-analysis"
"10.1111/1365-2664.12334","iverson, al; marin, le; ennis, kk; gonthier, dj; connor-barrie, bt; remfert, jl; cardinale, bj; perfecto, i","2014","do polycultures promote win-wins or trade-offs in agricultural ecosystem services? a meta-analysis","J. Appl. Ecol.  51, 1593–1602","meta-analysis"
"10.1371/journal.pone.0200274","ashworth, aj; toler, hd; allen, fl; auge, rm","2018","global meta-analysis reveals agro-grassland productivity varies based on species diversity over time","PLOS ONE, 15(5): e0233402.","meta-analysis"
"10.1890/09-2026.1","letourneau, dk; armbrecht, i; rivera, bs; lerma, jm; carmona, ej; daza, mc; escobar, s; galindo, v; gutierrez, c; lopez, sd; mejia, jl; rangel, ama; rangel, jh; rivera, l; saavedra, ca; torres, am; trujillo, ar","2011","does plant diversity benefit agroecosystems? a synthetic review","Ecol. Appl. 21, 9-21.","meta-analysis"
"10.2134/agronj13.0590","pelzer, e; hombert, n; jeuffroy, mh; makowski, d","2014","meta-analysis of the effect of nitrogen fertilization on annual cereal-legume intercrop production","AGRONOMY JOURNAL, 106, 1775 - 1786.","meta-analysis"
"10.2134/agronj2017.09.0544","thapa, r; poffenbarger, h; tully, kl; ackroyd, vj; kramer, m; mirsky, sb","2018","biomass production and nitrogen accumulation by hairy vetch-cereal rye mixtures: a meta-analysis","AGRONOMY JOURNAL, 91, 25 - 33.","meta-analysis"
"10.1002/evl3.206","gibson, ak; nguyen, ae","2021","does genetic diversity protect host populations from parasites? a meta-analysis across natural and agricultural systems","Evol. Lett. 5, 16-32","meta-analysis"
"10.1007/s10658-019-01711-4","zhang, cc; dong, y; tang, l; zheng, y; makowski, d; yu, y; zhang, fs; van der werf, w","2019","intercropping cereals with faba bean reduces plant disease incidence regardless of fertilizer input; a meta-analysis","EUROPEAN JOURNAL OF PLANT PATHOLOGY, 154, 931–942.","meta-analysis"
"10.1016/j.cropro.2011.11.020","huang, c; sun, zy; wang, hg; luo, y; ma, zh","2012","effects of wheat cultivar mixtures on stripe rust: a meta-analysis on field trials","Crop Prot. 33, 52-58","meta-analysis"
"10.1111/1365-2435.13062","koricheva, j; hayes, d","2018","the relative importance of plant intraspecific diversity in structuring arthropod communities: a meta-analysis","Funct. Col. 32, 1704-1717","meta-analysis"
"10.1016/j.eja.2020.126077","rodriguez, c; carlsson, g; englund, je; flohr, a; pelzer, e; jeuffroy, mh; makowski, d; jensen, es","2020","grain legume-cereal intercropping enhances the use of soil-derived and biologically fixed nitrogen in temperate agroecosystems. a meta-analysis","EUROPEAN JOURNAL OF AGRONOMY, 118, 126077.","meta-analysis"
"10.1016/j.scitotenv.2018.07.124","xiong, mq; sun, rh; chen, ld","2018","effects of soil conservation techniques on water erosion control: a global analysis","SCIENCE OF THE TOTAL ENVIRONMENT, 645, 753-760.","meta-analysis"
"10.1016/j.scitotenv.2019.135345","england, jr; ogrady, ap; fleming, a; marais, z; mendham, d","2020","trees on farms to support natural capital: an evidence-based review for grazed dairy systems","SCIENCE OF THE TOTAL ENVIRONMENT, 704, 135345.","systematic review"
"10.1016/j.scitotenv.2019.135839","paiola, a; assandri, g; brambilla, m; zottini, m; pedrini, p; nascimbene, j","2020","exploring the potential of vineyards for biodiversity conservation and delivery of biodiversity-mediated ecosystem services: a global-scale systematic review","SCIENCE OF THE TOTAL ENVIRONMENT, 706, 135839.","systematic review"
"10.1111/cobi.12536","batáry, p; dicks, lv; kleijn, d; sutherland, wj","2015","the role of agri-environment schemes in conservation and environmental management","CONSERVATION BIOLOGY, 29(4), 1006-1016.","meta-analysis"
