B.Code,B.Author.Last,B.Date,B.Journal,B.New,B.DOI,B.Url,B.Project,B.Link1,B.Link2,B.Link3,B.Link4,era_snapshots_all,era_snapshot_harmonized,B.Version
CJ0150.1,Awio T.,2021,Field Crops Research,,10.1016/j.fcr.2021.108219,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0151,Akpan J.F.,2020,Asian Journal of Plant Sciences,,10.3923/ajps.2020.166.176,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0152,Alemayehu,2022,Journal of Plant Growth Regulation,,10.1007/s00344-022-10741-y,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0153,Ganya,2018,International Journal of Agronomy,,10.1515/opag-2018-0034,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0154,Kihara,2022,Experimental Agriculture,,10.1017/S0014479721000296,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0155,Moussadek,2023,Ecological Engineering and Environmental Technology,,10.12912/27197050/155024,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0156,Sorour,2020,Applied and Environmental Soil Science,,10.15666/aeer/1806_76737684,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0157,Tekeste N.,2018,Open Agriculture,,10.2174/1874331501812010194,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0158,Saudy,2018,Communications in Soil Science and Plant Analysis,,10.1080/00103624.2018.1510949,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0159,Tchapga,2023,Open Agriculture,,10.1515/opag-2022-0142,,ERA 2023,https://ijlsar.org/index.php/ijlsar/article/view/143/70,,,,ie,ie,V2.0.23
CJ0160,Njoku,2020,Chiang Mai University Journal of Natural Sciences,,10.12982/CMUJNS.2020.0019,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0162,Akinrinade,2023,International Journal of Recycling of Organic Waste in Agriculture,,10.30486/ijrowa.2021.1932327.1260,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0163,Asiwe J.N.A.,2021,International Journal of Agriculture and Biology,,10.17957/IJAB/15.1633,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0165,Bakry,2022,Asian Journal of Plant Sciences,,10.3923/ajps.2022.423.431,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0167,Bilong,2022,Heliyon,,10.1016/j.heliyon.2022.e09570,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0168,Daudu,2018,Agronomy Journal,,10.2134/agronj2017.08.0469,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0169,Guindo,2022,Agronomy,,10.3390/agronomy12061480,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0170,Boateng K.K.,2020,Sustainability,,10.3390/su122410239,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0171,Iliasso,2022,Agronomy Journal,,10.1002/agj2.21129,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0172,M.E.-S,2019,"Acta Scientiarum Polonorum, Hortorum Cultus",,10.24326/asphc.2019.1.6,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0173,Nada,2022,Journal of Ecological Engineering,,10.12911/22998993/147252,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0174,Hafez,2022,Open Agriculture,,10.2174/18743315-v16-e2204180,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0175,Razafintsalama H.,2022,Sustainability (Switzerland),,10.3390/su14094907,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0177,Keba,2022,Heliyon,,10.1016/j.heliyon.2022.e10433,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0178,Kassa,2022,Proceedings of the National Academy of Sciences India Section B - Biological Sciences,,10.1007/s40011-022-01384-w,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0179,Baraki,2019,International Journal of Agronomy,,10.1155/2019/7804621,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0181,Essel,2021,Communications in Soil Science and Plant Analysis,,10.1080/00103624.2020.1862151,,ERA 2023,,,,,ie,ie,V2.0.23
CJ0182.1,Desta G.,2022,Experimental Agriculture,,10.1017/S0014479722000072,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0182.2,Desta G.,2022,Experimental Agriculture,,10.1017/S0014479722000072,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0183,Mijena,2022,Journal of Agriculture and Food Research,,10.1016/j.jafr.2022.100400,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0184,Olaleye,2020,Agronomy,,10.3390/agronomy10030400,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0185,Dembele,2021,Agronomy Journal,,10.1002/agj2.20850,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0186,Belay,2022,Water (Switzerland),,10.3390/w14030476,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0187,Fukuda,2021,Plos One,,10.1371/journal.pone.0250240,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0188,Kwesiga,2019,Agronomy,,10.3390/agronomy9100632,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0189,Ebanyat,2021,Frontiers in Sustainable Food Systems,,10.3389/fsufs.2021.674926,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0190,Yimam A.Y.,2020,Water,,10.3390/W12040947,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0191,Mihiretu,2022,Advances in Agriculture,,10.1155/2022/9031999,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0192,Kassie M.,2019,Journal of Crop Science and Biotechnology,,10.1007/s12892-019-0080-0,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0193,Mwinuka,2021,Scientia Horticulturae,,10.1016/j.scienta.2020.109756,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0194,Gondwe,2019,Scientific Reports,,10.1038/s41598-019-52360-w,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0195,Devkota M.,2022,Agricultural Systems,,10.1016/j.agsy.2022.103470,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0196,Tarekegn,2022,AgroLife Scientific Journal,,10.17930/AGL2022229,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0198,Belete,2019,Agriculture Ecosystems & Environment,,10.1016/j.agee.2019.04.014,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0199,Kihara,2020,"African Journal of Food, Agriculture, Nutrition and Development",,10.18697/ajfand.95.17965,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0200,Bouras,2022,Agronomy,,10.3390/agronomy12040791,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0201,Gelu,2023,Communications in Soil Science and Plant Analysis,,10.1080/00103624.2022.2130938,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0203,Kassaye,2020,International Journal of Agronomy,,10.1155/2020/8869098,,ERA 2023,,,,,ie,ie,V2.0.24
CJ0204,Adekiya A.O.,2018,Journal of Horticultural Research,,10.2478/johr-2018-0008,,ERA 2023,,,,,ie,ie,V2.0.24
CJ1012,Philippe,2023,International Journal of Veterinary Sciences and Animal Husbandry,,10.22271/veterinary.2023.v8.i3b.527,,ERA 2024 Livestock,,,,,cc,cc,V1.2.7
CJ1013,Kodbe,2023,Open Journal of Animal Sciences,,10.4314/sajas.v48i5.11,,ERA 2024 Livestock,,,,,cc,cc,V1.2.3
CJ1015,Younan,2018,Egyptian Journal of Nutrition and Feeds,,10.21608/ejnf.2018.75401,,ERA 2024 Livestock,,,,,cc,cc,V1.2.7
CJ1017,El-Deeb,2023,Global Veterinaria,,10.5829/idosi.gv.2023.01.11,,ERA 2024 Livestock,,,,,cc,cc,V1.2.7
CJ1018,Monegi,2023,Animals,,10.3390/ani13223509,,ERA 2024 Livestock,,,,,cc,cc,V1.2.7
DK0001,Carter,2018,Journal of Agriculture and Rural Development in the Tropics and Subtropics,No,10.17170/kobra-2018112824,,ERA 2020,,,,,mh; sc,sc,
DK0002,Chigoverah,2018,Journal of Economic Entomology,No,10.1093/jee/toy217,,ERA 2020,,,,,mh,mh,
DK0003,Chaplot,2015,Agriculture Ecosystems & Environment,No,10.1016/j.agee.2015.02.001,,ERA 2020,,,,,mh,mh,
DK0005,Chekanai,2018,Agriculture Ecosystems & Environment,No,doi.org/10.1016/j.agee.2018.08.010,,ERA 2020,,,,,mh,mh,
DK0006,Cheesman,2017,Journal of Agricultural Science,No,10.1017/S0021859616000095,,ERA 2020,,,,,mh,mh,
DK0007,Youssoufi,2013,Acta Horticulturae,No,10.17660/actahortic.2013.995.38,,ERA 2020,,,,,mh; sc,mh; sc,
DK0008,Dalton,2014,Agriculture Ecosystems & Environment,No,10.1016/j.agee.2013.11.015,,ERA 2020,,,,,mh,mh,
DK0009,Abdalla,2018,Journal of Agriculture and Rural Development in the Tropics and Subtropics,No,,https://nmbu.brage.unit.no/nmbu-xmlui/bitstream/handle/11250/2577490/Groundnuts%2BKordofan.pdf?sequence=2,ERA 2020,,,,,mh,mh,
DK0010,Abiven,2015,Plant soil,Yes,1007/s11104-015-2533-2,,ERA 2020,10.1002/jpln.201300590,,,,mh,mh,
DK0011,Adekiya,2017,Scientia Horticulturae,No,10.1016/j.scienta.2017.01.053,,ERA 2020,,,,,mh,mh,
DK0012,Agegnehu,2016,Science of the Total Environment,Yes,10.1016/j.scitotenv.2016.05.033,,ERA 2020,,,,,mh,mh,
DK0014,Agegnehu,2016,Soil and Tillage Research,No,10.1016/j.still.2016.02.003,,ERA 2020,10.1016/j.scitotenv.2016.05.033,,,,mh,mh,
DK0015,Ajeigbe,2018,International Journal of Agronomy,Yes,10.1155/2018/7676058,,ERA 2020,,,,,mh,mh,
DK0016,Alemayehu,2017,Journal of Agricultural Science,No,10.1017/S0021859617000193,,ERA 2020,,,,,mh,mh,
DK0017,Asimwe,2016,Journal of Plant Nutrition and Soil Science,No,,suaire.suanet.ac.tz:8080/xmlui/bitstream/handle/123456789/1779/Laswai%20G.%20H.%204.pdf?sequence=1&isAllowed=y,ERA 2020,,,,,mh,mh,
DK0018,Andriamananjara,2016,Field Crops Research,No,10.1016/j.fcr.2016.08.029,,ERA 2020,,,,,mh,mh,
DK0020,Asimwe,2015,Livestock Science,No,10.1016/j.livsci.2015.11.001,,ERA 2020,,,,,mh,mh,
DK0021,Fatondji,2018,Nutrient Cycling in Agroecosystems,No,10.1007/s10705-018-9910-1,,ERA 2020,,,,,mh,mh,
DK0022,Fungo,2017,Field Crops Research,No,10.1016/j.fcr.2017.05.013,,ERA 2020,10.1002/jpln.201300495.,,,,mh,mh,
DK0023,Garba,2018,Soil Fertility and Crop Nutrition,Yes,10.2134/agronj2017.09.0512,,ERA 2020,,,,,mh,mh,
DK0024,Fungo,2017,Soil and Tillage Research,No,10.1016/j.still.2016.08.012,,ERA 2020,,,,,mh,mh,
DK0025,Ibrahim,2015,Field Crops Research,No,10.1016/j.fcr.2015.04.022,,ERA 2020,,,,,mh,mh,
DK0026,Ibrahim,2018,Nutrient Cycling in Agroecosystems,No,10.1007/s10705-018-9928-4,,ERA 2020,,,,,mh,mh,
DK0028,Gitari,2018,Field Crops Research,No,10.1016/j.fcr.2018.03.019,,ERA 2020,,,,,mh,mh,
DK0030,Ahamefule,2014,Soil and Tillage Research,No,/10.1016/j.still.2013.09.012,,ERA 2020,,,,,mh,mh,
DK0031,Ndoli,2018,Field Crops Research,No,10.1016/j.fcr.2018.03.003,,ERA 2020,,,,,mh,mh,
DK0032,Kafesu,2018,Field Crops Research,No,10.1016/j.fcr.2018.01.014,,ERA 2020,,,,,mh,mh,
DK0034,Fajinmi,2018,Acta Horticulturae,No,10.17660/ActaHortic.2018.1225.65,,ERA 2020,,,,,mh,mh,
DK0036,Gérardeaux,2018,Field Crops Research,No,10.1016/j.fcr.2018.07.007,,ERA 2020,,,,,mh,mh,
DK0037,Asizua,2014,Livestock Science,No,10.1016/j.livsci.2014.09.010,,ERA 2020,,,,,mh; sc,mh; sc,
DK0038,Güere˜na,2016,Field Crops Research,No,10.1016/j.fcr.2015.12.017,,ERA 2020,10.1007/s10021-008-9154-z,,,,mh,mh,
DK0039,Hirut,2016,Journal of Phytopathology,Yes,10.1111/jph.12514,,ERA 2020,,,,,mh,mh,
DK0040,Ibrahim,2015,Journal of Agricultural Science,No,10.1017/S0021859614001075,,ERA 2020,,,,,mh,mh,
DK0041,Amouzou,2018,Journal of Plant Nutrition and Soil Science,No,10.1002/jpln.201700139,,ERA 2020,,,,,mh,mh,
DK0043,Anikwe,2016,Soil and Tillage Research,No,10.1016/j.still.2015.10.011,,ERA 2020,,,,,mh,mh,
DK0044,Araya,2015,Soil and Tillage Research,No,10.1016/j.still.2014.11.009,,ERA 2020,scholar.google.com/scholar_lookup?title=Conservation%20Agriculture-based%20Resource%20Saving%20Technology%20for%20Land%20Resilience%20in%20Northern%20Ethiopia.%20Ph.D.%20Thesis&author=T.%20Araya&publication_year=2012,onlinelibrary.wiley.com/doi/abs/10.1111/j.1475-2743.2011.00347.x,,,mh,mh,
DK0045,Grum,2017,Agricultural Water Management,No,10.1016/j.agwat.2017.08.009,,ERA 2020,,,,,mh,mh,
DK0046,Kaizzi,2018,Nutrient Cycling in Agroecosystems,No,10.1007/s10705-018-9915-9,,ERA 2020,,,,,mh,mh,
DK0047,Asizua,2017,Livestock Science,No,10.1016/j.livsci.2017.03.006,,ERA 2020,,,,,mh,mh,
DK0048,Ayadi,2016,Annals of Applied Biology,Yes,10.1111/aab.12262,,ERA 2020,,,,,mh,mh,
DK0050,Dossou-Yovo,2016,Soil and Tillage Research,No,10.1016/j.still.2015.10.001,,ERA 2020,,,,,mh,mh,
DK0051,Dossou-Yovo,2016,Soil and Tillage Research,No,10.1016/j.still.2016.05.019,,ERA 2020,,,,,mh,mh,
DK0052,Are,2018,Soil and Tillage Research,No,10.1016/j.still.2018.08.009,,ERA 2020,,,,,mh,mh,
DK0053,Asante,2016,Journal of Plant Nutrition and Soil Science,No,10.1002/jpln.201600209,,ERA 2020,,,,,mh,mh,
DK0054,Araya,2016,Soil and Tillage Research,No,10.1016/j.still.2016.05.011,,ERA 2020,,,,,mh,mh,
DK0055,Bedada,2014,Agriculture Ecosystems & Environment,No,10.1016/j.agee.2014.06.017,,ERA 2020,,,,,mh,mh,
DK0057,Berihun,2017,Journal of Plant Nutrition and Soil Science,No,10.1002/jpln.201600343,,ERA 2020,,,,,mh,mh,
DK0058,Beyene,2018,Euphytica,No,10.1007/s10681-018-2210-7,,ERA 2020,,,,,mh,mh,
DK0059,Bielder,2015,Field Crops Research,No,10.1016/j.fcr.2014.10.008,,ERA 2020,,,,,mh,mh,
DK0061,Dusserre,2017,Field Crops Research,No,10.1016/j.fcr.2017.01.024,,ERA 2020,,,,,mh,mh,
DK0063,Schut,2018,Field Crops Research,No,10.1016/j.fcr.2018.02.018,,ERA 2020,,,,,mh,mh,
DK0064,Falconnier,2016,Field Crops Research,No,10.1016/j.fcr.2015.12.015,,ERA 2020,,,,,mh,mh,
DK0065,Maboko,2017,Journal of Agricultural Science and Technology,Yes,,ir.jkuat.ac.ke/bitstream/handle/123456789/3575/JAST_Volume%2019_Issue%206_Pages%201345-1354.pdf?sequence=1&isAllowed=y,ERA 2020,,,,,mh,mh,
DK0066,Madamombe,2015,Scientia Horticulturae,No,10.1016/j.scienta.2015.08.009,,ERA 2020,,,,,mh,mh,
DK0067,Kiboi,2017,Soil and Tillage Research,No,10.1016/j.still.2017.04.001,,ERA 2020,,,,,mh,mh,
DK0069,Nzeyimana,2017,Catena,No,10.1016/j.catena.2016.08.034,,ERA 2020,,,,,mh,mh,
DK0070,Adebimpe,2017,Agricultural Engineering International: CIGR Journal,Yes,,cigrjournal.org/index.php/Ejounral/article/view/3926/2511,ERA 2020,,,,,mh,mh,
DK0071,Rurangwa,2017,Agriculture Ecosystems & Environment,No,10.1016/j.agee.2017.08.015,,ERA 2020,,,,,mh,mh,
DK0073,Kermah,2017,Field Crops Research,No,10.1016/j.fcr.2017.07.008,,ERA 2020,,,,,mh,mh,
DK0074,Kermah,2017,Agriculture Ecosystems & Environment,No,10.1016/j.agee.2017.08.028,,ERA 2020,,,,,mh,mh,
DK0075,Kihara,2013,Field Crops Research,No,10.1016/j.fcr.2013.05.025,,ERA 2020,,,,,mh,mh,
DK0076,Kihara,2016,Agriculture Ecosystems & Environment,No,10.1016/j.agee.2016.05.012,,ERA 2020,,,,,mh,mh,
DK0077,Menkir,2016,Euphytica,No,10.1007/s10681-016-1777-0,,ERA 2020,,,,,mh,mh,
DK0079,Ranaivoson,2018,Field Crops Research,No,10.1016/j.fcr.2017.11.027,,ERA 2020,,,,,mh,mh,
DK0080,Rakotoson,2017,Field Crops Research,No,10.1016/j.fcr.2017.07.023,,ERA 2020,,,,,mh,mh,
DK0081,Pincus,2016,Agriculture Ecosystems & Environment,No,10.1016/j.agee.2016.03.033,,ERA 2020,,,,,mh,mh,
DK0083,Kotze,2015,Acta Horticulturae,No,10.17660/ActaHortic.2015.1076.11,,ERA 2020,,,,,mh,mh,
DK0085,Ojiem,2014,Field Crops Research,No,10.1016/j.fcr.2014.08.004,,ERA 2020,,,,,mh,mh,
DK0087,Kanton,2017,International Journal of Agronomy,Yes,10.1155/2017/4270284,,ERA 2020,,,,,mh,mh,
DK0088,Jemberu,2018,Journal of Environmental Management,Yes,10.1016/j.jenvman.2017.11.044,,ERA 2020,,,,,mh,mh,
DK0090,Kijoji,2014,Field Crops Research,No,10.1016/j.fcr.2014.03.019,,ERA 2020,,,,,mh,mh,
DK0093,Law-Ogbomo,2018,Acta Horticulturae,No,10.17660/ActaHortic.2018.1225.19,,ERA 2020,,,,,mh,mh,
DK0095,Magaia,2017,Field Crops Research,No,10.1016/j.fcr.2016.12.025,,ERA 2020,,,,,mh,mh,
DK0096,Baudron,2014,Agriculture Ecosystems & Environment,No,10.1016/j.agee.2013.08.020,,ERA 2020,,,,,mh,mh,
DK0097,Baudron,2015,Agriculture Ecosystems & Environment,No,10.1016/j.agee.2015.04.003,,ERA 2020,,,,,mh,mh,
DK0098,Cyamweshi,2018,Nutrient Cycling in Agroecosystems,No,10.1007/s10705-018-9912-z,,ERA 2020,,,,,mh,mh,
DK0099,Mubayiwa,2018,Crop Protection,No,10.1016/j.cropro.2018.01.016,,ERA 2020,,,,,mh,mh,
DK0100,Munthali,2014,International Journal of Agronomy,Yes,10.1155/2014/902820,,ERA 2020,,,,,mh,mh,
DK0101,Maman,2018,Agronomy Journal,No,10.2134/agronj2017.06.0329,,ERA 2020,,,,,mh,mh,
DK0102,Manda,2017,Agriculture Ecosystems & Environment,No,10.1016/j.agee.2017.07.030,,ERA 2020,,,,,mh,mh,
DK0104,Mapanda,2013,Soil and Tillage Research,No,10.1016/j.still.2013.01.008,,ERA 2020,,,,,mh,mh,
DK0105,Martinsen,2014,Journal of Plant Nutrition and Soil Science,No,10.1002/jpln.201300590,,ERA 2020,,,,,mh,mh,
DK0107,Mashele,2016,South African Journal of Geology,Yes,10.2113/gssajg.119.1.25,,ERA 2020,,,,,mh,mh,
DK0108,Masikati,2014,Agricultural Systems,No,10.1016/j.agsy.2013.09.003,,ERA 2020,,,,,mh,mh,
DK0109,Masvaya,2017,Soil and Tillage Research,No,10.1016/j.still.2016.12.007,,ERA 2020,,,,,mh,mh,
DK0110,Masvaya,2017,Field Crops Research,No,10.1016/j.fcr.2017.04.016,,ERA 2020,,,,,mh,mh,
DK0112,Mathobo,2017,Agricultural Water Management,No,10.1016/j.agwat.2016.11.005,,ERA 2020,,,,,mh,mh,
DK0113,Melaku,2018,Catena,No,10.1016/j.catena.2018.05.035,,ERA 2020,,,,,mh,mh,
DK0114,Mbau,2014,Plant and Soil,No,10.1007/s11104-014-2305-4,,ERA 2020,,,,,mh,mh,
DK0115,Menssen,2017,Scientia Horticulturae,No,10.1016/j.scienta.2017.08.003,,ERA 2020,,,,,mh,mh,
DK0116,Mhlanga,2017,Journal of Agricultural Science,No,10.1017/s0021859616000927,,ERA 2020,,,,,mh,mh,
DK0117,Midega,2014,Field Crops Research,No,10.1016/j.fcr.2013.09.012,,ERA 2020,,,,,mh,mh,
DK0118,Mo,2018,Agricultural Water Management,No,10.1016/j.agwat.2018.05.002,,ERA 2020,,,,,mh,mh,
DK0119,Mohamed,2017,Agricultural Water Management,No,10.1016/j.agwat.2017.08.022,,ERA 2020,,,,,mh,mh,
DK0120,Munyahali,2017,Field Crops Research,No,10.1016/j.fcr.2017.09.018,,ERA 2020,,,,,mh,mh,
DK0121,Mthimkhulu,2016,Agriculture Ecosystems & Environment,No,10.1016/j.agee.2016.04.002,,ERA 2020,,,,,mh,mh,
DK0122,Mujuru,2015,Journal of Agricultural Science,No,10.1017/s0021859615000520,,ERA 2020,,,,,mh,mh,
DK0123,Abd El-Mageed,2016,Agricultural Water Management,No,10.1016/j.agwat.2016.04.025,,ERA 2020,,,,,mh,mh,
DK0124,Abd El-Wahed,2017,Scientia Horticulturae,No,10.1016/j.scienta.2017.07.007,,ERA 2020,,,,,mh,mh,
DK0125,Ambachew,2014,Agricultural Water Management,No,10.1016/j.agwat.2014.01.012,,ERA 2020,,,,,mh,mh,
DK0126,Chamekh,2016,Plant Science,No,10.1016/j.plantsci.2016.07.005,,ERA 2020,,,,,mh,mh,
DK0127,Chilundo,2016,Agricultural Water Management,No,10.1016/j.agwat.2016.02.004,,ERA 2020,,,,,mh,mh,
DK0128,Chilundo,2017,Field Crops Research,No,10.1016/j.fcr.2016.10.005,,ERA 2020,,,,,mh,mh,
DK0129,Ngetich,2014,Catena,No,10.1016/j.catena.2014.05.026,,ERA 2020,,,,,mh,mh,
DK0130,Munjonji,2018,Agronomy Journal,No,10.2134/agronj2017.01.0037,,ERA 2020,,,,,mh,mh,
DK0131,Nansamba,2016,Agronomy Journal,No,10.2134/agronj2015.0608,,ERA 2020,,,,,mh,mh,
DK0132,Ndlela,2017,Journal of Applied Entomology,Yes,10.1111/jen.12404,,ERA 2020,,,,,mh,mh,
DK0135,Neina,2016,Soil and Tillage Research,No,10.1016/j.still.2016.06.008,,ERA 2020,,,,,mh,mh,
DK0136,Negassa,2018,Agriculture Ecosystems & Environment,No,10.1016/j.agee.2017.09.023,,ERA 2020,,,,,mh,mh,
DK0137,Assefa,2016,Agricultural Water Management,No,10.1016/j.agwat.2016.10.012,,ERA 2020,,,,,mh,mh,
DK0138,Coromaldi,2015,Ecological Economics,Yes,10.1016/j.ecolecon.2015.09.004,,ERA 2020,,,,,mh,mh,
DK0139,Benabderrahim,2015,Plant Biosystems,Yes,10.1080/11263504.2013.850121,,ERA 2020,,,,,mh,mh,
DK0140,Abu,2013,Soil and Tillage Research,No,10.1016/j.still.2012.09.003,,ERA 2020,,,,,mh,mh,
DK0141,Amouzou,2018,Field Crops Research,No,10.1016/j.fcr.2017.12.017,,ERA 2020,,,,,mh,mh,
DK0142,Nezomba,2018,Field Crops Research,No,10.1016/j.fcr.2018.05.003,,ERA 2020,,,,,mh,mh,
DK0143,Niere,2014,Field Crops Research,No,10.1016/j.fcr.2013.11.014,,ERA 2020,,,,,mh,mh,
DK0144,Njoroge,2017,Field Crops Research,No,10.1016/j.fcr.2017.05.015,,ERA 2020,,,,,mh,mh,
DK0146,Saiz,2016,Geoderma,No,10.1016/j.geoderma.2016.03.022,,ERA 2020,,,,,mh,mh,
DK0147,Ortiz-Gonzalo,2018,Science of the Total Environment,Yes,10.1016/j.scitotenv.2017.12.247,,ERA 2020,,,,,mh,mh,
DK0148,Rusinamhodzi,2017,Field Crops Research,No,10.1016/j.fcr.2016.12.001,,ERA 2020,,,,,mh,mh,
DK0149,Seeruttun,2014,International Sugar Journal,No,,,ERA 2020,,,,,mh,mh,
DK0151,Melaku,2017,Journal of Soils and Sediments,Yes,10.1007/s11368-017-1901-3,,ERA 2020,,,,,mh,mh,
DM0004,Kipkoech,2008,Crop Protection,,10.1016/j.cropro.2008.04.005,,ERA 2023,,,,,ie,ie,V2.0.24
DM0025,Borbon-Gracia,2020,Revista Fitotecnia Mexicana,,,https://www.scielo.org.mx/pdf/rfm/v43n4/0187-7380-rfm-43-04-371.pdf,ERA 2023,,,,,ie,ie,V2.0.24
EM1004,El-Kholany,2018,Journal of Animal and Poultry Production,, 10.21608/jappmu.2018.38935,,ERA 2024 Livestock,,,,,cc,cc,V1.2.3
EM1005,Abdel-Rahman,2019,Journal of Animal Health and Production,,10.17582/journal.jahp/2019/7.4.131.141,,ERA 2024 Livestock,,,,,cc,cc,V1.2.7
EM1010,EL-Hedainy,2020,International Journal of Veterinary Science and Research,,,https://www.veteringroup.us/articles/IJVSR-6-172.php,ERA 2024 Livestock,,,,,cc,cc,V1.2.6
EM1017,Daghash,2024,Assiut Journal of Agricultural Sciences,, 10.21608/ajas.2024.266071.1331,,ERA 2024 Livestock,,,,,cc,cc,V1.2.3
EM1019,Miegoue,2023,Journal of Animal Husbandry and Dairy Science,,10.22259/2637-5354.0701001,,ERA 2024 Livestock,,,,,cc,cc,V1.2.6
EM1020,Adugna,2023,Veterinary Medicine and Science,,10.1002/vms3.1068,,ERA 2024 Livestock,,,,,cc,cc,V1.2.7
EM1023,Simone,2023,Turkish Journal of Agriculture-Food Science and Technology,,10.24925/turjaf.v11i6.1067-1073.5989,,ERA 2024 Livestock,,,,,cc,cc,V1.2.7
EM1032,Tsafiyo,2022,Open Journal of Animal Sciences,,10.4236/ojas.2022.121003,,ERA 2024 Livestock,,,,,cc,cc,V1.2.7
EM1036,Mekuria,2024,Cogent Food & Agriculture,,10.1080/23311932.2023.2295078,,ERA 2024 Livestock,,,,,cc,cc,V1.2.7
EM1037,Dea,2020,Advances in Life Science and Technology,,10.7176/ALST/81-01,,ERA 2024 Livestock,,,,,cc,cc,V1.2.7
EM1039,Shiferaw,2022,Translational Animal Science,,10.1093/tas/txac146,,ERA 2024 Livestock,,,,,cc,cc,V1.2.7
EM1044,Maklad,2018,Egyptian Journal of Nutrition and Feeds,,10.21608/ejnf.2018.75509,,ERA 2024 Livestock,,,,,cc,cc,V1.2.7
EM1048,Adugna,2024,Ethiopian Veterinanry Journal,,10.4314/evj.v27i1.6,,ERA 2024 Livestock,,,,,cc,cc,V1.2.7
EM1061,Dzepe,2023,The Journal of Basic and Applied Zoology,,10.1186/s41936-023-00339-5,,ERA 2024 Livestock,,,,,cc,cc,V1.2.7
EM1066,Mulaudzi,2022,Sustainability,,10.3390/ su14095067,,ERA 2024 Livestock,,,,,cc,cc,V1.2.7
EM1067,Helen,2020,Scientific Research Journal,,10.31364/SCIRJ/v8.i2.2020.P0220748,,ERA 2024 Livestock,,,,,cc,cc,V1.2.7
EM1072,Okuruwa,2019,European Journal of Nutrition & Food Safety,,10.9734/EJNFS/2019/v10i230102,,ERA 2024 Livestock,,,,,cc,cc,V1.2.7
EM1075,Ebeid,2019,Egyptian Journal of  Nutrition and Feeds,,10.21608/ejnf.2019.79402,,ERA 2024 Livestock,,,,,cc,cc,V1.2.7
EM1085,Tibaoui,2020,Spanish Journal of Agricultural Research,,10.5424/sjar/2020184-16873,,ERA 2024 Livestock,,,,,cc,cc,V1.2.7
EM1086,Niayale,2020,Ghana Journal of Agricultural Sciences,,10.4314/gjas.v55i2.9,,ERA 2024 Livestock,,,,,cc,cc,V1.2.7
EM1100,Ikyume,2018,Journal of Animal Husbandry and Dairy Science,,,https://www.researchgate.net/profile/Timothy-Ikyume/publication/323943197_Growth_Performance_Blood_Profile_and_Economics_of_Production_of_West_African_Dwarf_WAD_Goats_Fed_Fermented_Baobab_Adansonia_Digitata_Seed_Meal/links/5ab3b9250f7e9b4897c69b67/Growth-Performance-Blood-Profile-and-Economics-of-Production-of-West-African-Dwarf-WAD-Goats-Fed-Fermented-Baobab-Adansonia-Digitata-Seed-Meal.pdf,ERA 2024 Livestock,,,,,cc,cc,V1.2.7
