"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EYDINR5G","journalArticle","2014","Furtado, Guilherme De F.; Souza, Anielson Dos S.; Sousa Júnior, José R. De; Sousa, Jônatas R. M. De; Lacerda, Rodolfo R. De A.; Silva, Saulo S. Da","Rendimento e correlações da mamoneira consorciada com feijão-caupi e gergelim no semiárido paraibano","Revista Brasileira de Engenharia Agrícola e Ambiental","","1415-4366","10.1590/1807-1929/agriambi.v18n09p892-898","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662014000900003&lng=pt&tlng=pt","Cultivos consorciados representam benefícios econômicos e ambientais, por diversificar a produção na propriedade rural. Propôs-se, então, avaliar o rendimento e o grau de relacionamento entre características agronômicas da mamoneira em cultivo isolado e consorciado com feijão-caupi e gergelim. O experimento foi desenvolvido no período de março a novembro de 2011 em condições de campo, em Pombal, PB. Foram utilizados o delineamento em blocos casualizados em esquema fatorial 2 x 3 + 2, sendo 2 cultivares de mamona (IAC 2028 e BRS Nordestina), 3 sistemas de cultivo (monocultivo e consórcio com feijão-caupi ou gergelim) mais 2 tratamentos adicionais (feijão-caupi e gergelim em monocultivo) com 4 repetições. Avaliaram-se, também, as seguintes características: produção de grãos por planta (g), rendimento relativo (%), contribuição relativa das ordens dos racemos na produtividade total e estudo de correlações. Ocorreu em média maior contribuição de racemos secundários na produtividade total. O comprimento do racemo e o número de frutos por racemo são características altamente correlacionadas; dentre as culturas avaliadas a melhor opção de cultura companheira para o cultivo consorciado da mamoneira na região é o feijão-caupi.           ,              Intercropping represents environmental and economic benefits due to production diversity on the farm. This study aimed to evaluate the yield and the degree of relationship between agronomic characteristics of two cultivars of castor bean as isolated crop and intercropped with cowpea and sesame. The experiment was carried out from March to November 2011 under field conditions at Pombal, in the State of Paraíba. The experimental design was a randomized block in factorial 2 x 3 + 2, using 2 castor bean cultivars (IAC 2028 and BRS Nordestina), 3 cropping systems (monoculture and intercropping with cowpea or sesame) plus 2 additional treatments (cowpea and sesame monoculture) with 4 replications. The following characteristics were evaluated: grain yield per plant (g), relative yield (%), the relative contribution of the orders of clusters in total productivity. On average there was a greater contribution of secondary clusters in total productivity. The length of the cluster and number of fruits in cluster are highly correlated. Between the intercrops evaluated the best choice of companion crops for intercropping of castor bean in the region is the cowpea.","2014-09","2026-04-29 10:54:25","2026-04-29 10:54:25","2026-04-29 10:54:25","892-898","","9","18","","Rev. bras. eng. agríc. ambient.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\8YRHPWRP\Furtado et al. - 2014 - Rendimento e correlações da mamoneira consorciada com feijão-caupi e gergelim no semiárido paraibano.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PD2HEH4J","journalArticle","2015","Sampaio, Levi R; Araújo, José Rg; Sousa, Eduardo Hs; Ferraz Júnior, Altamiro Sl; Araujo, Ana Ms","Cultivo de abóbora, suplementada com biofertilizante, em aléias de leguminosas arbóreas","Horticultura Brasileira","","0102-0536","10.1590/S0102-053620150000100007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-05362015000100040&lng=pt&tlng=pt","O objetivo do presente trabalho foi avaliar o efeito da cobertura solteira e consorciada de três leguminosas arbóreas em aléias, suplementadas ou não com biofertilizante bovino, nos aspectos de nutrição da planta e produção e qualidade do fruto de abóbora. A área experimental foi constituída de sete aléias de leguminosas arbóreas plantadas em fileiras duplas de 24,5 m de comprimento e 6,0 m entre si, com área total de 147 m2 por parcela, onde cada aléia correspondia a um tratamento: controle (T), Ingá (I), Sombreiro (S), Leucena (L), Ingá + Sombreiro (I+S), Ingá + Leucena (I+L) e Sombreiro + Leucena (S+L). As subparcelas foram constituídas por duas doses de biofertilizante bovino, (0 e 1,5 L/cova diluídos em 5 L de água) aplicados aos 40, 50 e 60 dias após a semeadura, sendo tomadas duas plantas por repetição. Os frutos foram colhidos e levados para as análises biométricas e de qualidade, sendo avaliados o número de frutos por planta, peso médio (kg) e espessura da polpa (cm). O experimento foi instalado no esquema de parcelas subdivididas, no delineamento em blocos casualizados, com três repetições. O consórcio de leguminosas arbóreas com a abóbora da cultivar Leite, se mostrou eficiente em parâmetros como disponibilização de N e K, matéria orgânica e biomassa para proteção do solo. As coberturas das leguminosas arbóreas comportaram-se de modo bem distinto, sendo as coberturas solteiras mais significativas em relação à produtividade e às consorciadas, produziram frutos com maior peso e espessura de polpa. Houve acréscimo significativo no peso médio dos frutos com a aplicação do biofertilizante bovino associado às coberturas consorciadas.           ,              The effect of coverage in a single and intercropped system with three leguminous species with or without supplement of bovine biofertilizer was evaluated, in relation to plant nutrition, yield and fruit quality of pumpkin. The experimental area was formed by seven alleys of leguminous trees planted under double-rows, 24.5 m length and 6.0 m of spacing between rows, with total area of 147 m2 per plot, where alley coverage corresponded to a treatment: Control (C), Ingá (I), Sombreiro (S), Leucena (L), Ingá + Sombreiro (I+S), Ingá + Leucena (I+L) and Sombreiro + Leucena (S+L). The subplots consisted of two doses of biofertilizer (0 and 1.5 L per hole, diluted with 5 L of water), applied 40, 50, 60 days after sowing, two plants being taken per replication. The fruits were harvested and taken for biometric and quality analysis, and the analyzed variables comprised number of fruits per plant, average weight (kg) and fruit pulp thickness (cm). The experiment was installed in a randomized block design with three replications in a split plot. The intercropped systems with leguminous trees and pumpkins cv. Leite was more efficient on parameters such as N and K availability, organic matter and biomass for protecting the soil. The coverage of leguminous trees behaved in a different way, the single cropping being more significant for yield and the intercropped coverage producing fruits with higher weight and pulp thickness. A significant increase in average weight of fruits with application of bovine biofertilizer associated to intercropped coverage was noticed.","2015-03","2026-04-29 10:54:18","2026-04-29 10:54:18","2026-04-29 10:54:18","40-44","","1","33","","Hortic. Bras.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\4Q3KIGCF\Sampaio et al. - 2015 - Cultivo de abóbora, suplementada com biofertilizante, em aléias de leguminosas arbóreas.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QVYBIDZ5","journalArticle","2019","Paz, Lucas B. Da; Gallo, Anderson De S.; Souza, Rafael De L.; Oliveira, Luís Vitor N. De; Cunha, Camila Da; Silva, Rogério F. Da","Desempenho e produtividade do milho safrinha em consórcio com leguminosas em sistema orgânico","Revista de Ciências Agrárias","","","10.19084/RCA16240","https://revistas.rcaap.pt/index.php/rca/article/view/16520","O presente trabalho objetivou avaliar o desempenho e produtividade do milho (Zea mays) em consórcio com leguminosas em sistema orgânico. O experimento foi conduzido no campo experimental da Universidade Estadual de Mato Grosso do Sul, num Argissolo Vermelho, de textura arenosa. O delineamento experimental adotado foi de blocos casualizados, com seis tratamentos e quatro repetições. Os tratamentos constaram dos seguintes arranjos: monocultivo de milho; milho consorciado com feijão-de-porco (Canavalia ensiformis); milho consorciado com crotalária (Crotalaria juncea); milho consorciado com mucuna-preta (Stylozobium aterrimum); milho consorciado com guandu-anão (Cajanus cajan) e milho consorciado com feijão caupi (Vigna unguiculata). As varáveis avaliadas foram: altura das plantas aos 60 dias após a semeadura do milho, inserção da espiga, tamanho de espiga, quantidade de fileiras e de grãos por espigas, massa de 100 grãos e a produtividade (kg ha‑1). Observou-se que os consórcios avaliados, quando semeados 30 dias após a semeadura da cultura principal, não afetaram o desempenho do milho safrinha, e, que o milho consorciado com Crotalária juncea alcançou maior produtividade em relação ao monocultivo de milho.","2019-01-12","2026-04-29 10:54:15","2026-04-29 10:54:15","2026-04-29 10:54:15","788-794 Páginas","","","","","","","","","","","Revista de Ciências Agrárias","","pt","","","","","DOI.org (Datacite)","","Artwork Size: 788-794 Páginas","<h2>SeriesInformation</h2> Revista de Ciências Agrárias, vol. 40 n.º 4 (2017)","C:\Users\andreasanchez\Zotero\storage\JZ49W6JE\Paz et al. - 2019 - Desempenho e produtividade do milho safrinha em consórcio com leguminosas em sistema orgânico.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZPMTRW5N","journalArticle","2005","Ciftci, Vahdettin; ., Necat Togay; ., Yesim Togay; ., Yusuf Dogan","The Effects of Intercropping Sowing Systems with Dry Bean and Maize on Yield and Some Yield Components","Journal of Agronomy","","18125379","10.3923/ja.2006.53.56","https://www.scialert.net/abstract/?doi=ja.2006.53.56","","2005-12-15","2026-04-29 10:55:59","2026-04-29 10:55:59","2026-04-29 10:55:59","53-56","","1","5","","J. of Agronomy","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NWD4FHJU","journalArticle","2002","Lima, Adelise De Almeida; Caldas, Ranulfo Corrêa; Borges, Ana Lúcia; Ritzinger, Cecília Helena Silvino Prata; Trindade, Aldo Vilar; Pires, Mônica De Moura; Midlej, Moema Maria Badoró Cartibani; Mata, Henrique Tomé Da Costa; Souza, José Da Silva","Cultivos intercalares e controle de plantas daninhas em plantios de maracujá-amarelo","Revista Brasileira de Fruticultura","","0100-2945","10.1590/S0100-29452002000300036","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452002000300036&lng=pt&tlng=pt","Objetivou-se identificar cultivos intercalares e métodos integrados de controle de plantas daninhas em maracujá-amarelo (Passiflora edulis Sims f. flavicarpa Deg.) como fatores que viabilizem a sua produção e rentabilidade. O experimento foi instalado em maio de 1999, conduzido em espaldeira vertical com um fio de arame a 2,0m do solo, no espaçamento de 2,5m x 5,0m, em blocos casualizados, com seis tratamentos e quatro repetições, sendo T1: milho (Zea mays L. - BR 106) como cultura intercalar; T2: feijão (Phaseolus vulgaris L. - cultivar Pérola) como cultura intercalar; T3: feijão-de-porco nas entrelinhas e capina com enxada nas linhas; T4: feijão-de-porco nas entrelinhas e controle químico nas linhas (glifosate a 1,5 kg/ha); T5: planta daninha controlada quimicamente (em toda a parcela com alachlor a 2,8 kg/ha + diuron a 1,2 kg/ha em pré-emergência e glifosate a 1,5 kg/ha em pós-emergência); e T6: testemunha (capina com enxada em área total). Os dados analisados, no período de produção (maio de 1999 a abril de 2000), mostraram que não houve diferenças estatísticas entre os tratamentos para produtividade (indústria), peso médio, comprimento e diâmetro dos frutos, sólidos solúveis totais e acidez. Contudo, houve significância para produtividade total e in natura, com destaque para a utilização do feijão como cultura intercalar, com produtividade do maracujazeiro de 12,82 t/ha. Tanto o milho como o feijão podem ser recomendados como culturas intercalares no primeiro ano de cultivo do maracujá-amarelo. Os herbicidas aplicados em pré e pós-emergência foram economicamente viáveis e não mostraram efeito tóxico sobre as plantas de maracujá-amarelo.           ,              This work aimed identifying crops for intercropping and integrated methods for weed control in yellow passion fruit (Passiflora edulis Sims f. flavicarpa Deg.) orchard, that will favor its production and profitability. The experiment was set up in May 1999, with the plants being conducted by a vertical support structure with one wire extended 2.0 m above the soil surface, and distributed in a spacing of 2.5 m x 5.0 m. The experimental design was in randomized blocks, with four replications and six treatments as follows: T1 - maize (Zea mays L. , cv. BR 106) as intercrop; T2 - bean (Phaseolus vulgaris L., cv. Pérola) as intercrop; T3 - pork bean (Canavalia ensiformis L.) in the interspace and hoeing in the plant lines; T4 - pork bean in the interspace and chemical weed control in the plant lines (glyphosate at 1.5 kg./ha); T5 - general chemical weed control (alachlor at 2.8 kg/ha + diuron at 1.2 kg/ha in pre-emergence and glyphosate at 1.5 kg/ha in post-emergence); T6 - control (general hoeing). Data obtained during the harvest period (May 1999 to April 2000) showed no statistical differences among treatments for yield (industry), fruit weight, length and diameter, total soluble solids and total titrable acidity. However, there was a statistical significance for total yield and yield for the fresh fruit market, with best results for bean as intercrop, giving a passion fruit yield of 12.82 t/ha. Both bean and maize should be recommended as intercrops during the first year of passion fruit cycle. The herbicides used both in pre- and post-emergence were economically viable and did not show toxic effects on the yellow passion fruit plants.","2002-12","2026-04-29 10:55:55","2026-04-29 10:55:55","2026-04-29 10:55:55","711-713","","3","24","","Rev. Bras. Frutic.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\NQMKPZA3\Lima et al. - 2002 - Cultivos intercalares e controle de plantas daninhas em plantios de maracujá-amarelo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WBCN4CSL","journalArticle","2002","Spagnollo, E.; Bayer, C.; Wildner, L. P.; Ernani, P. R.; Albuquerque, J. A.; Proença, M. M.","Leguminosas estivais intercalares como fonte de nitrogênio para o milho, no sul do Brasil","Revista Brasileira de Ciência do Solo","","0100-0683","10.1590/S0100-06832002000200015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832002000200015&lng=pt&tlng=pt","O uso de leguminosas para cobertura do solo e suprimento de N é uma técnica importante na conservação do solo e redução dos custos em fertilizantes minerais. No sul do Brasil, o enfoque principal da pesquisa tem sido sobre espécies de ciclo hibernal. No presente estudo, avaliou-se o efeito do cultivo intercalar de quatro leguminosas estivais [feijão-de-porco (Canavalia ensiformis ), guandu anão (Cajanus cajan), mucuna cinza (Stizolobium niveum ) e soja preta (Glycine sp.)] no fornecimento de N e rendimento de grãos do milho, em três doses de N mineral (0, 60 e 120 kg ha-1), em comparação a um tratamento-testemunha, sem leguminosa. Dois experimentos foram realizados, em sistema de preparo mínimo-PM (1993 a 1997), com abertura de sulcos para semeadura do milho feita com arado de tração animal, e em sistema de preparo convencional-PC (1994 a 1997), com aração e duas gradagens na primavera-verão, num Latossolo Vermelho distroférrico, em Chapecó (SC). Na média das safras, a produção de matéria seca das leguminosas estivais variou de 1,26 a 5,48 Mg ha-1, e o N na fitomassa da parte aérea, de 31 a 132 kg ha-1. Em comparação ao tratamento-testemunha, sem N mineral, as leguminosas aumentaram o rendimento do milho em 17 a 93 % (423 a 2.256 kg ha-1), no PC, e em 12 a 43 % (281 a 1.030 kg ha-1), no PM, sendo estes incrementos equivalentes à aplicação de 12 a > 120 kg ha-1 de N mineral no PC e de 50 a 86 kg ha-1 de N mineral no PM. Portanto, o cultivo intercalar de leguminosas estivais, além de proteger o solo, representa uma técnica promissora no forneci-mento de N e aumento de rendimento do milho, recomendada principalmente para pequenas propriedades rurais, onde a colheita do milho é manual.           ,              The use of legume cover crops contributes to soil conservation and would be an economical N source to maize. Since only winter legumes were evaluated in southern Brazil, this study was carried out to assess the effect of four intercropped summer species (Canavalia ensiformis, Cajanus cajan, Stizolobium niveum and Glycine sp.) on N supply and maize yield increase, in comparison with a control treatment, without legume cover crops. Cropping system effects on maize crop were evaluated under three mineral N rates (0, 60 and 120 kg ha-1), in two individual long-term trials, under reduced tillage (RT) or conventional tillage (CT), from 1993 to 1998. Both experiments were conducted on a Hapludox in the northwest of Santa Catarina State. Averaged across years, dry matter yield of legume species varied from 1.26 to 5.48 Mg ha-1, and N in aboveground phytomass from 31 to 132 kg ha-1. In comparison with the control treatment, without cover crops and mineral N, the legumes increased maize yield in a magnitude that ranged from 17 to 93 % (423 to 2256 kg ha-1) on CT, and from 12 to 43 % (281 to 1031 kg ha-1) on RT, and these increments were equivalent to those promoted by amounts of mineral N varying from 12 to > 120 kg ha-1 under CT, and from 50 to 86 kg ha-1, under RT. Besides protecting the soil, cultivation of summer legumes in a maize-legume intercrop enhances N availability and maize yield in the following season. Thus, it is an alternative N source, especially for small farms where maize is manually harvested.","2002-06","2026-04-29 10:55:48","2026-04-29 10:55:48","2026-04-29 10:55:48","417-423","","2","26","","Rev. Bras. Ciênc. Solo","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\4BGMUPJL\Spagnollo et al. - 2002 - Leguminosas estivais intercalares como fonte de nitrogênio para o milho, no sul do Brasil.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2ZAXFK7","journalArticle","2004","Alves, Sandra Maria Campos; Abboud, Antonio Carlos De Souza; Ribeiro, Raul De Lucena Duarte; Almeida, Dejair Lopes De","Balanço do nitrogênio e fósforo em solo com cultivo orgânico de hortaliças após a incorporação de biomassa de guandu","Pesquisa Agropecuária Brasileira","","0100-204X","10.1590/S0100-204X2004001100009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004001100009&lng=pt&tlng=pt","Os objetivos deste trabalho foram avaliar os efeitos de faixas de guandu (Cajanus cajan) e da incorporação da biomassa proveniente de sua poda na fertilidade do solo e na produtividade de três hortaliças sob cultivo orgânico. O delineamento usado foi de blocos casualizados completos em esquema de parcelas subsubdivididas com três repetições. As produtividades de beterraba, cenoura e feijão-de-vagem não foram afetadas pelos tratamentos. Nas parcelas onde não houve incorporação da biomassa de guandu, o balanço de nitrogênio no sistema foi negativo, ao passo que com a incorporação, esse balanço foi positivo. Embora tenha ocorrido balanço positivo para o fósforo nas parcelas sem a incorporação de biomassa de guandu, houve um aumento significativo na absorção desse elemento pelas hortaliças quando o material foi incorporado. O sistema de cultivo em aléias de guandu pode representar uma prática vantajosa para os produtores orgânicos, por contribuir na manutenção da fertilidade do solo.           ,              The objectives of this study were to evaluate the efficiency of pigeonpea (Cajanus cajan) biomass incorporation to the soil as well as the effect of presence or absence of pigeonpea hedgerows on soil fertility and productivity of three vegetables, beet, carrot and dwarf green bean. Samples were randomly taken in a block design with three replications for each crop. In the field, no other fertilization treatment was applied. In plots without biomass incorporation, nitrogen showed negative balance, whereas in the field with biomass incorporation a high positive N-balance was found. Concerning phosphorus, positive balances were determined in plots without biomass incorporation, however, the uptake of P increased significantly after biomass incorporation in all crops used. The results indicate that pigeonpea alley cropping system may represent an advantageous option for organic farmers to maintain or to improve soil fertility.","2004-11","2026-04-29 10:55:41","2026-04-29 10:55:41","2026-04-29 10:55:41","1111-1117","","11","39","","Pesq. agropec. bras.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\JMCJGLAV\Alves et al. - 2004 - Balanço do nitrogênio e fósforo em solo com cultivo orgânico de hortaliças após a incorporação de bi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RJ2MMQ3L","journalArticle","2004","Castro, Cristina Maria De; Alves, Bruno José Rodrigues; Almeida, Dejair Lopes De; Ribeiro, Raul De Lucena Duarte","Adubação verde como fonte de nitrogênio para a cultura da berinjela em sistema orgânico","Pesquisa Agropecuária Brasileira","","0100-204X","10.1590/S0100-204X2004000800008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004000800008&lng=pt&tlng=pt","O objetivo deste trabalho foi quantificar a fixação biológica de nitrogênio (FBN) por adubos verdes em pré-cultivo e consorciados com berinjela em sistema orgânico, a utilização do N pela berinjela, e o impacto da adubação verde na produtividade de berinjela e no balanço de N do solo. Parcelas com crotalária, milheto e vegetação espontânea foram estabelecidas antes do plantio da berinjela. Após 60 dias, a FBN respondia por 53% do N da crotalária. Como grande porcentagem da vegetação espontânea correspondia a uma leguminosa, um total de 48 kg/ha de N acumulados nessas parcelas originaram-se da FBN. Os pré-cultivos foram roçados para o plantio direto da berinjela, exceto metade das parcelas com vegetação espontânea, que foi incorporada ao solo. Plantou-se a berinjela em consórcio com crotalária e caupi, e de forma ""solteira"". Aos 52 dias, as leguminosas foram cortadas e deixadas nas entrelinhas de berinjela. A FBN para as leguminosas consorciadas variou com os pré-cultivos, situando-se entre 20% e 90% do N acumulado na planta. Com a técnica de 15N constatou-se que a berinjela se beneficiou do N da adubação verde em pré-cultivo e consórcio. Embora sem efeito sobre a produtividade da berinjela, a FBN nas leguminosas foi suficiente para repor todo o N retirado do sistema através dos frutos.           ,              The objective of this work was to quantify biological nitrogen fixation (BNF) for green manures pre-cropped and intercropped with eggplant in an organic cropping system, the use of N from BNF by the eggplant crop, and the impact of green manuring on eggplant yield and soil N balance. Plots with sunnhemp, millet and spontaneous weeds were established before eggplant planting. After 60 days, 53% of sunnhemp N came from BNF. Since a high percentage of the spontaneous weed plots has corresponded to a legume specie, a total of 48 kg N/ha were derived from BNF. Green manure in pre-cropping was cut to planting eggplants under no-till, exception made to half of the plot under spontaneous weeds that was incorporated into the soil. The eggplant was either intercropped with sunnhemp and cowpea or cropped alone. At 52 days, the legumes were cut and left close to the eggplant. The BNF contribution to the legumes depended on the pre-cropped species and varied between 20% and 90%. Using the 15N technique, it was verified that eggplants benefited from the N of the green manure in pre-cropping or intercropping. Although without effect on eggplant yield, the BNF in the legumes was enough to compensate for the exported N in the harvested fruits.","2004-08","2026-04-29 10:55:32","2026-04-29 10:55:32","2026-04-29 10:55:32","779-785","","8","39","","Pesq. agropec. bras.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\PESEGYQY\Castro et al. - 2004 - Adubação verde como fonte de nitrogênio para a cultura da berinjela em sistema orgânico.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BPR46AFN","journalArticle","2005","Oliveira, Fábio Luiz De; Ribas, Rodolfo Gustavo T.; Junqueira, Rodrigo M.; Padovan, Milton P.; Guerra, José Guilherme M.; Almeida, Dejair L. De; Ribeiro, Raul De L.Duarte","Desempenho do consórcio entre repolho e rabanete com pré-cultivo de crotalária, sob manejo orgânico","Horticultura Brasileira","","0102-0536","10.1590/S0102-05362005000200004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-05362005000200004&lng=pt&tlng=pt","Foram conduzidos dois experimentos no Sistema Integrado de Produção Agroecológica, em Seropédica, (RJ), durante dois anos consecutivos. O objetivo foi avaliar o desempenho do consórcio entre as culturas de repolho e rabanete com pré-cultivo de crotalária, sob manejo orgânico. Usou-se delineamento experimental de blocos ao acaso com sete repetições, em parcelas subdivididas, representando um fatorial 2 x 3, sendo o primeiro fator o pré-cultivo, com Crotalaria juncea e pousio (vegetação espontânea); e o segundo fator o sistema de cultivo (consórcio entre repolho e rabanete e os respectivos monocultivos). Não houve diferença significativa no tocante à produtividade do repolho ou rabanete, entre C. juncea e pousio, independentemente do tipo de manejo (monocultivos ou consórcio). O desenvolvimento do repolho não foi influenciado pela presença do rabanete, no consórcio entre essas espécies sob cultivo orgânico. O rabanete sob consórcio apresentou redução no diâmetro médio, massa média e produtividade de raízes, sem, contudo, desqualificar o padrão comercial das raízes colhidas. Considerando a média dos dois anos experimentais, o IEA atingiu 1,59, o que indicou a viabilidade do consórcio, otimizando práticas culturais, incluindo adubação, capina e irrigação.           ,              Field experiments were carried out during two consecutive years in the Integrated Agroecological Production System, in Rio de Janeiro State, Brazil, to evaluate the performance of cabbageradish intercropping under organic management on the basis of agronomic traits and Area Equivalency Index (AEI). The contribution of green manure pre-planting to the system also was evaluated. A randomized complete blocks design with seven replicates in a 2x3 split-plot factorial scheme was used. Treatments in the main plots consisted of Crotalaria juncea pre-planting or fallow. Cabbage or radish single crops and the respective intercropping were distributed in the subplots. No significant differences were detected between C. juncea and fallow as related to cabbage or radish yields in any of the systems used (single crops and intercropping). Intercropping had no effect on cabbage yield, but significantly reduced radish root yield. However, commercial standard of the harvested radish roots was not affected. An average AEI of 1,59 for the two experimental years was attained, thus indicating the viability of the cabbage-radish intercropping. The system makes possible to afford additional income for a given area cultivated with cabbage, at its conventional single-crop spacing, by including radish as a secondary crop. Intercropping also was advantageous by allowing optimization of cultural practices such as fertilization, weeding, and irrigation.","2005-06","2026-04-29 10:55:24","2026-04-29 10:55:24","2026-04-29 10:55:24","184-188","","2","23","","Hortic. Bras.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\CHG8RE5P\Oliveira et al. - 2005 - Desempenho do consórcio entre repolho e rabanete com pré-cultivo de crotalária, sob manejo orgânico.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4XNBRATV","journalArticle","2006","Morais, Heverly; Caramori, Paulo Henrique; Ribeiro, Ana Maria De Arruda; Gomes, José Carlos; Koguishi, Mirian Sei","Microclimatic characterization and productivity of coffee plants grown under shade of pigeon pea in Southern Brazil","Pesquisa Agropecuária Brasileira","","0100-204X","10.1590/S0100-204X2006000500007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2006000500007&lng=en&tlng=en","Recent studies on coffee (Coffea arabica L.) cultivation in agroforestry systems in Southern Brazil have shown the potential of partial shading to improve management of this crop. The objective of this work was to evaluate microclimatic conditions and their effects on coffee production of plants shaded with pigeon pea (Cajanus cajan) in comparison to unshaded ones, from May 2001 to August 2002 in Londrina, State of Paraná, Brazil. The appraised microclimatic characteristics were: global radiation, photosynthetic and radiation balance; air, leaf and soil temperatures; and soil humidity. Shading caused significant reduction in incident global solar radiation, photosynthetically active radiation and net radiation, and attenuated maximum leaf, air and soil temperatures, during the day. Shade also reduced the rate of cooling of night air and leaf temperatures, especially during nights with radiative frost. Soil moisture at 0-10 cm depth was higher under shade. The shaded coffee plants produced larger cherries due to slower maturation, resulting in larger bean size. Nevertheless, plants under shade emitted less plagiotropic branches, with smaller number of nodes per branch, and fewer nodes with fruits, resulting in a large reduction in coffee production. These results show the need to find an optimal tree density and management that do not compromise coffee production and protect against extreme temperatures.           ,              Recentes estudos sobre cafeeiros (Coffea arabica L.) cultivados em sistemas agroflorestais no Sul do Brasil têm mostrado o potencial do sombreamento parcial no manejo desta cultura. O objectivo deste trabalho foi avaliar as condições do microclima e seus efeitos na produção de café sombreado com guandu (Cajanus cajan), em comparação ao cultivado a pleno sol, no período de maio de 2001 a agosto de 2002 em Londrina, PR. As características microclimáticas avaliadas foram: radiação global, fotossintética e saldo de radiação; temperaturas do ar, da folha e do solo; e umidade do solo. O sombreamento causou significativa redução na radiação solar global incidente, na radiação fotossinteticamente ativa e na radiação líquida, e atenuou as temperaturas máximas foliar, do ar e do solo, durante o dia. O sombreamento também evitou o declínio acentuado, durante a noite, das temperaturas do ar e da folha, especialmente durante noites com geadas de radiação. Os valores de umidade do solo, na camada 0-10 cm de profundidade, foram maiores nos cafeeiros sombreados. As plantas sombreadas produzem frutos maiores em virtude da maturação mais lenta, entretanto, emitem menos ramos plagiotrópicos, com menor número de nós por ramo e poucos nós com frutos, o que resulta na redução da produção de café. Estes resultados evidenciam a necessidade de se definir uma densidade ótima de sombreamento, que não comprometa a produção e proteja contra as temperaturas extremas.","2006-05","2026-04-29 10:55:14","2026-04-29 10:55:14","2026-04-29 10:55:14","763-770","","5","41","","Pesq. agropec. bras.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\ZRXARNSM\Morais et al. - 2006 - Microclimatic characterization and productivity of coffee plants grown under shade of pigeon pea in.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
