pillar,subpillar,indicator,subindicator,subindicator_short,subindicator_definition,subindicator_details,notes,Example units,Negative Values,Sign,TC.Ratio,Not.Perc,Depreciated,Previous.Names,source,effect_size_type,effect_size_ref,effect_size_logic,effect_size_logic_ref
Resilience,Biodiversity,Community Trait,Abundance weighted mean CWM,CWM,"Community-weighted mean (CWM) of a functional trait, calculated as the average trait value across species in a community weighted by each species' relative abundance. Captures the dominant functional expression of a community.","Calculated as CWM = Σ(pi · ti), where pi = relative abundance of species i and ti = trait value of species i. Units depend on the trait being weighted (e.g., g for seed mass, m for plant height).",NA,"trait-dependent units (e.g., g, cm, m)",N,p,N,N,FALSE,NA,Jones et al 2022,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Diversity Index,Effective number of species,Effective Spp,Represents the number of equally abundant species that would produce the same diversity value.,Calculated as exp(H') for Shannon index. Values represent equivalent species counts under perfect evenness.,NA,index value; exp(H'),N,p,N,Y,FALSE,NA,BioFINCAS,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Diversity Index,Fisher Alpha,Fisher α,"Fisher's alpha (α), a parametric diversity index based on the log-series distribution of species abundances. Relatively independent of sample size and widely used in tropical community ecology.","Calculated by solving S = α·ln(1 + N/α), where S = number of species and N = number of individuals. Higher α indicates greater diversity.",NA,index value; α,N,p,N,Y,FALSE,NA,Jones et al 2022,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Diversity Index,Margalef Index,Margalef,"Margalef's diversity index (d), which standardises observed species richness by the logarithm of total abundance. Intended to account for the effect of sample size on richness comparisons.","Calculated as d = (S - 1) / ln(N), where S = observed species count and N = total number of individuals. Higher values indicate greater diversity per unit of sampled abundance.",NA,index value; d,N,p,N,Y,FALSE,NA,Jones et al 2022,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Diversity Index,Shannon Index,Shannon,The Shannon index of diversity. Synonym for the Shannon-Wiener Index (subindicator code 350).,Retained for legacy compatibility. New extractions should use subindicator 'Shannon-Wiener Index' (code 350).,NA,index value; H',N,p,N,Y,TRUE,Shannon Index,Jones et al 2022,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Diversity Index,Shannon-Wiener Index,Shannon H,"The Shannon-Wiener (or Shannon-Weaver) diversity index (H'), an information-theoretic measure combining species richness and evenness. Higher values indicate greater diversity.","Calculated as H' = -Σ(pi · ln(pi)), where pi = relative abundance of species i. Typically bounded between 0 and ~5 in natural communities; sensitive to both richness and evenness.",NA,index value; H' (typically 0-5),N,p,N,Y,FALSE,NA,Jones et al 2022,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Diversity Index,Simpson Index,Simpson,"Generic Simpson index of diversity. Ambiguous naming: may refer to Simpson's D (dominance), 1-D (diversity), or 1/D (reciprocal). When reported without qualification, this row is used; for precise formulations see codes 326 (1/D) and 327 (1-D).",Authors often report 'Simpson Index' without specifying the formulation. Extractors should check context (values near 1 = likely 1-D; values up to ~10+ = likely 1/D; values near 0 = likely D).,NA,index value; D or 1-D or 1/D,N,p,N,Y,TRUE,Simpson Index,Jones et al 2022,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Diversity Index,Simpson's dominance index,Simpson Dom,"Simpson's dominance index calculated as (1 - D), where D is the sum of squared proportional abundances. Measures the probability that two randomly selected individuals belong to different species.",Calculated as 1 - D where D = sum(pi^2). Ranges from 0 (single species) to approaching 1 (high diversity). A non-linear transformation related to Simpson's reciprocal (Hill number q=2).,NA,index value; 1-D,N,p,N,Y,FALSE,NA,Jones et al 2022,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Diversity Index,Simpson's reciprocal index,Simpson Recip,measuring the effective number of species weighted by dominance. Higher values indicate greater diversity and lower dominance by any single species.,Calculated as 1/D where D = sum of squared proportional abundances.,NA,index value; 1/D,N,p,N,Y,FALSE,NA,BioFINCAS,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Diversity Index,Taxonomic diversity,Taxon Div,"Diversity measured at taxonomic levels above species, such as genus or family richness. Captures broader phylogenetic representation in a community",Useful when species-level identification is not possible or when higher-level diversity patterns are of interest.,NA,N genera; N families,N,p,N,Y,FALSE,NA,BioFINCAS,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Ecosystem Function,Area under disease progress curve (AUDPC),AUDPC,The integrated area under a curve of disease severity plotted against time. Summarises the cumulative disease pressure over a growing season or epidemic period.,"Calculated as AUDPC = Σ[(yi + yi+1)/2 · (ti+1 − ti)], where yi = disease severity at time ti. Higher AUDPC indicates greater cumulative disease damage.",NA,%-days; severity × time,N,p,N,Y,FALSE,NA,Jones et al 2022,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Ecosystem Function,Soil respiration,Soil Resp,"The rate of CO2 efflux from the soil surface, reflecting the metabolic activity of soil organisms and root respiration. Used as a proxy for overall soil biological activity.",Measured as CO2 evolution under controlled laboratory or field conditions.,NA,mg CO2/kg/day; mg C/kg/d,N,p,N,Y,FALSE,NA,BioFINCAS,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Evenness Index,Pielou Index,Pielou J,"Pielou's evenness index (J'), a measure of how evenly individuals are distributed among species in a community, independent of species richness. Values range from 0 (one species dominates) to 1 (all species equally abundant). Examples include: Pielou's evenness index (J'), equitability index.",Calculated as J' = H'/ln(S) where H' = Shannon index and S = species richness. A pure evenness measure decoupled from richness (Pielou 1966). Chao & Ricotta (2019) provide a modern evenness framework linked to Hill numbers.,NA,index value; J' (0-1),N,p,N,N,FALSE,NA,Jones et al 2022,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Evenness Index,Shannon Evenness Index,Shannon E,"An evenness measure derived from the Shannon index, expressing how close observed Shannon diversity is to the maximum possible for a given number of species. Equivalent to Pielou's J'.","Calculated as E = H' / ln(S), where H' = Shannon index and S = species richness. Ranges from 0 (complete dominance) to 1 (perfect evenness).",NA,index value; E (0-1),N,p,N,N,FALSE,Shannon Eveness Index,Jones et al 2022,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Evenness Index,Species Evenness,Species Even,"A general measure of how evenly individuals are distributed among the species in a community, independent of total richness. Distinct from Pielou's J' in that it can refer to any evenness formulation (e.g., E1/D, Heip's evenness, Shannon evenness).",Various formulations exist; most are bounded approximately 0-1. Low values indicate dominance by a few species; high values indicate equitable distribution.,NA,index value; 0-1,N,p,N,N,FALSE,NA,Jones et al 2022,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Organism Biomass,Microbial biomass,Microb Biomass,"The total mass of living microbial organisms in the soil, typically measured as microbial biomass carbon (MBC). Reflects the size of the soil microbial community",Usually measured by chloroform fumigation-extraction method.,NA,mg/kg; µg C/g soil,N,p,N,Y,FALSE,NA,BioFINCAS,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Richness,Species Richness,Species Rich,"The observed number of distinct species (or morphospecies) recorded in a defined area or sample. The most intuitive measure of biodiversity, but sensitive to sampling effort.","Raw count of species. For comparisons across sites with unequal sampling effort, rarefied or estimated richness (e.g., Chao1, Jackknife) should be used instead.",NA,species count; N species,N,p,N,Y,FALSE,NA,Jones et al 2022,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Richness Estimator,Bootstrap estimator,Bootstrap Est,A non-parametric species richness estimator that uses the proportion of samples containing each species to estimate total richness.,"Bootstrap = Sobs + sum(1 - pi)^n where pi = proportion of samples containing species i, n = number of samples.",NA,estimated species count,N,p,N,Y,FALSE,NA,BioFINCAS,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Richness Estimator,Chao1 Index,Chao1,An abundance-based non-parametric estimator of species richness that accounts for undetected species using the frequency of rare species (singletons and doubletons) in a sample.,"Chao1 = Sobs + (f1^2 / 2*f2) where Sobs = observed species, f1 = singletons, f2 = doubletons.",NA,estimated species count,N,p,N,Y,FALSE,NA,BioFINCAS,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Richness Estimator,Chao2 Estimator,Chao2,An incidence-based non-parametric estimator of species richness using presence/absence data across multiple samples. Accounts for undetected species based on the frequency of unique and duplicate detections.,"Chao2 = Sobs + (q1^2 / 2*q2) where q1 = uniques, q2 = duplicates across samples.",NA,estimated species count,N,p,N,Y,FALSE,NA,BioFINCAS,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Richness Estimator,Jack-knife Species Richness,Jackknife SR,A non-parametric estimator of total species richness that corrects the observed count using the number of species found in only one sample (uniques) or one/two individuals (singletons/doubletons).,"First-order: Jack1 = Sobs + q1·(n-1)/n, where q1 = uniques and n = number of samples. Second-order jackknife incorporates doubletons. Reduces underestimation bias in incompletely sampled communities.",NA,estimated species count,N,p,N,Y,FALSE,NA,Jones et al 2022,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Richness Estimator,Rarefied Species Richness,Rarefied SR,Species richness estimated by rarefaction: the expected number of species that would be observed if all samples were standardised to the same (smaller) sampling effort or abundance. Removes the confounding effect of unequal sampling.,Calculated using the Hurlbert/Sanders rarefaction formula. Enables fair comparisons of richness across sites with different sample sizes. Distinct from extrapolation-based estimators like Chao1.,NA,expected species count,N,p,N,Y,FALSE,Rareified Species Richness,Jones et al 2022,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Dominance index,Berger-Parker dominance (d),NA,Berger-Parker dominance (d) is one of the simplest diversity/dominance indices used in community ecology. It's defined as: d = N_max / N_total Where: N_max = the number of individuals (or abundance) of the single most abundant species in the sample N_total = the total number of individuals across all species in the sample So it's just the proportional abundance of the single dominant (most common) species in the community.,NA,NA,NA,N,p,NA,NA,NA,NA,NA,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,Similarity Index,Jaccard Similarity Index,Jaccard,"Jaccard's coefficient of community similarity, a beta-diversity metric that quantifies the proportion of shared species between two communities relative to the total number of unique species across both.","Calculated as J = a / (a + b + c), where a = shared species, b = species unique to community 1, c = species unique to community 2. Ranges from 0 (no shared species) to 1 (identical composition).",NA,index value; 0-1,N,p,N,N,FALSE,NA,Jones et al 2022,Log Response Ratio,NA,NA,NA
Resilience,Biodiversity,NA,Relative activity,NA,"Based on how the term is used in this paper (and consistent with standard usage in bat acoustic monitoring literature), here's a definition: Relative Activity Relative activity is a proxy measure of how much a species (or group) is using a given habitat or site, calculated as the rate of recorded echolocation call passes (or feeding buzzes) per unit of monitoring effort",NA,NA,NA,N,p,N,N,FALSE,NA,NA,Log Response Ratio,NA,NA,NA
Resilience,Efficiency,Efficiency,Depreciated - Water Use (Irrigation),NA,Water used to produce crops from irrigation only.,NA,NA,m3/ha; mm; mm/ha,N,n,N,(Y),TRUE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Depreciated - Water Use (Unspecified),NA,"Water used to produce crops, irrigation is present but it is unclear if water use includes rainfall or not.",NA,NA,m3/ha; mm; mm/ha,N,n,N,(Y),TRUE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Depreciated -Water Use (Rain & Irrigation),NA,Total water used to produce crops from irrigation & rainfall.,NA,NA,m3/ha; mm; mm/ha,N,n,N,(Y),TRUE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Energy Use Efficiency,NA,Product produced or economic yield per unit of energy,NA,NA,g/MJ;,NA,NA,NA,NA,NA,NA,AS,Log Response Ratio,NA,NA,NA
Resilience,Efficiency,Efficiency,Feed Conversion Ratio (In Out),FCR (In Out),Ratio of Feed Given to Weight Gained.,NA,"This outcome relates to animal feed experiments. It is a ratio whose value should be greater than 1 (although some aquatic experiment may yield slightly <1 if there are other food resources available in the water, like algae). Units can be absent as the outcome is a ratio.",g/g; kg/kg,Y,n,N,Y,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Feed Conversion Ratio (Out In),FCR (Out In),Ratio of Weight Gained to Feed Given.,NA,"This outcome relates to animal feed experiments. This is a ratio whose value should be less than 1 (although some aquatic experiment may yield slightly >1 if there are other food resources available in the water, like algae). Units can be absent as the outcome is a ratio.",g/g; kg/kg,Y,p,N,Y,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Nitrogen (Apparent Efficiency Animals Feed),Nitrogen (AE Animals),Animal Products Only. Integration of N into production. Formula = N.retained/N.supplied.,NA,"Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",%; g/g; g/kg,N,p,N,N,FALSE,Nitrogen (Apparent Efficiency),ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Nitrogen Agronomic Efficiency,N AE (Prod),"The yield change in the crop product component (e.g. grain) of the treatment compared to the control, per unit of nitrogen input. Formula = (Yt -Yc)/N. Also called Agronomic Effectiveness.",NA,"Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg/kg,Y,p,Y,Y,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Nitrogen Agronomic Efficiency (AGB),N AE (AGB),"The yield change in aboveground biomass (the whole plant, grain + biomass) of the treatment compared to the control, per unit of nitrogen input. Formula = (Yt -Yc)/N. Also called Agronomic Effectiveness.",NA,"Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg/kg,Y,p,Y,Y,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Nitrogen Factor Productivity,N TFP,Crop yield divided by amount of nitrogen applied (Yield/N).,NA,"Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg grain/kg N,N,p,N,Y,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Nitrogen Use Efficiency (ARE AGB),NUE (ARE AGB),"Apparent N recovery efficiency in crop above ground biomass (the whole plant, grain + biomass). Formula for a zero N control = (N.treatment - N.control)/N input, otherwise Formula = (N.Out.trt - N.Out.cont)/(N.In.trt - N.In.Cont).",NA,Outcome is a ratio. The control is often a zero N treatment where no nitrogen fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,Y,p,Y,N,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Nitrogen Use Efficiency (ARE Product),NUE (ARE Prod),"Apparent N recovery efficiency in crop product component (e.g. grain). Formula for a zero N control = (N.treatment - N.control)/N input, otherwise Formula = (N.Out.trt - N.Out.cont)/(N.In.trt - N.In.Cont).",NA,Outcome is a ratio. The control is often a zero N treatment where no nitrogen fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,Y,p,Y,N,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Nitrogen Use Efficiency (ARE Unspecificed),NUE (ARE Unsp.),"Apparent N recovery efficiency. Use this code if it is unclear whether above-ground biomass or a sub-component (e.g. grain) was used in calculations. Formula for a zero N control = (N.trt - N.cont)/N input, otherwise Formula = (N.Out.trt - N.Out.cont)/(N.Input.trt - N.Input.Cont).",NA,Outcome is a ratio. The control is often a zero N treatment where no nitrogen fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,Y,p,Y,Y,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Nitrogen Use Efficiency (Isotopic AGB),NUE (Iso AGB),"Nitrogen use efficiency of aboveground biomass (the whole plant, grain + biomass) measured using nitrogen-15 stable isotope methods. Formula =15N/N.input.",NA,"Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",%; g/g; g/kg,N,p,N,N,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Nitrogen Use Efficiency (Isotopic Product),NUE (Iso Prod),"Nitrogen use efficiency of a crop product component (e.g., grain) measured using nitrogen-15 stable isotope methods. Formula =15N/N.input. The product component of the crop is used (e.g., grain).",NA,"Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",%; g/g; g/kg,N,p,N,N,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Nitrogen Use Efficiency (PNB AGB),NUE (PNB AGB),"Partial nitrogen balance for crop aboveground biomass (the whole plant, grain + biomass). Formula = N.AGB/N.input.",NA,"Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg/kg,N,p,N,Y,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Nitrogen Use Efficiency (PNB Product),NUE (PNB Prod),"Partial nitrogen balance of a crop product component (e.g., grain). Formula = N.product/N.input.",NA,"Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",%; g/g; g/kg,N,p,N,N,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Phosphorus Agronomic Efficiency,P AE (Prod),"The yield change in the crop product component (e.g. grain) of the treatment compared to the control, per unit of phosphorous input. Formula = (Yt -Yc)/P. Also called Agronomic Effectiveness.",NA,"Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg/kg,Y,p,Y,Y,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Phosphorus Factor Productivity,P TFP,Crop yield divided by amount of phosphorous applied (Yield/P input).,NA,"Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg grain/kg P,N,p,N,Y,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Phosphorus Use Efficiency (ARE AGB),PUE (ARE AGB),"Apparent P recovery efficiency in crop above ground biomass (the whole plant, grain + biomass). Formula for a zero P control = (P.trt - P.cont)/P input, otherwise Formula = (P.Out.trt - P.Out.cont)/(P.Input.trt - P.Input.Cont).",NA,Units can be absent as the outcome is a ratio. The control is often a zero P treatment where no P fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,Y,p,Y,Y,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Phosphorus Use Efficiency (ARE Product),PUE (ARE Prod),"Apparent P recovery efficiency in crop product component (e.g. grain). Formula = (P.treatment - P.control)/P input. Formula for a zero P control = (P.trt - P.cont)/P input, otherwise Formula = (P.Out.trt - P.Out.cont)/(P.Input.trt - P.Input.Cont).",NA,Units can be absent as the outcome is a ratio. The control is often a zero P treatment where no P fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,Y,p,Y,Y,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Phosphorus Use Efficiency (ARE Unspecified),PUE (ARE Unsp.),"Apparent P recovery efficiency. Use this code if it is unclear whether above-ground biomass or a sub-component (e.g. grain) was used in calculations. Formula for a zero P control = (P.trt - P.cont)/P input, otherwise Formula = (P.Out.trt - P.Out.cont)/(P.Input.trt - P.Input.Cont).",NA,Units can be absent as the outcome is a ratio. The control is often a zero P treatment where no P fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,N,p,Y,Y,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Potassium Agronomic Efficiency,K AE (Prod),"The yield change in the crop product component (e.g. grain) of the treatment compared to the control, per unit of potassium input. Formula = (Yt -Yc)/K. Also called Agronomic Effectiveness.",NA,"Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg/kg,Y,p,Y,Y,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Potassium Factor Productivity,K TFP,Crop yield divided by amount of potassium applied (Yield/K input).,NA,"Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg grain/kg K,N,p,N,Y,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Potassium Use Efficiency (ARE AGB),KUE (ARE AGB),"Apparent K recovery efficiency in crop above ground biomass (the whole plant, grain + biomass). Formula for a zero K control = (K.trt - K.cont)/K input, otherwise Formula = (K.Out.trt - K.Out.cont)/(K.Input.trt - K.Input.Cont).",NA,Units can be absent as the outcome is a ratio. The control is often a zero K treatment where no K fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,Y,p,Y,Y,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Potassium Use Efficiency (ARE Product),KUE (ARE Prod),"Apparent K recovery efficiency in crop product component (e.g. grain). Formula for a zero K control = (K.trt - K.cont)/K input, otherwise Formula = (K.Out.trt - K.Out.cont)/(K.Input.trt - K.Input.Cont).",NA,Units can be absent as the outcome is a ratio. The control is often a zero K treatment where no K fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,Y,p,Y,Y,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Potassium Use Efficiency (ARE Unspecified),KUE (ARE Unsp.),"Apparent K recovery efficiency. Use this code if it is unclear whether above-ground biomass or a sub-component (e.g. grain) was used in calculations. Formula for a zero K control = (K.trt - K.cont)/K input, otherwise Formula = (K.Out.trt - K.Out.cont)/(K.Input.trt - K.Input.Cont).",NA,Units can be absent as the outcome is a ratio. The control is often a zero K treatment where no K fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,N,p,Y,Y,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Protein Conversion Ratio (In Out),PCR (In Out),"Ratio of Protein Given to Weight Gained, this is a ratio whose value should be greater than 1 (although some aquatic experiment may yield slightly <1 if there are other food resources available in the water, like algae).",NA,"This outcome relates to animal feed experiments. It is a ratio whose value should be greater than 1 (although some aquatic experiment may yield slightly <1 if there are other food resources available in the water, like algae). Units can be absent as the outcome is a ratio.",g/g; kg/kg,Y,n,N,Y,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Protein Conversion Ratio (Out In),PCR (Out In),"Ratio of Weight Gained to Protein Given, this is a ratio whose value should be less than 1 (although some aquatic experiment may yield slightly >1 if there are other food resources available in the water, like algae).",NA,"This outcome relates to animal feed experiments. It is a ratio whose value should be less than 1 (although some aquatic experiment may yield slightly >1 if there are other food resources available in the water, like algae). Units can be absent as the outcome is a ratio.",g/g; kg/kg,Y,p,N,Y,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Efficiency,Efficiency,Total Factor Productivity,TFP,"Weight of output (kg) per quantity of input (kg). Can be any input (other than N, P or K individually) and any output.",NA,"Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg/kg,N,p,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,NA,NA
Resilience,Efficiency,Efficiency,Water Use,WU,Water used per area to produce crops.,NA,"Use the units to note any complexities, in particular if the water use is only referring to irrigation water being used in irrgation experiments.",m3/ha; mm; mm/ha,N,n,N,(Y),FALSE,NA,ERA,Log Response Ratio,NA,NA,NA
Resilience,Efficiency,Efficiency,Water Use Efficiency,WUE,Product produced or economic yield per unit water (includes rainfall).,NA,NA,kg/ha/mm; kg/mm; kg/m3,N,p,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,NA,NA
Resilience,Physical,Animal Survival,Animal Mortality,Animal Mortality,Animals that do not survive.,NA,NA,%; N,N,n,N,N,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Physical,Animal Survival,Animal Survival,Animal Survival,Animal offspring that survive to production.,NA,Do not use for plant survival.,%; N,N,p,N,N,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Physical,Biodiversity,Beneficial Organisms,Beneficial Org,"Species that provide benefits to crop production (i.e., species provide postive regulating ecosystem services). These can include pollinators (e.g., bees), arbuscular mycorrhizal fungi (AMF) colonisation of crop roots, earthworms or microrganisms involved in nutrient cycling or decomposition. Measures can include their abundance, taxonomic or functional diversity (include details in the Units column).",NA,NA,N; Taxonomic richness (S); Operational Taxonomic Units (OTUs) for microbes; etc,N,p,N,Y,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Physical,Biodiversity,Biodiversity,Biodiversity,"The species richness or diversity (such as the Shannon or Simpsons index) of a community of organisms within the experimental field. Whether the group of organsims is beneficial, neutral or detrimental to production should be unclear or mixed. One typically reported measure of biodiversity is microbial biomass.",NA,NA,N,N,p,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,NA,NA
Resilience,Physical,Pest & Pathogen,Pest & Pathogen (Losses),Pest Path (Loss),Amount of stored crop lost or degraded due to pest/disease.,NA,This outcome is for post-harvest storage of products where pests or diseases are damaging the product. It is helpful to record date of storage and sampling date/days after storage for this outcome. Note if absolute numbers are given then the amount of crop should be standardized between treatments.,% ; USD/ha; kg/ha,N,n,N,N,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Physical,Pest & Pathogen,Pest & Pathogen (Numbers),Pest Path (Num),The number or amount of pest or pathogen present in a stored product.,NA,"This outcome is for post-harvest storage of products where pests or diseases are damaging the product. It is helpful to record date of storage and sampling date/days after storage for this outcome. Do not use this outcome with change from baseline data, it should be the amount of pest or pathogen on the sampling date.",N; % grains infected,N,n,N,Y,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Physical,Pest & Pathogen,Pest & Pathogen (Product Weight),Pest Path (Prod),Amount of stored crop left after being stored for a period of time.,NA,This outcome is for post-harvest storage of products where pests or diseases are damaging the product. For this outcome it is helpful to record the date of storage and sampling date/days after this. Note if absolute numbers are given then the amount of crop stored should be standardized between treatments.,kg; %,N,p,N,N,FALSE,NA,ERA,NA,NA,NA,NA
Resilience,Physical,Soil Quality,Cation Exchange Capacity,CEC,Soil cation exchange capacity.,NA,Do not include % change data as compared to a baseline. Do not confuse with ECEC (effective CEC) or base saturation.,cmol/kg; cmolc/kg; meq/100g,N,p,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,NA,NA
Resilience,Physical,Soil Quality,Effective Cation Exchange Capacity,ECEC,Soil effective cation exchange capacity.,NA,Do not include % change data as compared to a baseline. Do not confuse with CEC or base saturation.,cmol/kg; cmolc/kg; meq/100g,N,p,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,NA,NA
Resilience,Physical,Soil Quality,Erosion,Erosion,Quantity or extent of soil movement due to water or wind.,NA,NA,Mg/ha; Mg/ha/year,N,n,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,NA,NA
Resilience,Physical,Soil Quality,Infiltration Rate,Infiltration,The rate of water movement into the soil.,NA,Units should be volume/time.,mm/hr; cm/hr,N,p,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,NA,NA
Resilience,Physical,Soil Quality,Runoff,Runoff,Quantity of water moving off site,NA,NA,mm; %; mm/year,N,n,N,N,FALSE,NA,ERA,Log Response Ratio,NA,NA,NA
Resilience,Physical,Soil Quality,Soil Available Nitrogen,Soil AN,Stock or concentration of nitrogen in the soil reported as available nitrogen (NO3 + NH4).,NA,Do not include % change data as compared to a baseline.,g/kg; kg/m3; mg/kg; %,N,p,N,N,FALSE,NA,ERA,Log Response Ratio,NA,NA,NA
Resilience,Physical,Soil Quality,Soil Available Potassium,NA,Stock or concentration of potasium in the soil,NA,Do not include % change data as compared to a baseline.,NA,NA,NA,NA,NA,NA,NA,NA,Log Response Ratio,NA,NA,NA
Resilience,Physical,Soil Quality,Soil Available Phosphorus,NA,Stock or concentration of phosphorus in the soil,NA,Do not include % change data as compared to a baseline.,NA,NA,NA,NA,NA,NA,NA,NA,Log Response Ratio,NA,NA,NA
Resilience,Physical,Soil Quality,Soil Moisture,Soil Moisture,Amount of water in the soil.,NA,"Do not include: water holding capacity, available water capacity, osmotic potential. Include pressure details in parenthesis after units if presented , e.g. % (0.3 bar). Do not include % change data as compared to a baseline.",%; mm; v/v; g/g,N,p,N,N,FALSE,NA,ERA,Log Response Ratio,NA,NA,NA
