combo_clean1,CT_crop_FAO_Food_Group_clean,diversification_spatial_temporal_theme,biomass_management_practice,nutrient_management_practice,soil_management_theme,water_management_practice,impact,agr_zone,n,neg,pos
Maize,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),NA,NA,NA,Labour,"Tropics, lowland; sub-humid, no soil/terrain limitations",3,0.6666666666666666,0.3333333333333333
Maize,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),NA,NA,NA,Product Yield,"Tropics, lowland; semi-arid, no soil/terrain limitations",2,1,0
Maize,Cereals,NA,C: Crop residues retained_vs_T: Crop residues retained,NA,C: Reduced Tillage + Conventional Tillage_vs_T: Reduced Tillage + Conventional Tillage,NA,Product Yield,"Tropics, lowland; sub-humid, with soil/terrain limitations",4,0,1
Maize,Cereals,NA,C: Crop residues retained_vs_T: Crop residues retained,NA,C: Reduced Tillage + Conventional Tillage_vs_T: Reduced Tillage + Conventional Tillage,NA,Soil Quality,"Tropics, lowland; sub-humid, with soil/terrain limitations",6,0,1
Maize,Cereals,NA,C: Organic mulch (herbaceus)_vs_T: Organic mulch (herbaceus),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Zero Tillage,NA,Non-Product Yield,Ample irrigated soils,3,0,1
Maize,Cereals,NA,C: Organic mulch (herbaceus)_vs_T: Organic mulch (herbaceus),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Zero Tillage,NA,Non-Product Yield,"Tropics, lowland; semi-arid, with soil/terrain limitations",3,1,0
Maize,Cereals,NA,C: Organic mulch (herbaceus)_vs_T: Organic mulch (herbaceus),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Zero Tillage,NA,Product Yield,Ample irrigated soils,3,0.3333333333333333,0.6666666666666666
Maize,Cereals,NA,C: Organic mulch (herbaceus)_vs_T: Organic mulch (herbaceus),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Zero Tillage,NA,Product Yield,"Tropics, lowland; semi-arid, with soil/terrain limitations",2,1,0
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,C: Full irrigation_vs_T: Deficit Irrigation,Costs,"Tropics, highland; humid, no soil/terrain limitations",18,1,0
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,C: Full irrigation_vs_T: Deficit Irrigation,Economic Performance,"Tropics, highland; humid, no soil/terrain limitations",15,0.8666666666666667,0.13333333333333333
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,C: Full irrigation_vs_T: Deficit Irrigation,Income,"Tropics, highland; humid, no soil/terrain limitations",36,0.8055555555555556,0.19444444444444445
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,C: Full irrigation_vs_T: Deficit Irrigation,Product Yield,"Tropics, highland; humid, no soil/terrain limitations",18,0.8333333333333334,0.16666666666666666
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,C: Full irrigation_vs_T: Full irrigation,Costs,"Tropics, highland; semi-arid, with soil/terrain limitations",3,1,0
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,C: Full irrigation_vs_T: Full irrigation,Income,"Tropics, highland; semi-arid, with soil/terrain limitations",3,0,1
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,C: Supplemental Irrigation_vs_T: Supplemental Irrigation,Costs,"Tropics, highland; semi-arid, with soil/terrain limitations",3,1,0
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,C: Supplemental Irrigation_vs_T: Supplemental Irrigation,Income,"Tropics, highland; semi-arid, with soil/terrain limitations",3,0,1
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Costs,"Tropics, highland; humid, with soil/terrain limitations",4,0.75,0.25
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Costs,"Tropics, highland; sub-humid, no soil/terrain limitations",4,0.75,0.25
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Costs,"Tropics, highland; sub-humid, with soil/terrain limitations",4,0.75,0.25
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Income,"Tropics, highland; humid, with soil/terrain limitations",8,0,1
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Income,"Tropics, highland; sub-humid, no soil/terrain limitations",8,0,1
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Income,"Tropics, highland; sub-humid, with soil/terrain limitations",8,0.125,0.875
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Non-Product Yield,"Tropics, highland; humid, with soil/terrain limitations",4,0,1
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Non-Product Yield,"Tropics, highland; sub-humid, no soil/terrain limitations",4,0,1
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Non-Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",4,0.25,0.75
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,Land with severe soil/terrain limitations,528,0.2215909090909091,0.7784090909090909
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; humid, with soil/terrain limitations",260,0.25769230769230766,0.7423076923076923
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; semi-arid, with soil/terrain limitations",12,0,1
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; sub-humid, no soil/terrain limitations",268,0.15671641791044777,0.8432835820895522
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",60,0.45,0.55
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, lowland; semi-arid, with soil/terrain limitations",24,0.3333333333333333,0.6666666666666666
Maize,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, lowland; sub-humid, with soil/terrain limitations",12,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,C: Deficit Irrigation_vs_T: Full irrigation,Costs,"Tropics, highland; humid, no soil/terrain limitations",6,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,C: Deficit Irrigation_vs_T: Full irrigation,Income,"Tropics, highland; humid, no soil/terrain limitations",12,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,C: Deficit Irrigation_vs_T: Full irrigation,Product Yield,"Tropics, highland; humid, no soil/terrain limitations",6,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,C: Full irrigation_vs_T: Deficit Irrigation,Costs,"Tropics, highland; humid, no soil/terrain limitations",6,0.5,0.5
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,C: Full irrigation_vs_T: Deficit Irrigation,Income,"Tropics, highland; humid, no soil/terrain limitations",12,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,C: Full irrigation_vs_T: Deficit Irrigation,Product Yield,"Tropics, highland; humid, no soil/terrain limitations",6,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Costs,Ample irrigated soils,8,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Costs,Land with severe soil/terrain limitations,2,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Costs,"Tropics, highland; humid, with soil/terrain limitations",7,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Costs,"Tropics, highland; sub-humid, with soil/terrain limitations",6,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Costs,"Tropics, lowland; humid, with soil/terrain limitations",8,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Costs,"Tropics, lowland; sub-humid, no soil/terrain limitations",8,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Gender Equity,Land with severe soil/terrain limitations,2,1,0
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Income,Ample irrigated soils,10,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Income,Dominantly hydromorphic soils,8,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Income,Land with severe soil/terrain limitations,4,0.5,0.5
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Income,"Tropics, highland; humid, with soil/terrain limitations",30,0.13333333333333333,0.8666666666666667
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Income,"Tropics, highland; sub-humid, with soil/terrain limitations",12,0.3333333333333333,0.6666666666666666
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Income,"Tropics, lowland; humid, with soil/terrain limitations",16,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Income,"Tropics, lowland; sub-humid, no soil/terrain limitations",12,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Labour,Dominantly hydromorphic soils,4,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Labour,Land with severe soil/terrain limitations,1,1,0
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Labour,"Tropics, highland; humid, with soil/terrain limitations",8,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Non-Product Yield,Dominantly hydromorphic soils,8,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Non-Product Yield,"Tropics, highland; humid, with soil/terrain limitations",22,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Non-Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",2,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,Ample irrigated soils,6,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,Dominantly hydromorphic soils,10,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,Land with severe soil/terrain limitations,24,0.08333333333333333,0.9166666666666666
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; humid, no soil/terrain limitations",4,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; humid, with soil/terrain limitations",31,0.0967741935483871,0.9032258064516129
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; sub-humid, no soil/terrain limitations",10,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",93,0.07526881720430108,0.9247311827956989
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, lowland; humid, with soil/terrain limitations",26,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, lowland; semi-arid, no soil/terrain limitations",6,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, lowland; semi-arid, with soil/terrain limitations",5,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, lowland; sub-humid, no soil/terrain limitations",18,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,NA,14,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Soil Quality,Dominantly hydromorphic soils,4,0.75,0.25
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Soil Quality,"Tropics, highland; humid, no soil/terrain limitations",3,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Soil Quality,"Tropics, highland; humid, with soil/terrain limitations",4,0.75,0.25
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Soil Quality,"Tropics, highland; sub-humid, with soil/terrain limitations",6,0.6666666666666666,0.3333333333333333
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Soil Quality,"Tropics, lowland; semi-arid, with soil/terrain limitations",4,0.75,0.25
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Costs,"Tropics, lowland; humid, with soil/terrain limitations",9,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Income,"Tropics, lowland; humid, with soil/terrain limitations",18,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Product Yield,"Tropics, lowland; humid, with soil/terrain limitations",18,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Costs,"Tropics, highland; humid, with soil/terrain limitations",3,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Costs,"Tropics, highland; sub-humid, with soil/terrain limitations",2,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Costs,"Tropics, lowland; humid, with soil/terrain limitations",3,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Income,"Tropics, highland; humid, with soil/terrain limitations",6,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Income,"Tropics, highland; sub-humid, with soil/terrain limitations",4,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Income,"Tropics, lowland; humid, with soil/terrain limitations",6,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Non-Product Yield,Ample irrigated soils,2,0.5,0.5
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Non-Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",2,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Product Yield,Ample irrigated soils,2,0.5,0.5
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Product Yield,"Tropics, highland; humid, no soil/terrain limitations",4,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Product Yield,"Tropics, highland; humid, with soil/terrain limitations",3,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",4,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Product Yield,"Tropics, lowland; humid, with soil/terrain limitations",6,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Soil Quality,Ample irrigated soils,2,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Soil Quality,"Tropics, highland; humid, no soil/terrain limitations",3,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Soil Quality,"Tropics, highland; sub-humid, with soil/terrain limitations",6,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Costs,"Tropics, highland; humid, with soil/terrain limitations",9,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Costs,"Tropics, highland; sub-humid, with soil/terrain limitations",4,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Income,"Tropics, highland; humid, with soil/terrain limitations",18,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Income,"Tropics, highland; sub-humid, with soil/terrain limitations",8,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Non-Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",4,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Product Yield,Dominantly hydromorphic soils,2,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Product Yield,Land with severe soil/terrain limitations,3,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; humid, no soil/terrain limitations",16,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; humid, with soil/terrain limitations",11,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, highland; sub-humid, with soil/terrain limitations",11,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Product Yield,"Tropics, lowland; semi-arid, with soil/terrain limitations",2,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Product Yield,NA,2,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Soil Quality,Dominantly hydromorphic soils,4,0.5,0.5
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Soil Quality,"Tropics, highland; humid, no soil/terrain limitations",12,0.08333333333333333,0.9166666666666666
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Soil Quality,"Tropics, highland; humid, with soil/terrain limitations",4,0.5,0.5
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Soil Quality,"Tropics, highland; sub-humid, with soil/terrain limitations",12,0,1
Maize,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Soil Quality,"Tropics, lowland; semi-arid, with soil/terrain limitations",4,0.5,0.5
Maize,Cereals,NA,NA,NA,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Costs,NA,2,1,0
Maize,Cereals,NA,NA,NA,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Efficiency,"Tropics, lowland; semi-arid, no soil/terrain limitations",10,0.3,0.7
Maize,Cereals,NA,NA,NA,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Income,Land with severe soil/terrain limitations,1,0,1
Maize,Cereals,NA,NA,NA,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Income,NA,4,0,1
Maize,Cereals,NA,NA,NA,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Product Yield,Land with severe soil/terrain limitations,1,0,1
Maize,Cereals,NA,NA,NA,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Product Yield,"Tropics, highland; sub-humid, no soil/terrain limitations",12,0.16666666666666666,0.8333333333333334
Maize,Cereals,NA,NA,NA,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Product Yield,"Tropics, lowland; semi-arid, no soil/terrain limitations",6,0.3333333333333333,0.6666666666666666
Maize,Cereals,NA,NA,NA,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Product Yield,"Tropics, lowland; sub-humid, no soil/terrain limitations",12,0.5,0.5
Maize,Cereals,NA,NA,NA,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Soil Quality,"Tropics, highland; sub-humid, no soil/terrain limitations",22,0.4090909090909091,0.5909090909090909
Maize,Cereals,NA,NA,NA,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Soil Quality,"Tropics, lowland; semi-arid, no soil/terrain limitations",1152,0.2065972222222222,0.7934027777777778
Maize,Cereals,NA,NA,NA,C: Conventional Tillage_vs_T: Reduced Tillage,NA,Soil Quality,"Tropics, lowland; sub-humid, no soil/terrain limitations",22,0.36363636363636365,0.6363636363636364
Maize,Cereals,NA,NA,NA,C: No liming_vs_T: Liming,NA,Costs,"Tropics, highland; semi-arid, with soil/terrain limitations",9,0,1
Maize,Cereals,NA,NA,NA,C: No liming_vs_T: Liming,NA,Income,"Tropics, highland; semi-arid, with soil/terrain limitations",18,0.2222222222222222,0.7777777777777778
Maize,Cereals,NA,NA,NA,C: No liming_vs_T: Liming,NA,Product Yield,"Tropics, highland; semi-arid, with soil/terrain limitations",18,0,1
Maize,Cereals,NA,NA,NA,C: No liming_vs_T: Liming,NA,Soil Quality,"Tropics, highland; semi-arid, with soil/terrain limitations",27,0.3333333333333333,0.6666666666666666
Maize,Cereals,NA,NA,NA,C: Reduced Tillage + Conventional Tillage_vs_T: Reduced Tillage + Conventional Tillage,NA,Product Yield,Land with severe soil/terrain limitations,6,0,1
Maize,Cereals,NA,NA,NA,C: Reduced Tillage + Conventional Tillage_vs_T: Reduced Tillage + Conventional Tillage,NA,Soil Quality,Land with severe soil/terrain limitations,9,0,1
Maize,Cereals,NA,NA,NA,C: Reduced Tillage_vs_T: Reduced Tillage,NA,Product Yield,"Tropics, highland; sub-humid, no soil/terrain limitations",8,0.75,0.25
Maize,Cereals,NA,NA,NA,C: Zero Tillage_vs_T: Conventional Tillage,NA,Costs,"Tropics, lowland; sub-humid, with soil/terrain limitations",4,1,0
Maize,Cereals,NA,NA,NA,C: Zero Tillage_vs_T: Conventional Tillage,NA,Income,"Tropics, lowland; sub-humid, with soil/terrain limitations",4,0,1
Maize,Cereals,NA,NA,NA,C: Zero Tillage_vs_T: Conventional Tillage,NA,Product Yield,"Tropics, lowland; sub-humid, with soil/terrain limitations",4,0,1
Maize,Cereals,NA,NA,NA,C: Zero Tillage_vs_T: Conventional Tillage,NA,Soil Quality,"Tropics, lowland; sub-humid, with soil/terrain limitations",890,0.4404494382022472,0.5595505617977528
Maize,Cereals,NA,NA,NA,NA,C: Contour bunding_vs_T: Contour bunding,Product Yield,"Tropics, highland; sub-humid, no soil/terrain limitations",96,0.4375,0.5625
Maize,Cereals,NA,NA,NA,NA,C: Deficit Irrigation_vs_T: Deficit Irrigation,Efficiency,Ample irrigated soils,12,0.6666666666666666,0.3333333333333333
Maize,Cereals,NA,NA,NA,NA,C: Deficit Irrigation_vs_T: Deficit Irrigation,Product Yield,Ample irrigated soils,24,0.875,0.125
Maize,Cereals,NA,NA,NA,NA,C: Full irrigation_vs_T: Deficit Irrigation,Costs,"Tropics, highland; humid, no soil/terrain limitations",2,1,0
Maize,Cereals,NA,NA,NA,NA,C: Full irrigation_vs_T: Deficit Irrigation,Efficiency,Ample irrigated soils,6,0.16666666666666666,0.8333333333333334
Maize,Cereals,NA,NA,NA,NA,C: Full irrigation_vs_T: Deficit Irrigation,Efficiency,"Tropics, highland; humid, no soil/terrain limitations",2,0,1
Maize,Cereals,NA,NA,NA,NA,C: Full irrigation_vs_T: Deficit Irrigation,Efficiency,"Tropics, highland; semi-arid, with soil/terrain limitations",3,1,0
Maize,Cereals,NA,NA,NA,NA,C: Full irrigation_vs_T: Deficit Irrigation,Income,"Tropics, highland; humid, no soil/terrain limitations",4,0.5,0.5
Maize,Cereals,NA,NA,NA,NA,C: Full irrigation_vs_T: Deficit Irrigation,Product Yield,Ample irrigated soils,12,1,0
Maize,Cereals,NA,NA,NA,NA,C: Full irrigation_vs_T: Deficit Irrigation,Product Yield,"Tropics, highland; humid, no soil/terrain limitations",4,1,0
Maize,Cereals,NA,NA,NA,NA,C: Full irrigation_vs_T: Deficit Irrigation,Product Yield,"Tropics, highland; semi-arid, with soil/terrain limitations",114,0.6228070175438597,0.37719298245614036
Maize,Cereals,NA,NA,NA,NA,C: Full irrigation_vs_T: Full irrigation,Product Yield,"Tropics, highland; sub-humid, no soil/terrain limitations",6,0,1
Maize,Cereals,NA,NA,NA,NA,C: Full irrigation_vs_T: Full irrigation,Soil Quality,"Tropics, highland; sub-humid, no soil/terrain limitations",121,0.45454545454545453,0.5454545454545454
Maize,Cereals,NA,NA,NA,NA,C: Full irrigation_vs_T: Supplemental Irrigation,Product Yield,"Tropics, highland; sub-humid, no soil/terrain limitations",10,0.4,0.6
Maize,Cereals,NA,NA,NA,NA,C: Full irrigation_vs_T: Supplemental Irrigation,Soil Quality,"Tropics, highland; sub-humid, no soil/terrain limitations",484,0.5495867768595041,0.45041322314049587
Maize + Common Bean,Cereals,C: Monoculture_vs_T: Intercropping,C: Organic mulch (herbaceus)_vs_T: Organic mulch (herbaceus),NA,C: Conventional Tillage_vs_T: Conventional Tillage,NA,Non-Product Yield,Ample irrigated soils,3,0.6666666666666666,0.3333333333333333
Maize + Common Bean,Cereals,C: Monoculture_vs_T: Intercropping,C: Organic mulch (herbaceus)_vs_T: Organic mulch (herbaceus),NA,C: Conventional Tillage_vs_T: Conventional Tillage,NA,Product Yield,Ample irrigated soils,3,0.6666666666666666,0.3333333333333333
