T_crop_tree_diversity,CT_crop_FAO_Food_Group_clean,diversification_spatial_temporal_theme,biomass_management_practice,nutrient_management_practice,soil_management_theme,water_management_practice,impact,n,neg,pos,combo_clean
Maize,Cereals,NA,NA,NA,C: Zero Tillage_vs_T: Conventional Tillage,NA,Soil Quality,890,0.4404494382022472,0.5595505617977528,Maize
Maize,Cereals,NA,NA,NA,NA,C: Contour bunding_vs_T: Contour bunding,Product Yield,96,0.4375,0.5625,Maize
Maize,Cereals,NA,NA,NA,NA,C: Deficit Irrigation_vs_T: Deficit Irrigation,Efficiency,12,0.6666666666666666,0.3333333333333333,Maize
Maize,Cereals,NA,NA,NA,NA,C: Deficit Irrigation_vs_T: Deficit Irrigation,Product Yield,24,0.875,0.125,Maize
Maize,Cereals,NA,NA,NA,NA,C: Full irrigation_vs_T: Deficit Irrigation,Costs,2,1,0,Maize
Maize,Cereals,NA,NA,NA,NA,C: Full irrigation_vs_T: Deficit Irrigation,Efficiency,11,0.36363636363636365,0.6363636363636364,Maize
Maize,Cereals,NA,NA,NA,NA,C: Full irrigation_vs_T: Deficit Irrigation,Income,4,0.5,0.5,Maize
Maize,Cereals,NA,NA,NA,NA,C: Full irrigation_vs_T: Deficit Irrigation,Product Yield,130,0.6692307692307692,0.33076923076923076,Maize
Maize,Cereals,NA,NA,NA,NA,C: Full irrigation_vs_T: Full irrigation,Product Yield,6,0,1,Maize
Maize,Cereals,NA,NA,NA,NA,C: Full irrigation_vs_T: Full irrigation,Soil Quality,121,0.45454545454545453,0.5454545454545454,Maize
Maize,Cereals,NA,NA,NA,NA,C: Full irrigation_vs_T: Supplemental Irrigation,Product Yield,10,0.4,0.6,Maize
Maize,Cereals,NA,NA,NA,NA,C: Full irrigation_vs_T: Supplemental Irrigation,Soil Quality,484,0.5495867768595041,0.45041322314049587,Maize
Maize-Acacia abyssinica,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,4,0.5,0.5,Acacia abyssinica + Maize
Maize-Acacia abyssinica-Cordia africana-Grevillea robusta-Croton macrostachyus,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,4,0.75,0.25,Acacia abyssinica + Cordia africana + Croton macrostachyus + Grevillea robusta + Maize
Maize-Acacia tortilis,Cereals,C: Monoculture_vs_T: Agroforestry,NA,NA,NA,NA,Product Yield,152,0.7960526315789473,0.20394736842105263,Acacia tortilis + Maize
Maize-Acacia tortilis,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,NA,NA,Product Yield,6,0.6666666666666666,0.3333333333333333,Acacia tortilis + Maize
Maize-Acacia tortilis,Cereals,NA,C: Crop residues removed_vs_T: Organic mulch (unspecified),NA,NA,NA,Product Yield,2,1,0,Acacia tortilis + Maize
Maize-Barley-Teff-Wheat-Common Bean,Cereals..Leguminous crops,NA,C: Crop residues retained_vs_T: Crop residues retained,NA,NA,NA,Carbon Stocks,1,0,1,Barley + Common Bean + Maize + Teff + Wheat
Maize-Barley-Teff-Wheat-Common Bean,Cereals..Leguminous crops,NA,C: Crop residues retained_vs_T: Crop residues retained,NA,NA,NA,Soil Quality,1,0,1,Barley + Common Bean + Maize + Teff + Wheat
Maize-Common Bean,Cereals,C: Monoculture_vs_T: Intercropping,C: Organic mulch (herbaceus)_vs_T: Organic mulch (herbaceus),NA,C: Conventional Tillage_vs_T: Conventional Tillage,NA,Non-Product Yield,3,0.6666666666666666,0.3333333333333333,Common Bean + Maize
Maize-Common Bean,Cereals,C: Monoculture_vs_T: Intercropping,C: Organic mulch (herbaceus)_vs_T: Organic mulch (herbaceus),NA,C: Conventional Tillage_vs_T: Conventional Tillage,NA,Product Yield,3,0.6666666666666666,0.3333333333333333,Common Bean + Maize
Maize-Common Bean,Cereals,C: Monoculture_vs_T: Intercropping,C: Organic mulch (herbaceus)_vs_T: Organic mulch (herbaceus),NA,C: Conventional Tillage_vs_T: Zero Tillage,NA,Non-Product Yield,6,0.5,0.5,Common Bean + Maize
Maize-Common Bean,Cereals,C: Monoculture_vs_T: Intercropping,C: Organic mulch (herbaceus)_vs_T: Organic mulch (herbaceus),NA,C: Conventional Tillage_vs_T: Zero Tillage,NA,Product Yield,5,0.6,0.4,Common Bean + Maize
Maize-Common Bean,Cereals,C: Monoculture_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,21,0.23809523809523808,0.7619047619047619,Common Bean + Maize
Maize-Common Bean,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,10,0.2,0.8,Common Bean + Maize
Maize-Common Bean-Mung Bean,Cereals,C: Monoculture_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,1,1,0,Common Bean + Maize + Mung Bean
Maize-Cordia africana,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,4,0.25,0.75,Cordia africana + Maize
Maize-Cowpea,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,1,0,1,Cowpea + Maize
Maize-Crotalaria juncea,Cereals,C: Monoculture_vs_T: Green manure,NA,NA,NA,NA,Non-Product Yield,6,0.6666666666666666,0.3333333333333333,Crotalaria juncea + Maize
Maize-Crotalaria juncea,Cereals,C: Monoculture_vs_T: Green manure,NA,NA,NA,NA,Product Yield,6,0.5,0.5,Crotalaria juncea + Maize
Maize-Croton macrostachyus,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,4,0.75,0.25,Croton macrostachyus + Maize
Maize-Faidherbia albida,Cereals,C: Monoculture_vs_T: Agroforestry,NA,NA,NA,NA,Product Yield,18,0.2777777777777778,0.7222222222222222,Faidherbia albida + Maize
Maize-Faidherbia albida,Cereals..N Fix Tree,C: Agroforestry_vs_T: Agroforestry,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,27,0.2222222222222222,0.7777777777777778,Faidherbia albida + Maize
Maize-Grevillea robusta,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,4,0.25,0.75,Grevillea robusta + Maize
Maize-Hairy Vetch,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,6,1,0,Hairy Vetch + Maize
Maize-Hairy Vetch,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,1,0,1,Hairy Vetch + Maize
Maize-Hairy Vetch,Cereals..Leguminous crops,C: Intercropping_vs_T: Intercropping,C: Organic mulch (herbaceus)_vs_T: Crop residues removed,NA,NA,C: Supplemental Irrigation_vs_T: Supplemental Irrigation,Efficiency,1,1,0,Hairy Vetch + Maize
Maize-Hairy Vetch,Cereals..Leguminous crops,C: Intercropping_vs_T: Intercropping,C: Organic mulch (herbaceus)_vs_T: Crop residues removed,NA,NA,C: Supplemental Irrigation_vs_T: Supplemental Irrigation,Product Yield,1,1,0,Hairy Vetch + Maize
Maize-Lablab,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Non-Product Yield,6,0.5,0.5,Lablab + Maize
Maize-Lablab,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,12,0.5,0.5,Lablab + Maize
Maize-Lablab,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,1,0,1,Lablab + Maize
Maize-Mung Bean,Cereals,C: Monoculture_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,9,0.3333333333333333,0.6666666666666666,Maize + Mung Bean
Maize-Mung Bean,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,8,0.25,0.75,Maize + Mung Bean
Maize-Mung Bean-Common Bean,Cereals,C: Monoculture_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,1,1,0,Common Bean + Maize + Mung Bean
Maize-Pigeon Pea,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,C: Zero Tillage_vs_T: Conventional Tillage,NA,Product Yield,2,0,1,Maize + Pigeon Pea
Maize-Sorghum-Wheat-Barley-Rape-Niger-Teff,Cereals..Oilseed crops and oleaginous fruits,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Organic Fertilizer_vs_T: Organic Fertilizer,NA,NA,Income,30,0,1,Barley + Maize + Niger + Rape + Sorghum + Teff + Wheat
Maize-Sorghum-Wheat-Barley-Rape-Niger-Teff,Cereals..Oilseed crops and oleaginous fruits,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Organic Fertilizer_vs_T: Organic Fertilizer,NA,NA,Labour,30,0,1,Barley + Maize + Niger + Rape + Sorghum + Teff + Wheat
Maize-Soybean,Cereals,C: Monoculture_vs_T: Intercropping,C: Crop residues removed_vs_T: Crop residues removed,NA,NA,NA,Product Yield,4,0,1,Maize + Soybean
Maize-Soybean,Cereals,C: Monoculture_vs_T: Intercropping,C: Crop residues removed_vs_T: Organic mulch (herbaceus),NA,NA,NA,Product Yield,4,0,1,Maize + Soybean
Maize-Tick Clover sp,Cereals,C: Monoculture_vs_T: Intercropping,C: Crop residues removed_vs_T: Crop residues removed,NA,NA,NA,Product Yield,4,0,1,Maize + Tick Clover sp
Maize/Potato,Cereals..Root tuber crops with high starch or inulin content,C: Crop rotation_vs_T: Crop rotation,C: Crop residues incorporated_vs_T: Crop residues incorporated,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,1,0,1,Maize + Potato
Maize/Potato,Cereals..Root tuber crops with high starch or inulin content,C: Crop rotation_vs_T: Crop rotation,C: Crop residues incorporated_vs_T: Crop residues incorporated,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Product Yield,3,0,1,Maize + Potato
Maize/Potato/Wheat,Cereals..Root tuber crops with high starch or inulin content,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,4,0,1,Maize + Potato + Wheat
Maize/Potato/Wheat,Cereals..Root tuber crops with high starch or inulin content,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Product Yield,4,0,1,Maize + Potato + Wheat
Maize/Potato/Wheat,Cereals..Root tuber crops with high starch or inulin content,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Product Yield,4,0,1,Maize + Potato + Wheat
Maize/Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,4,0.25,0.75,Maize + Wheat
Maize/Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Product Yield,4,0,1,Maize + Wheat
Maize/Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Product Yield,4,0,1,Maize + Wheat
Pearl Millet,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,72,0.3333333333333333,0.6666666666666666,Pearl Millet
Pearl Millet,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,96,0.21875,0.78125,Pearl Millet
Pearl Millet-Common Bean,Cereals,C: Monoculture_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,12,0.8333333333333334,0.16666666666666666,Common Bean + Pearl Millet
Pearl Millet-Common Bean,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,12,0.5833333333333334,0.4166666666666667,Common Bean + Pearl Millet
Pearl Millet-Mung Bean,Cereals,C: Monoculture_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,12,0.5833333333333334,0.4166666666666667,Mung Bean + Pearl Millet
Pearl Millet-Mung Bean,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,12,0.4166666666666667,0.5833333333333334,Mung Bean + Pearl Millet
Potato-Maize,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,2,1,0,Maize + Potato
Rice,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Costs,12,0,1,Rice
Rice,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Income,24,0,1,Rice
Rice,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,12,0,1,Rice
Sesame-Maize,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,1,0,1,Maize + Sesame
Sorghum,Cereals,NA,C: Crop residues removed_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,50,0.22,0.78,Sorghum
Sorghum,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,20,0.05,0.95,Sorghum
Sorghum,Cereals,NA,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,36,0.05555555555555555,0.9444444444444444,Sorghum
Sorghum,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Non-Product Yield,265,0.4830188679245283,0.5169811320754717,Sorghum
Sorghum,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,265,0.15849056603773584,0.8415094339622642,Sorghum
Sorghum,Cereals,NA,NA,NA,C: Conventional Tillage_vs_T: Conventional Tillage,C: Contour bunding_vs_T: Contour bunding,Efficiency,10,0.5,0.5,Sorghum
Sorghum,Cereals,NA,NA,NA,C: Conventional Tillage_vs_T: Conventional Tillage,C: Contour bunding_vs_T: Contour bunding,Product Yield,10,0.2,0.8,Sorghum
Sorghum,Cereals,NA,NA,NA,C: Reduced Tillage_vs_T: Reduced Tillage,NA,Product Yield,4,0,1,Sorghum
Sorghum,Cereals,NA,NA,NA,C: Zero Tillage_vs_T: Conventional Tillage,NA,Efficiency,10,0.5,0.5,Sorghum
Sorghum,Cereals,NA,NA,NA,C: Zero Tillage_vs_T: Conventional Tillage,NA,Product Yield,10,0.2,0.8,Sorghum
Sorghum,Cereals,NA,NA,NA,NA,C: Contour bunding_vs_T: Contour bunding,Product Yield,32,0,1,Sorghum
Sorghum-Mung Bean,Cereals,C: Monoculture_vs_T: Intercropping,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,4,1,0,Mung Bean + Sorghum
Sorghum-Soybean,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,48,0.22916666666666666,0.7708333333333334,Sorghum + Soybean
Sweet Potato-Maize,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,1,1,0,Maize + Sweet Potato
Teff,Cereals,NA,C: Crop residues grazed_vs_T: Crop residues grazed,C: Inorganic and Organic Fertilizers_vs_T: Inorganic and Organic Fertilizers,NA,NA,Product Yield,1,0,1,Teff
Teff,Cereals,NA,C: Crop residues grazed_vs_T: Crop residues grazed,C: Inorganic and Organic Fertilizers_vs_T: Inorganic and Organic Fertilizers,NA,NA,Soil Quality,2,0,1,Teff
Teff,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Zero Tillage_vs_T: Conventional Tillage,NA,Costs,2,0,1,Teff
Teff,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Zero Tillage_vs_T: Conventional Tillage,NA,Income,4,0.25,0.75,Teff
Teff,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Zero Tillage_vs_T: Conventional Tillage,NA,Product Yield,4,0,1,Teff
Teff,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Zero Tillage_vs_T: Reduced Tillage,NA,Costs,2,0,1,Teff
Teff,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Zero Tillage_vs_T: Reduced Tillage,NA,Income,4,0.25,0.75,Teff
Teff,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Zero Tillage_vs_T: Reduced Tillage,NA,Product Yield,4,0,1,Teff
Teff,Cereals,NA,C: Crop residues removed_vs_T: Crop residues retained,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Zero Tillage_vs_T: Reduced Tillage,NA,Costs,2,0,1,Teff
Teff,Cereals,NA,C: Crop residues removed_vs_T: Crop residues retained,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Zero Tillage_vs_T: Reduced Tillage,NA,Income,4,0,1,Teff
Teff,Cereals,NA,C: Crop residues removed_vs_T: Crop residues retained,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Zero Tillage_vs_T: Reduced Tillage,NA,Product Yield,4,0,1,Teff
Teff,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,C: Full irrigation_vs_T: Full irrigation,Efficiency,2,0,1,Teff
Teff,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,C: Full irrigation_vs_T: Supplemental Irrigation,Efficiency,2,1,0,Teff
Teff,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Costs,9,0,1,Teff
Teff,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Income,20,0,1,Teff
Teff,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Non-Product Yield,4,0,1,Teff
Teff,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,163,0.24539877300613497,0.754601226993865,Teff
Teff,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Soil Quality,16,0.125,0.875,Teff
Teff,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Income,4,0,1,Teff
Teff,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Non-Product Yield,8,0,1,Teff
Teff,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Product Yield,16,0,1,Teff
Teff,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Income,4,0,1,Teff
Teff,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Non-Product Yield,8,0,1,Teff
Teff,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Product Yield,22,0,1,Teff
Teff,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Soil Quality,8,0,1,Teff
Teff,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Product Yield,6,0,1,Teff
Teff,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Soil Quality,8,0,1,Teff
Teff,Cereals,NA,NA,NA,C: No liming_vs_T: Liming,NA,Income,1,0,1,Teff
Teff,Cereals,NA,NA,NA,C: No liming_vs_T: Liming,NA,Non-Product Yield,2,0,1,Teff
Teff,Cereals,NA,NA,NA,C: No liming_vs_T: Liming,NA,Product Yield,4,0,1,Teff
Teff,Cereals,NA,NA,NA,NA,C: Full irrigation_vs_T: Supplemental Irrigation,Efficiency,1,1,0,Teff
Teff-Acacia abyssinica,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,8,0.375,0.625,Teff + Leguminous tree
Teff-Acacia abyssinica-Cordia africana-Grevillea robusta-Croton macrostachyus,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,4,0.75,0.25,Acacia abyssinica + Cordia africana + Croton macrostachyus + Grevillea robusta + Teff
Teff-Acacia decurrens,Cereals,C: Monoculture_vs_T: Agroforestry,NA,NA,NA,NA,Product Yield,5,0,1,Acacia decurrens + Teff
Teff-Cordia africana,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,8,0.375,0.625,Teff + No leguminous tree
Teff-Croton macrostachyus,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,4,0.25,0.75,Croton macrostachyus + Teff
Teff-Faidherbia albida,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,4,0.5,0.5,Teff + Leguminous tree
Teff-Faidherbia albida-Moringa stenopetala-Acacia nilotica-Cordia africana,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,4,0.5,0.5,Teff + Leguminous tree
Teff-Grevillea robusta,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,4,0,1,Grevillea robusta + Teff
Teff-Lupin,Cereals,C: Monoculture_vs_T: Intercropping,NA,NA,NA,NA,Product Yield,24,0.6666666666666666,0.3333333333333333,Lupin + Teff
Teff-Moringa stenopetala,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,4,0.5,0.5,Teff + No leguminous tree
Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,C: Conventional Tillage_vs_T: Zero Tillage,NA,Income,12,0,1,Wheat
Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,C: Conventional Tillage_vs_T: Zero Tillage,NA,Product Yield,24,0,1,Wheat
Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,C: Zero Tillage_vs_T: Zero Tillage,NA,Product Yield,12,0.75,0.25,Wheat
Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues removed,NA,C: Zero Tillage_vs_T: Zero Tillage,NA,Soil Quality,12,0.75,0.25,Wheat
Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues retained,NA,C: Zero Tillage_vs_T: Conventional Tillage,NA,Product Yield,18,0.16666666666666666,0.8333333333333334,Wheat
Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues retained,NA,C: Zero Tillage_vs_T: Conventional Tillage,NA,Soil Quality,18,0.05555555555555555,0.9444444444444444,Wheat
Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues retained,NA,C: Zero Tillage_vs_T: Reduced Tillage,NA,Product Yield,18,0.2777777777777778,0.7222222222222222,Wheat
Wheat,Cereals,NA,C: Crop residues removed_vs_T: Crop residues retained,NA,C: Zero Tillage_vs_T: Reduced Tillage,NA,Soil Quality,18,0.16666666666666666,0.8333333333333334,Wheat
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Costs,6,0,1,Wheat
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Income,12,0.16666666666666666,0.8333333333333334,Wheat
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Non-Product Yield,6,0,1,Wheat
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,78,0.038461538461538464,0.9615384615384616,Wheat
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Soil Quality,16,0,1,Wheat
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Costs,3,0,1,Wheat
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Income,6,0,1,Wheat
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Non-Product Yield,3,0,1,Wheat
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic and Organic Fertilizers,NA,NA,Product Yield,3,0,1,Wheat
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Costs,1,0,1,Wheat
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Income,2,0,1,Wheat
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Non-Product Yield,1,0,1,Wheat
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Product Yield,7,0,1,Wheat
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer,NA,NA,Soil Quality,8,0,1,Wheat
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Product Yield,6,0,1,Wheat
Wheat,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Organic Fertilizer + Inorganic Fertilizer,NA,NA,Soil Quality,8,0,1,Wheat
Wheat-Faidherbia albida,Cereals,C: Monoculture_vs_T: Agroforestry,NA,NA,NA,NA,Product Yield,8,0,1,Faidherbia albida + Wheat
