DOI for Zotero,DOI for Zotero-formula,id,authorships.author.display_name,authorships.author.orcid,best_oa_location.license,display_name,doi,is_retracted,language,open_access.is_oa,publication_date,type
10.1038/s44264-025-00100-1,10.1038/s44264-025-00100-1,https://openalex.org/W4415903709,Loekie Schreefel|Emile Steenman|Fabian Adler|Ricardo Buffara|Stephan Freundt|Fabrice DeClerck|Jessica Duncan|K.E. Giller|Howard Koster|H.H.E. van Zanten,https://orcid.org/0000-0001-6794-7221|||||https://orcid.org/0000-0002-3631-8745|https://orcid.org/0000-0003-0511-0068|https://orcid.org/0000-0002-5998-4652||https://orcid.org/0000-0002-5262-5518,cc-by-nc-nd,Beyond the buzz: analyzing actors promoting regenerative agriculture in Europe,https://doi.org/10.1038/s44264-025-00100-1,FALSE,en,TRUE,05/11/2025,article
10.3390/rs9121307,10.3390/rs9121307,https://openalex.org/W2773804544,Sarah K. Jones|Alexander K. Fremier|Fabrice DeClerck|David Smedley|Aline Ortega Pieck|Mark Mulligan,https://orcid.org/0000-0002-9422-5563|https://orcid.org/0000-0002-4104-6633|https://orcid.org/0000-0002-3631-8745|||https://orcid.org/0000-0002-0132-0888,cc-by,Big Data and Multiple Methods for Mapping Small Reservoirs: Comparing Accuracies for Applications in Agricultural Landscapes,https://doi.org/10.3390/rs9121307,FALSE,en,TRUE,13/12/2017,article
10.5337/2021.215,10.5337/2021.215,https://openalex.org/W3194855227,F. DeClerck|Izabella Koziell|Angad Sidhu|Jonathan Wirths|Tim G. Benton|Lucas A. Garibaldi|Claire Kremen|Martine Maron|Cristina Rumbaitis del Rio|Michael Clark|Chris Dickens|Natalia Estrada-Carmona|Alexander K. Fremier|Sarah K. Jones|Colin K. Khoury|Rattan Lal|Michael Obersteiner|Roseline Remans|Adrien Rusch|Lisa A. Schulte|Jeremy S. Simmonds|Lindsay C. Stringer|Christopher L. Weber|Leigh Winowiecki,||||https://orcid.org/0000-0002-7448-1973|https://orcid.org/0000-0003-0725-4049|https://orcid.org/0000-0001-6909-4605|https://orcid.org/0000-0002-5563-5789||https://orcid.org/0000-0001-7161-7751|https://orcid.org/0000-0002-4251-7767|https://orcid.org/0000-0003-4329-5470|https://orcid.org/0000-0002-4104-6633|https://orcid.org/0000-0002-9422-5563|https://orcid.org/0000-0001-7893-5744|||https://orcid.org/0000-0003-3659-8529|https://orcid.org/0000-0002-3921-9750|https://orcid.org/0000-0003-4433-5008|https://orcid.org/0000-0002-1662-5908|https://orcid.org/0000-0003-0017-1654|https://orcid.org/0000-0002-6245-525X|https://orcid.org/0000-0001-5572-1284,cc-by-nc-nd,Biodiversity and agriculture: rapid evidence review,https://doi.org/10.5337/2021.215,FALSE,en,TRUE,01/01/2021,report
10.1101/2022.06.24.497294,10.1101/2022.06.24.497294,https://openalex.org/W4283811916,Awaz Mohamed|Fabrice DeClerck|Peter H. Verburg|David Obura|Jesse F. Abrams|Noelia Zafra‐Calvo|Juan Rocha|Natalia Estrada-Carmona|Alexander K. Fremier|Sarah K. Jones|Ina C. Meier|Ben Stewart‐Koster,https://orcid.org/0000-0002-6130-9496|https://orcid.org/0000-0002-3631-8745|https://orcid.org/0000-0002-6977-7104|https://orcid.org/0000-0003-2256-6649|https://orcid.org/0000-0003-0411-8519|https://orcid.org/0000-0003-3350-0784|https://orcid.org/0000-0003-2322-5459|https://orcid.org/0000-0003-4329-5470|https://orcid.org/0000-0002-4104-6633|https://orcid.org/0000-0002-9422-5563||https://orcid.org/0000-0001-8334-0825,cc-by,Biosphere functional integrity for people and Planet,https://doi.org/10.1101/2022.06.24.497294,FALSE,en,TRUE,27/06/2022,preprint
10.7910/dvn/lsqls7,10.7910/dvn/lsqls7,https://openalex.org/W4398543211,Alejandra Martínez|Fabrice DeClerck|Fernando Casanoves,https://orcid.org/0000-0002-6337-8890|https://orcid.org/0000-0002-3631-8745|https://orcid.org/0000-0001-8765-9382,public-domain,"BNPP Functional connectivity for birds that depend on forest patches in a fragmented landscape, Matiguas Nicaragua",https://doi.org/10.7910/dvn/lsqls7,FALSE,en,TRUE,22/02/2013,dataset
10.52202/071171-0339,10.52202/071171-0339,https://openalex.org/W4389376103,Carl Stafford|R. A. Clark|Liesel A. Ritchie|Jack Dudding|Gabriel J. Pent|John H. Fike|J. Benner|Cindy Sorg Swanson|Simon Baker|T. Mize|Vitalis W. Temu|Kathy Payne|Duane A. Gill|Donald E. Mullins|Ruth McGuire|Chris D. Teutsch|Wade E. Thomason|A.M. Grev|Paful Blevins|Thomas B. Clarke|M. H. Poore|M.N. Booher|Tim Stanley|Gregory S. Halich|John Bovay|Sarah K. Jones|K Love|Ann Toler Hilliard|A. Byington|Ewen Mullins|Inga Haugen,||https://orcid.org/0000-0002-9960-3260||https://orcid.org/0000-0003-0837-2039|https://orcid.org/0000-0002-7371-3007|||https://orcid.org/0000-0002-0716-6236||https://orcid.org/0000-0003-2247-6598||https://orcid.org/0000-0002-0262-0241|https://orcid.org/0000-0002-0740-5663|https://orcid.org/0000-0003-3893-4987||https://orcid.org/0000-0003-2498-1010|https://orcid.org/0000-0002-8376-3665||https://orcid.org/0000-0002-9997-9532|https://orcid.org/0000-0001-8297-3647||||https://orcid.org/0000-0002-7342-1602|https://orcid.org/0000-0002-9422-5563||||https://orcid.org/0000-0003-3005-4264|https://orcid.org/0000-0002-9414-9097,public-domain,Building Partnerships to Address Social and Technological Challenges to Enhance Farm Profitability and Improve Water Quality Through Better Grassland Management,https://doi.org/10.52202/071171-0339,FALSE,en,TRUE,01/01/2023,article
10.1038/s43247-025-02574-w,10.1038/s43247-025-02574-w,https://openalex.org/W4413306679,Emily Pappo|Susan C. Cook‐Patton|Damien Beillouin|Rémi Cardinael|Fernando Vieira Cesário|Katherine Culbertson|Vivian Griffey|Jefferson S. Hall|Starry Sprenkle-Hyppolite|Alison Lovdal|Cyril Melikov|Todd S. Rosenstock|Peter Steward|Drew Terasaki Hart|Ruth E. Bennett,https://orcid.org/0000-0003-1207-5192|https://orcid.org/0000-0002-7194-4397|https://orcid.org/0000-0003-2014-3482|https://orcid.org/0000-0002-9924-3269|https://orcid.org/0000-0002-2333-6813|https://orcid.org/0000-0002-1769-2563|https://orcid.org/0000-0001-5921-6621|https://orcid.org/0000-0003-4761-9268|https://orcid.org/0000-0002-8336-4293||https://orcid.org/0000-0002-8668-1577|https://orcid.org/0000-0002-1958-9500|https://orcid.org/0000-0003-3985-4911||https://orcid.org/0000-0003-4024-0538,cc-by-nc-nd,Carbon payment strategies in coffee agroforests shape climate and biodiversity outcomes,https://doi.org/10.1038/s43247-025-02574-w,FALSE,en,TRUE,19/08/2025,article
10.22541/au.159007647.73563117,10.22541/au.159007647.73563117,https://openalex.org/W3041117351,Ermias Aynekulu|Gudeta W. Sileshi|Todd Rosenstock|Meine van Noordwijk|Diress Tsegaye|Jonas Koala|Louis Sawadogo|Jan de Leeuw|Eleanor Milne|Keith Shepherd,https://orcid.org/0000-0002-1955-6995|https://orcid.org/0000-0001-7828-6238||https://orcid.org/0000-0002-7791-4703|https://orcid.org/0000-0002-6854-5977|https://orcid.org/0000-0001-6842-4983||https://orcid.org/0000-0001-7020-2503|https://orcid.org/0000-0002-2602-1040|https://orcid.org/0000-0001-7144-3915,,Changes in soil carbon following long-term prescribed burning and livestock exclusion in the Sudanian savanna-woodlands in Burkina Faso,https://doi.org/10.22541/au.159007647.73563117,FALSE,en,FALSE,21/05/2020,preprint
10.1016/j.oneear.2020.01.009,10.1016/j.oneear.2020.01.009,https://openalex.org/W3007068977,Rachel Carmenta|David A. Coomes|Fabrice DeClerck|Abigail K. Hart|Célia A. Harvey|Jeff Milder|James Reed|Bhaskar Vira|Natalia Estrada-Carmona,https://orcid.org/0000-0001-8607-4147|https://orcid.org/0000-0002-8261-2582|https://orcid.org/0000-0002-3631-8745||https://orcid.org/0000-0001-8015-703X|||https://orcid.org/0000-0001-7766-6773|https://orcid.org/0000-0003-4329-5470,,Characterizing and Evaluating Integrated Landscape Initiatives,https://doi.org/10.1016/j.oneear.2020.01.009,FALSE,en,TRUE,01/02/2020,article
10.22541/essoar.175492980.08779908/v1,10.22541/essoar.175492980.08779908/v1,https://openalex.org/W4413214279,Johan Rockström|Fatima Denton|Albert V. Norström|Jesse F. Abrams|Lubna Alam|David I. Armstrong McKay|Xuemei Bai|Govindasamy Bala|Chris A. Boulton|Wendy Broadgate|Stuart E. Bunn|Joshua Buxton|Juan-Camilo Cárdenas|Raimon C. Ylla-Català|Fabrice DeClerck|Natalie Davis|Donovan Dennis|Miriam L. Diamond|Carl Folke|Charlotte Kendra Gotangco|Georgia Graells|Joyeeta Gupta|Syezlin Hasan|Lisa Jacobson|Steven J. Lade|Timothy M. Lenton|Sina Loriani|Cornelia Ludwig|Pablo A. Marquet|Qondi Moyo|Aditi Mukherji|Nebojša Nakićenović|David Obura|Oki Taikan|Daniel Ospina|Maria Fernanda Peña|Laura Pereira|Keywan Riahi|Maria del Mar Rojas|Anindita Sarkar|Anna Shalin|Ben Stewart‐Koster|Bo Su|Rashid Sumaila|Thejna Tharammal|Luc van Vliet|Detlef P. van Vuuren|Peter H. Verburg|Zhanyun Wang|Ricarda Winkelmann|Cunde Xiao|Caroline Zimm,https://orcid.org/0000-0001-8988-2983||https://orcid.org/0000-0002-0706-9233|https://orcid.org/0000-0003-0411-8519|https://orcid.org/0000-0002-0910-2391|https://orcid.org/0000-0002-0020-7461|https://orcid.org/0000-0001-6556-8041|https://orcid.org/0000-0002-3079-0600|https://orcid.org/0000-0001-7836-9391|https://orcid.org/0000-0003-4409-2800|https://orcid.org/0000-0002-6540-3586|https://orcid.org/0000-0001-9664-0368|https://orcid.org/0000-0003-0005-7595||https://orcid.org/0000-0002-3631-8745||https://orcid.org/0000-0002-5423-7703|https://orcid.org/0000-0001-6296-6431|https://orcid.org/0000-0002-4050-3281|https://orcid.org/0000-0002-3436-9813||https://orcid.org/0000-0003-1424-2660|https://orcid.org/0000-0002-0637-7963|https://orcid.org/0000-0003-4936-2275|https://orcid.org/0000-0001-9719-9826|https://orcid.org/0000-0002-6725-7498|https://orcid.org/0000-0001-6660-960X||https://orcid.org/0000-0001-6369-9339||https://orcid.org/0000-0002-8061-4349|https://orcid.org/0000-0001-7176-4604|https://orcid.org/0000-0003-2256-6649||https://orcid.org/0000-0002-5115-0899||https://orcid.org/0000-0002-4996-7234|https://orcid.org/0000-0001-7193-3498||https://orcid.org/0000-0002-6626-2455|https://orcid.org/0000-0002-7217-5382|https://orcid.org/0000-0001-8334-0825|https://orcid.org/0009-0003-5485-3658||https://orcid.org/0000-0001-5343-8194|https://orcid.org/0009-0003-6088-0839|https://orcid.org/0000-0003-0398-2831|https://orcid.org/0000-0002-6977-7104|https://orcid.org/0000-0001-9914-7659|https://orcid.org/0000-0003-1248-3217|https://orcid.org/0000-0002-1706-4794|https://orcid.org/0000-0001-5603-1015,,Charting a transformational course toward a safe and just future: the Earth Commission’s contribution,https://doi.org/10.22541/essoar.175492980.08779908/v1,FALSE,en,TRUE,11/08/2025,preprint
10.1111/brv.12040,10.1111/brv.12040,https://openalex.org/W1556742278,Gorm E. Shackelford|Peter Steward|Tim G. Benton|William E. Kunin|Simon G. Potts|Jacobus C. Biesmeijer|Steven M. Sait,https://orcid.org/0000-0003-0949-0934|https://orcid.org/0000-0003-3985-4911|https://orcid.org/0000-0002-7448-1973|https://orcid.org/0000-0002-9812-2326|https://orcid.org/0000-0002-2045-980X|https://orcid.org/0000-0003-0328-0573|https://orcid.org/0000-0002-7208-8617,,Comparison of pollinators and natural enemies: a meta‐analysis of landscape and local effects on abundance and richness in crops,https://doi.org/10.1111/brv.12040,FALSE,en,FALSE,12/04/2013,review
10.1073/pnas.2203385119,10.1073/pnas.2203385119,https://openalex.org/W4295308933,Natalia Estrada-Carmona|Andrea C. Sánchez|Roseline Remans|Sarah K. Jones,https://orcid.org/0000-0003-4329-5470|https://orcid.org/0000-0003-4549-6970|https://orcid.org/0000-0003-3659-8529|https://orcid.org/0000-0002-9422-5563,cc-by-nc-nd,Complex agricultural landscapes host more biodiversity than simple ones: A global meta-analysis,https://doi.org/10.1073/pnas.2203385119,FALSE,en,TRUE,12/09/2022,review
10.7910/dvn/gzjcp0,10.7910/dvn/gzjcp0,https://openalex.org/W4398417822,"Natalia Estrada-Carmona|C. Sánchez, Andrea|Roseline Remans|Sarah K. Jones",https://orcid.org/0000-0003-4329-5470||https://orcid.org/0000-0003-3659-8529|https://orcid.org/0000-0002-9422-5563,cc-by-nc-sa,Complex agricultural landscapes host more biodiversity than simple ones: a global meta-analysis - dataset,https://doi.org/10.7910/dvn/gzjcp0,FALSE,en,TRUE,18/07/2022,dataset
10.1016/j.gfs.2023.100688,10.1016/j.gfs.2023.100688,https://openalex.org/W4368353951,Kim Anastasiou|Phillip Baker|Gilly A. Hendrie|Michalis Hadjikakou|Sinéad Boylan|Abhishek Chaudhary|Michael Clark|Fabrice DeClerck|Jessica Fanzo|Anthony Fardet|Fernanda Helena Marrocos Leite|Daniel Mason-D’Croz|Rob Percival|Christian Reynolds|Mark Lawrence,https://orcid.org/0000-0002-3338-5117|https://orcid.org/0000-0002-0802-2349|https://orcid.org/0000-0001-7387-2422|https://orcid.org/0000-0002-3667-3982|https://orcid.org/0000-0002-3491-5845|https://orcid.org/0000-0002-6602-7279|https://orcid.org/0000-0001-7161-7751|https://orcid.org/0000-0002-3631-8745|https://orcid.org/0000-0002-6760-1359|https://orcid.org/0000-0003-4972-9217|https://orcid.org/0000-0003-0470-1974|https://orcid.org/0000-0003-0673-2301||https://orcid.org/0000-0002-1073-7394|https://orcid.org/0000-0001-6899-3983,,Conceptualising the drivers of ultra-processed food production and consumption and their environmental impacts: A group model-building exercise,https://doi.org/10.1016/j.gfs.2023.100688,FALSE,en,TRUE,04/05/2023,article
10.2139/ssrn.4306622,10.2139/ssrn.4306622,https://openalex.org/W4313262514,Kim Anastasiou|Philip Baker|Gilly A. Hendrie|Michalis Hadjikakou|Sinéad Boylan|Abhishek Chaudhary|Michael Clark|Fabrice DeClerck|Jessica Fanzo|Anthony Fardet|Fernanda Helena Marrocos Leite|Daniel Mason-D’Croz|Rob Percival|Christian Reynolds|Mark Lawrence,https://orcid.org/0000-0002-3338-5117||https://orcid.org/0000-0001-7387-2422|https://orcid.org/0000-0002-3667-3982|https://orcid.org/0000-0002-3491-5845|https://orcid.org/0000-0002-6602-7279|https://orcid.org/0000-0001-7161-7751|https://orcid.org/0000-0002-3631-8745|https://orcid.org/0000-0002-6760-1359|https://orcid.org/0000-0003-4972-9217|https://orcid.org/0000-0003-0470-1974|https://orcid.org/0000-0003-0673-2301||https://orcid.org/0000-0002-1073-7394|https://orcid.org/0000-0001-6899-3983,,Conceptualising the Drivers of Ultra-Processed Food Production and Consumption and Their Environmental Impacts: A Group Model-Building Exercise,https://doi.org/10.2139/ssrn.4306622,FALSE,en,TRUE,01/01/2022,article
10.1016/j.agee.2013.10.010,10.1016/j.agee.2013.10.010,https://openalex.org/W164769165,Cheryl Palm|Humberto Blanco‐Canqui|Fabrice DeClerck|Lydiah Gatere|Peter Grace,|https://orcid.org/0000-0002-9286-8194|https://orcid.org/0000-0002-3631-8745||https://orcid.org/0000-0003-4136-4129,other-oa,Conservation agriculture and ecosystem services: An overview,https://doi.org/10.1016/j.agee.2013.10.010,FALSE,en,TRUE,16/11/2013,article
10.1016/j.agsy.2021.103117,10.1016/j.agsy.2021.103117,https://openalex.org/W3135515942,Adam M. Komarek|Christian Thierfelder|Peter Steward,https://orcid.org/0000-0001-5676-3005|https://orcid.org/0000-0002-6306-7670|https://orcid.org/0000-0003-3985-4911,cc-by,Conservation agriculture improves adaptive capacity of cropping systems to climate stress in Malawi,https://doi.org/10.1016/j.agsy.2021.103117,FALSE,en,TRUE,07/03/2021,article
10.1111/ddi.12291,10.1111/ddi.12291,https://openalex.org/W2050596103,Gorm E. Shackelford|Peter Steward|Richard German|Steven M. Sait|Tim G. Benton,https://orcid.org/0000-0003-0949-0934|https://orcid.org/0000-0003-3985-4911|https://orcid.org/0000-0001-7937-1995|https://orcid.org/0000-0002-7208-8617|https://orcid.org/0000-0002-7448-1973,cc-by,Conservation planning in agricultural landscapes: hotspots of conflict between agriculture and nature,https://doi.org/10.1111/ddi.12291,FALSE,en,TRUE,26/12/2014,article
10.1111/conl.12110,10.1111/conl.12110,https://openalex.org/W1535197650,Teja Tscharntke|Jeffrey C. Milder|Götz Schroth|Yann Clough|Fabrice DeClerck|Anthony Waldron|Robert A. Rice|Jaboury Ghazoul,https://orcid.org/0000-0002-4482-3178|https://orcid.org/0000-0003-1662-4195||https://orcid.org/0000-0002-2901-7602|https://orcid.org/0000-0002-3631-8745||https://orcid.org/0000-0003-2257-4809|https://orcid.org/0000-0002-8319-1636,cc-by-nc-nd,Conserving Biodiversity Through Certification of Tropical Agroforestry Crops at Local and Landscape Scales,https://doi.org/10.1111/conl.12110,FALSE,en,TRUE,28/04/2014,article
10.1016/j.agsy.2021.103309,10.1016/j.agsy.2021.103309,https://openalex.org/W3213644879,Brian Chiputwa|Genowefa Blundo‐Canto|Peter Steward|Nadine Andrieu|Ousmane Ndiaye,https://orcid.org/0000-0003-0104-7911|https://orcid.org/0000-0003-4182-3663|https://orcid.org/0000-0003-3985-4911|https://orcid.org/0000-0001-9558-9302|https://orcid.org/0000-0002-5048-4731,,"Co-production, uptake of weather and climate services, and welfare impacts on farmers in Senegal: A panel data approach",https://doi.org/10.1016/j.agsy.2021.103309,FALSE,en,TRUE,06/11/2021,article
10.1111/gcb.17128,10.1111/gcb.17128,https://openalex.org/W4390920365,Christopher Poeplau|Zhi Liang|Axel Don|Daria Seitz|Chiara De Notaris|Denis A. Angers|Pierre Barré|Damien Beillouin|Rémi Cardinael|Éric Ceschia|Claire Chenu|Julie Constantin|Julien Demenois|Bruno Mary|Sylvain Pellerin|Daniel Plaza‐Bonilla|Miguel Quemada|Éric Justes,https://orcid.org/0000-0003-3108-8810|https://orcid.org/0000-0002-9510-9281|https://orcid.org/0000-0001-7046-3332|https://orcid.org/0000-0003-0702-2993|https://orcid.org/0000-0002-3764-012X|https://orcid.org/0000-0002-0473-527X|https://orcid.org/0000-0002-0822-0556|https://orcid.org/0000-0003-2014-3482|https://orcid.org/0000-0002-9924-3269|https://orcid.org/0000-0001-5941-752X|https://orcid.org/0000-0001-9054-0489|https://orcid.org/0000-0001-9647-5374|https://orcid.org/0000-0002-2271-8465|https://orcid.org/0000-0003-4662-0160|https://orcid.org/0000-0003-4388-8460|https://orcid.org/0000-0003-4998-8585|https://orcid.org/0000-0001-5793-2835|https://orcid.org/0000-0001-7390-7058,,Cover crops do increase soil organic carbon stocks—A critical comment on Chaplot and Smith (2023),https://doi.org/10.1111/gcb.17128,FALSE,en,TRUE,01/01/2024,letter
10.7910/dvn/py3yoz,10.7910/dvn/py3yoz,https://openalex.org/W4398374093,Todd S. Rosenstock|Namita Joshi|Peter Steward|Kristal Jones,https://orcid.org/0000-0002-1958-9500|https://orcid.org/0000-0002-1623-6910|https://orcid.org/0000-0003-3985-4911|https://orcid.org/0000-0001-9737-9042,other-oa,Data utilized in African Green Climate Fund Agricultural Adaptation Projects and its availability in selected Decision Support Tools (DSTs),https://doi.org/10.7910/dvn/py3yoz,FALSE,en,TRUE,10/01/2024,dataset
10.1016/j.gfs.2020.100401,10.1016/j.gfs.2020.100401,https://openalex.org/W3104286200,Jenna Hollis|Clare E. Collins|Fabrice DeClerck|Li Kheng Chai|Karen McColl|Sandro Demaio,https://orcid.org/0000-0001-9711-2305|https://orcid.org/0000-0003-3298-756X|https://orcid.org/0000-0002-3631-8745|https://orcid.org/0000-0001-5371-4777|https://orcid.org/0000-0002-8175-4992|https://orcid.org/0000-0002-1767-4576,cc-by-nc-nd,"Defining healthy and sustainable diets for infants, children and adolescents",https://doi.org/10.1016/j.gfs.2020.100401,FALSE,en,TRUE,13/11/2020,article
10.1371/journal.pone.0270712,10.1371/journal.pone.0270712,https://openalex.org/W4288710890,Anna Herforth|Alexandra L. Bellows|Quinn Marshall|Rebecca McLaren|Ty Beal|Stella Nordhagen|Roseline Remans|Natalia Estrada-Carmona|Jessica Fanzo,https://orcid.org/0000-0002-6079-9374|https://orcid.org/0000-0001-7772-7548|https://orcid.org/0000-0002-4962-8160|https://orcid.org/0000-0002-9193-2334|https://orcid.org/0000-0002-0398-9825|https://orcid.org/0000-0002-3801-3769|https://orcid.org/0000-0003-3659-8529|https://orcid.org/0000-0003-4329-5470|https://orcid.org/0000-0002-6760-1359,cc-by,Diagnosing the performance of food systems to increase accountability toward healthy diets and environmental sustainability,https://doi.org/10.1371/journal.pone.0270712,FALSE,en,TRUE,29/07/2022,article
10.3732/ajb.1200461,10.3732/ajb.1200461,https://openalex.org/W2090931624,Margaret M. Mayfield|John M. Dwyer|Loïc Chalmandrier|Jessie A. Wells|Stephen P. Bonser|Carla P. Catterall|Fabrice DeClerck|Yi Ding|Jennifer M. Fraterrigo|Daniel J. Metcalfe|Cibele Queiroz|Peter A. Vesk|John W. Morgan,https://orcid.org/0000-0002-5101-6542|https://orcid.org/0000-0001-7389-5528|https://orcid.org/0000-0002-2631-0432|https://orcid.org/0000-0002-3555-5108|https://orcid.org/0000-0002-6608-9912|https://orcid.org/0000-0002-1914-0455|https://orcid.org/0000-0002-3631-8745|https://orcid.org/0000-0002-3649-0211|https://orcid.org/0000-0002-0357-1007|https://orcid.org/0000-0001-6853-7072|https://orcid.org/0000-0003-1124-306X|https://orcid.org/0000-0003-2008-7062|https://orcid.org/0000-0003-2003-5983,,Differences in forest plant functional trait distributions across land‐use and productivity gradients,https://doi.org/10.3732/ajb.1200461,FALSE,en,FALSE,01/07/2013,article
10.1016/j.wds.2024.100185,10.1016/j.wds.2024.100185,https://openalex.org/W4403262132,Jonathan Steinke|Yovita Ivanova|Sarah K. Jones|Thai Thi Minh|Andrea Sánchez|José Sánchez-Choy|Jonathan Mockshell,https://orcid.org/0000-0001-5742-702X||https://orcid.org/0000-0002-9422-5563|https://orcid.org/0000-0002-8345-6825|||https://orcid.org/0000-0003-1990-6657,cc-by-nc-nd,Digital sustainability tracing in smallholder context: Ex-ante insights from the Peruvian cocoa supply chain,https://doi.org/10.1016/j.wds.2024.100185,FALSE,en,TRUE,09/10/2024,article
10.1016/j.ecoser.2017.10.010,10.1016/j.ecoser.2017.10.010,https://openalex.org/W2771758945,Sylvia Wood|Sarah K. Jones|Justin A. Johnson|Kate A. Brauman|Rebecca Chaplin‐Kramer|Alexander K. Fremier|Evan Girvetz|Line Gordon|Carrie V. Kappel|Lisa Mandle|Mark Mulligan|Patrick O’Farrell|William K. Smith|Louise Willemen|Wei Zhang|Fabrice DeClerck,https://orcid.org/0000-0003-2224-3890|https://orcid.org/0000-0002-9422-5563|https://orcid.org/0000-0001-9903-1787|https://orcid.org/0000-0002-8099-285X|https://orcid.org/0000-0002-1539-5231|https://orcid.org/0000-0002-4104-6633|https://orcid.org/0000-0002-1062-9764|https://orcid.org/0000-0002-3520-4340|https://orcid.org/0000-0003-2507-8042|https://orcid.org/0000-0003-2507-8042|https://orcid.org/0000-0002-0132-0888|https://orcid.org/0000-0002-9538-8831|https://orcid.org/0000-0002-5785-6489|https://orcid.org/0000-0003-1026-5865|https://orcid.org/0000-0001-9447-0414|https://orcid.org/0000-0002-3631-8745,,Distilling the role of ecosystem services in the Sustainable Development Goals,https://doi.org/10.1016/j.ecoser.2017.10.010,FALSE,en,TRUE,01/12/2017,article
10.1016/j.fcr.2021.108268,10.1016/j.fcr.2021.108268,https://openalex.org/W3197405758,Damien Beillouin|Elise Pelzer|Edouard Baranger|Benoît Carrouée|Charles Cernay|E. de Chezelles|Anne Schneider|Marie‐Hélène Jeuffroy,https://orcid.org/0000-0003-2014-3482|https://orcid.org/0000-0002-8510-9536||||||https://orcid.org/0000-0003-0520-9172,,Diversifying cropping sequence reduces nitrogen leaching risks,https://doi.org/10.1016/j.fcr.2021.108268,FALSE,en,FALSE,31/08/2021,article
10.1080/03601277.2022.2082714,10.1080/03601277.2022.2082714,https://openalex.org/W4281667087,Kathy Lee|Jessica Cassidy|Jaci Mitchell|Sarah K. Jones|Si Won Jang,https://orcid.org/0000-0001-9603-1685|https://orcid.org/0000-0003-0239-0471||https://orcid.org/0000-0002-9422-5563|,,Documented barriers to health care access among Latinx older adults: A scoping review,https://doi.org/10.1080/03601277.2022.2082714,FALSE,en,FALSE,02/06/2022,review
10.1371/journal.pone.0158615,10.1371/journal.pone.0158615,https://openalex.org/W2473294728,Améline Vallet|Bruno Locatelli|Harold Levrel|Christian Brenes Pérez|Pablo Imbach|Natalia Estrada-Carmona|Raphaël J. Manlay|Johan Oszwald,https://orcid.org/0000-0002-2731-0098|https://orcid.org/0000-0003-2983-1644|https://orcid.org/0000-0002-4611-3639||https://orcid.org/0000-0003-4078-6063|https://orcid.org/0000-0003-4329-5470|https://orcid.org/0000-0003-0482-8457|,cc-by,"Dynamics of Ecosystem Services during Forest Transitions in Reventazón, Costa Rica",https://doi.org/10.1371/journal.pone.0158615,FALSE,en,TRUE,08/07/2016,article
10.15454/f4gk-gx62,10.15454/f4gk-gx62,https://openalex.org/W3173021344,"Damien Beillouin|Claire Perrot|Jean-François Herbommez|Schwebel, Sophie|Marc Schmitt|Marie Hélène Jeuffroy",https://orcid.org/0000-0003-2014-3482|||||,cc-by,ECO2MALT - Evaluation et amélioration de la qualité brassicole de l’orge d’hiver pour la sélection de variétés adaptées aux systèmes de cultures à bas niveaux d’intrants.,https://doi.org/10.15454/f4gk-gx62,FALSE,en,TRUE,29/04/2021,preprint
10.1177/15648265110321s106,10.1177/15648265110321s106,https://openalex.org/W2215920494,Fabrice DeClerck|Jessica Fanzo|Cheryl Palm|Roseline Remans,https://orcid.org/0000-0002-3631-8745|https://orcid.org/0000-0002-6760-1359||https://orcid.org/0000-0003-3659-8529,other-oa,Ecological Approaches to Human Nutrition,https://doi.org/10.1177/15648265110321s106,FALSE,en,TRUE,01/03/2011,review
10.1016/j.ecoser.2012.09.006,10.1016/j.ecoser.2012.09.006,https://openalex.org/W2152058176,Patricia Balvanera|María Uriarte|Lucía Almeida-Leñero|Alice Altesor|Fabrice DeClerck|Toby Gardner|Jefferson S. Hall|Antonio Lara|Pedro Laterra|Marielos Peña‐Claros|Dalva M. Silva Matos|Adrian Vogl|Luz Piedad Romero‐Duque|Luis Felipe Arreola|Ángela Caro-Borrero|Federico Gallego|Meha Jain|Christian Little|Rafael de Oliveira Xavier|José M. Paruelo|Jesús Emilio Peinado|Lourens Poorter|Nataly Ascarrunz|Francisco Correa|Marcela Bianchessi da Cunha‐Santino|Amabel Paula Hernández-Sánchez|María Vallejos,https://orcid.org/0000-0001-6408-6876|https://orcid.org/0000-0002-0484-0758|https://orcid.org/0000-0001-6077-7485|https://orcid.org/0000-0002-8930-0063|https://orcid.org/0000-0002-3631-8745|https://orcid.org/0000-0002-4007-2936|https://orcid.org/0000-0003-4761-9268|https://orcid.org/0000-0003-4998-4584|https://orcid.org/0000-0002-3926-0550|https://orcid.org/0000-0001-9134-6733|https://orcid.org/0000-0001-9461-2179|https://orcid.org/0000-0001-9369-1071|https://orcid.org/0000-0001-8476-4662||https://orcid.org/0000-0001-7352-5447|https://orcid.org/0000-0003-4305-313X|https://orcid.org/0000-0002-6821-473X|https://orcid.org/0000-0003-2223-6834|https://orcid.org/0000-0002-1691-1162|https://orcid.org/0000-0002-8784-9431||https://orcid.org/0000-0003-1391-4875||https://orcid.org/0000-0003-2764-6795|https://orcid.org/0000-0001-6048-0745||https://orcid.org/0000-0002-1749-6458,,Ecosystem services research in Latin America: The state of the art,https://doi.org/10.1016/j.ecoser.2012.09.006,FALSE,en,TRUE,06/11/2012,article
